source_batch,term,glossary_id,mark,mark_type,symbol,owner,confidence,field,note
PENDINGDEF,Podcast loudness target,49bfda34-86a3-4092-b8df-fdc904bd48f0,Apple Podcasts,registered_trademark,®,Apple Inc.,verified,platform named in definition,"Apple Inc. mark. (LUFS/dBTP are measurement units, not marks.)"
PENDINGDEF,Podcast publishing,f7a9e4fa-27e8-475b-bc72-1a12a31b4e44,Apple Podcasts,registered_trademark,®,Apple Inc.,verified,platform named in definition,Apple Inc. mark.
PENDINGDEF,Podcast trailer,fd280b6a-a2e0-4630-bc5d-ac991bcec0ae,Apple Podcasts,registered_trademark,®,Apple Inc.,verified,Apple Podcasts specification (episodeType) named in definition,Apple Inc. mark; 'trailer' episode type defined in the Apple Podcasts RSS spec.
PENDINGDEF,Podcast metadata,e9490463-77a7-4d9e-9a60-b54c275843ce,Apple Podcasts / iTunes namespace,registered_trademark,®,Apple Inc.,verified,iTunes podcast namespace named in definition,Apple / iTunes are Apple Inc. marks.
PENDINGDEF,ASIO Guard,8465c571-b063-4e45-a761-7754ef0a6ae4,ASIO,registered_trademark,®,Steinberg Media Technologies GmbH,verified,definition,Audio Stream Input/Output driver technology named in the definition.
PENDINGDEF,MiniDisc recording,35fb127e-a375-4ce4-9e27-3190e2264f63,ATRAC,registered_trademark,™,Sony Group Corporation,verified,definition,Perceptual codec named in the definition.
SOUNDVIZ,STFT spectrogram,075700ac-5bbc-5183-8499-1d1c92a4ece5,Audacity,registered_trademark,®,Muse Group (The Audacity Team),verified,practical_application,Audacity is a registered trademark; open-source editor stewarded by Muse Group.
PENDINGDEF,Hanging Choir Microphone,4dc7f43e-41bd-43d6-8bfd-6ef540965377,Audio-Technica,registered_trademark,®,Audio-Technica Corporation,verified,sources,Hanging choir microphone documentation.
PENDINGDEF,Incremental session save,11669f3f-7ec2-419f-a38a-c01bd94731da,Avid Pro Tools,registered_trademark,®,"Avid Technology, Inc.",verified,sources,Cited as 'Avid Pro Tools Reference Guide'.
PENDINGDEF,Scene transition time,c15bbefe-8454-4c04-b0df-eb0553c8732e,Avid VENUE,registered_trademark,®,"Avid Technology, Inc.",verified,sources,Snapshots documentation.
SOUNDVIZ,BKB-SIN,ac2003ed-a44c-52c1-95d6-1d3d48c289a5,BKB-SIN,registered_trademark,™,"Etymotic Research, Inc.",verified,term/definition (headword is a product mark),BKB-SIN Speech-in-Noise Test is a trademark of Etymotic Research; BKB sentences are the Bamford-Kowal-Bench corpus.
SOUNDVIZ,Speech-in-noise test,50736b51-e2bd-59d5-a2b3-7a66f96e9a63,BKB-SIN,registered_trademark,™,"Etymotic Research, Inc.",verified,practical_application (test named),BKB-SIN Speech-in-Noise Test is a trademark of Etymotic Research; BKB = Bamford-Kowal-Bench sentence corpus (academic attribution).
SOUNDVIZ,Dropout analysis,3641bfa4-7c42-5dab-95fa-4772c790f5b4,Bluetooth,registered_trademark,®,"Bluetooth SIG, Inc.",verified,"practical_application & scenario (""Bluetooth recording"")","Bluetooth word mark and logos are registered trademarks of Bluetooth SIG, Inc."
PENDINGDEF,Character channel,24f8c5f6-217d-431e-ae19-674ace8f7003,Cadac,registered_trademark,®,Cadac (Cadac Holdings Ltd),verified,sources,Digital console documentation.
PENDINGDEF,Digital audio receiver,ba1d7a03-83c6-4c31-b6c6-2ea9bc2ce631,Cirrus Logic,registered_trademark,®,"Cirrus Logic, Inc.",verified,definition,IC manufacturer named in the definition.
PENDINGDEF,Digital audio transmitter,398d0c57-8ce8-41f1-8360-b840812abe2f,Cirrus Logic,registered_trademark,®,"Cirrus Logic, Inc.",verified,definition,IC manufacturer named in the definition.
PENDINGDEF,Drum Enclosure,8515f880-c84a-4f19-8d99-e407cd938bb7,ClearSonic,registered_trademark,®,"ClearSonic Mfg., Inc.",verified,sources,Drum shield/enclosure documentation.
PENDINGDEF,Cassette mastering,37f76cde-0561-4515-9615-c3f22e307d47,Compact Cassette,registered_trademark,™,Philips (Koninklijke Philips N.V.),verified,definition,Cassette format named in the definition.
PENDINGDEF,Digital recording era,8858971b-1316-4fd3-a969-61559c34f8f2,Compact Disc,registered_trademark,®,Philips and Sony,verified,definition,CD format named in the definition.
PENDINGDEF,Pulse-code modulation recording,198cb418-177d-4c56-a815-3f4f8018c356,Compact Disc,registered_trademark,®,Philips and Sony,verified,definition,CD format named in the definition.
PENDINGDEF,Compact Disc mastering,91f33fef-6dad-43f6-b9e8-b882c71a3481,Compact Disc Digital Audio / Red Book,registered_trademark,®,Philips and Sony,verified,definition,CD-DA format/standard named in the definition.
PENDINGDEF,Direct Instrument Input,fb000e11-ee33-4b99-b2b8-216549b9c2e5,Countryman,registered_trademark,®,"Countryman Associates, Inc.",verified,sources,Direct box documentation.
PENDINGDEF,Hanging Choir Microphone,4dc7f43e-41bd-43d6-8bfd-6ef540965377,Crown,registered_trademark,®,Crown (Harman International),verified,sources,Hanging choir microphone documentation.
PENDINGDEF,Musical Mode,7ebcce9e-284f-4d4e-bed1-477eb6a4bc09,Cubase,registered_trademark,®,Steinberg Media Technologies GmbH (Yamaha),verified,definition,DAW named in the definition.
PENDINGDEF,Range Selection tool,e8d099ce-0e1a-4ffe-8421-9ce28d453897,Cubase,registered_trademark,®,Steinberg Media Technologies GmbH (Yamaha),verified,All 'DAW: Cubase/Nuendo' term definitions,DAW product name; appears throughout the Cubase/Nuendo terms
PENDINGDEF,ASIO Guard,8465c571-b063-4e45-a761-7754ef0a6ae4,Cubase / Nuendo,registered_trademark,®,Steinberg Media Technologies GmbH (a Yamaha company),verified,definition,DAWs named in the definition. Applies to all 'DAW: Cubase/Nuendo' terms in this group.
PENDINGDEF,Distributor delivery package,06707f71-2f3a-4397-8563-8d0bb7483617,DDEX,registered_trademark,®,"Digital Data Exchange, LLC",verified,sources,Music-industry metadata/delivery standards body; source across several terms.
PENDINGDEF,File validation,9f8c9813-ec7f-4194-827d-1463ecad1ca6,DDP (Disc Description Protocol),registered_trademark,®,"Doug Carson & Associates, Inc. (DCA)",verified,File validation definition,Master delivery format owned by DCA
PENDINGDEF,Deoxit treatment,139e5684-791b-4d08-b42e-4b6c5935263c,DeoxIT,registered_trademark,®,"CAIG Laboratories, Inc.",verified,product name in definition (and headword),DeoxIT is a CAIG Laboratories brand of contact cleaner; used generically here for the treatment.
PENDINGDEF,Actor level automation,02c1b43c-fbc0-41ce-bc6a-e497c4894f4a,DiGiCo,registered_trademark,®,DiGiCo (Audiotonix Ltd),verified,sources,Theatre software documentation.
PENDINGDEF,Cue-based mix,3b90c24a-2cd8-40e0-a9d3-47227d31a52b,DiGiCo,registered_trademark,®,DiGiCo (Audiotonix Ltd),verified,sources,Theatre software / operation manual.
PENDINGDEF,Portable stagebox,bd0221c8-3ecf-44eb-ab0c-2155732c611e,DiGiCo,registered_trademark,®,DiGiCo (Audiotonix Ltd),verified,sources,Digital mixing console documentation.
PENDINGDEF,Direct Stream Digital recording,c86e06a7-8cbd-4b6a-91fe-2b2dc4b634a5,Direct Stream Digital (DSD),registered_trademark,™,Sony and Philips,verified,definition,One-bit coding scheme named in the definition.
PENDINGDEF,Clock pulse,8f22cc69-2e32-4c0d-b1da-2c3b402d069c,Doepfer,registered_trademark,®,Doepfer Musikelektronik GmbH,verified,sources,A-100 technical documentation across most terms.
PENDINGDEF,Cassette mastering,37f76cde-0561-4515-9615-c3f22e307d47,Dolby B / Dolby C,registered_trademark,®,"Dolby Laboratories, Inc.",verified,definition,Noise-reduction systems named in the definition.
PENDINGDEF,Clothing Noise,cfe3436a-448a-438d-b8fc-c4e4eab11fa7,DPA Microphones,registered_trademark,®,DPA Microphones A/S,verified,sources,"Lavalier/earset documentation (terms 20, 24, 29)."
SOUNDVIZ,EASE map,0e217bb6-01b7-5f71-a337-c636b849aa92,EASE,registered_trademark,®,AFMG Technologies GmbH (Ahnert Feistel Media Group),verified,definition/plain_english,EASE (Enhanced Acoustic Simulator for Engineers) is a registered trademark of AFMG.
PENDINGDEF,Follow cue,a2ad1677-eb44-4c5f-8940-a1012bde136e,ETC Eos,registered_trademark,®,"Electronic Theatre Controls, Inc.",verified,sources,Eos Family Operations Manual.
PENDINGDEF,Beam-Steering Column Array,4b3d58c8-d7ef-46ae-9476-c92c226ba626,Fohhn,registered_trademark,®,Fohhn Audio AG,verified,sources,Steerable column array documentation.
PENDINGDEF,NVIDIA Broadcast,4b961009-0e7d-4dbd-9124-190047c4fb02,GeForce RTX,registered_trademark,®,NVIDIA Corporation,verified,definition,GPU brand named in the definition.
PENDINGDEF,Gerber file,5cbf1d56-a589-438b-8de9-9b794e668ec6,Gerber (format / RS-274X / Gerber X2),registered_trademark,®,Ucamco NV (owns and maintains the Gerber format specification),verified,Gerber file definition,PCB data interchange format; Gerber is a registered mark/format owned by Ucamco
PENDINGDEF,Electronic Organ,919f88d5-7cc7-48b0-afb5-435df237d754,Hammond,registered_trademark,®,Suzuki Musical Instrument Corporation,verified,definition,Hammond tonewheel organ named in def; brand acquired by Suzuki in 1992.
PENDINGDEF,Harman target response,6c816cf6-da75-48e1-b2a3-4c9829bb6e08,Harman,registered_trademark,®,"Harman International Industries, Inc. (Samsung Electronics)",verified,Harman target response definition,Company name / branded headphone preference target curve
PENDINGDEF,LCD module,8be00408-c20f-43b5-9f18-d5fefbebda42,Hitachi HD44780,registered_trademark,®,"Hitachi, Ltd. (HD44780 is Hitachi's controller; de facto industry standard)",verified,LCD module definition,Named controller IC / manufacturer trademark
PENDINGDEF,Dialogue De-reverb,f83b4437-13b4-44d8-b64b-696811daf46b,iZotope RX,registered_trademark,®,"iZotope, Inc. (Native Instruments / Soundwide)",verified,definition,Restoration software named in the definition.
PENDINGDEF,Dialogue Isolate,e998accb-07d3-44d1-842e-dbe7b22a23f6,iZotope RX,registered_trademark,®,"iZotope, Inc. (Native Instruments / Soundwide)",verified,definition,Restoration software named in the definition.
PENDINGDEF,Music Rebalance,3b10a6ba-ffa9-4976-81c0-f01d8e5c1515,iZotope RX,registered_trademark,®,"iZotope, Inc. (Native Instruments / Soundwide)",verified,definition,Software module named in the definition.
PENDINGDEF,Repair Assistant,050c5b48-78b7-4891-adf2-0f1bd052cd7b,iZotope RX,registered_trademark,®,"iZotope, Inc. (Native Instruments / Soundwide)",verified,definition,Software module named in the definition.
SOUNDVIZ,Spectral mask,662bb6af-e25b-5dab-9122-74581941da4c,iZotope RX,registered_trademark,®,"iZotope, Inc.",verified,practical_application,Brand of audio-repair software.
SOUNDVIZ,Spectral repair display,69d69c9d-834e-5c73-b160-1b8f068d1613,iZotope RX,registered_trademark,®,"iZotope, Inc.",verified,practical_application,'Spectral Repair' is an iZotope RX feature name.
SOUNDVIZ,STFT spectrogram,075700ac-5bbc-5183-8499-1d1c92a4ece5,iZotope RX,registered_trademark,®,"iZotope, Inc.",verified,practical_application,"iZotope and RX are marks of iZotope, Inc.; brand ownership moved among Native Instruments/Boris FX (2024-2026)."
PENDINGDEF,Spectral Recovery,e67efe41-10bc-4a47-b94a-beeae5ad6b1e,iZotope RX (RX 10),registered_trademark,®,"iZotope, Inc. (Native Instruments / Soundwide)",verified,definition,Software module/version named in the definition.
PENDINGDEF,Manual spectral editing,b8620719-bef9-4c5d-808f-f0ed4cbd2472,iZotope RX (Spectral Repair),registered_trademark,®,"iZotope, Inc. (Native Instruments / Soundwide)",verified,definition,Restoration software and its Spectral Repair module named in the definition.
PENDINGDEF,Spectral repair,3f0fbca0-32c3-47ec-af85-92d1104c933c,iZotope RX (Spectral Repair),registered_trademark,®,"iZotope, Inc. (Native Instruments / Soundwide)",verified,definition,Software module named in the definition.
PENDINGDEF,Profiling,330de2e3-b18b-43ae-be79-b3114e19bc72,Kemper Profiler,registered_trademark,®,Kemper GmbH (Germany),verified,product name in definition,Kemper Profiler / Profiling Amplifier is a commercial product of Kemper GmbH; 'Profiling' popularized by that product.
PENDINGDEF,Kemper Profiler,814c8a98-2370-426f-b38d-3447ade7a567,Kemper Profiler / Profiling,registered_trademark,®,Kemper GmbH,verified,definition,Guitar amp profiler and its Profiling technology named in the definition (headword).
PENDINGDEF,Hertz-per-volt control,f568ae61-6d98-4479-809d-1ff7210ac051,Korg,registered_trademark,®,Korg Inc.,verified,definition,Hz/V monosynth attribution.
PENDINGDEF,Leslie-Type Rotary Speaker,391f8a94-c766-4f42-9651-17c8e302f042,Leslie,registered_trademark,®,Suzuki Musical Instrument Corporation,verified,definition,Leslie-Type Rotary Speaker; Leslie brand owned by Suzuki.
PENDINGDEF,Autopunch mode,074ba0eb-50c2-4b6d-a596-fd142a2848b9,Logic Pro,registered_trademark,®,Apple Inc.,verified,All 'DAW: Logic' term definitions,DAW product name; appears throughout the Logic terms
PENDINGDEF,Stereo Out channel,18bc8ff2-96d4-4a27-9434-9ceda939aa9b,Logic Pro,registered_trademark,®,Apple Inc.,verified,'DAW: Logic' term definitions,DAW product name
SOUNDVIZ,chirp spread spectrum,d0dd381e-6156-52a9-b22f-7cc2b17c54ec,LoRa,registered_trademark,®,Semtech Corporation,verified,"definition (""the LoRa radio scheme"")",LoRa is a registered trademark of Semtech Corporation (USPTO Reg. No. 4952515).
SOUNDVIZ,acoustic hailing device,ac81c5b1-2098-556d-9ec8-b2fa2050a89c,LRAD,registered_trademark,®,Genasys Inc.,verified,"common_mistakes (""a single brand name"")","CM explicitly references the LRAD brand; LRAD® is a Genasys registered trademark, not a generic category name."
SOUNDVIZ,long-range acoustic device,4c7e8eaf-b7b1-5dc8-8a5f-56f89845dda8,LRAD,registered_trademark,®,Genasys Inc. (formerly LRAD Corporation),verified,"headword/common abbreviation; note CM (""a single brand name"")","The generic term is fine, but the abbreviation LRAD is a registered trademark of Genasys Inc.; avoid using LRAD generically."
PENDINGDEF,Archive migration,738fd8ed-0a3f-4dd5-9ea4-b77c50e1d683,LTO (Linear Tape-Open),registered_trademark,®,"LTO Consortium (Hewlett Packard Enterprise, IBM, and Quantum)",verified,definition,Tape technology named in the definition.
PENDINGDEF,Archive server,cf4d643a-b2f8-4370-b30f-ef803a3ea50b,LTO (Linear Tape-Open),registered_trademark,®,"LTO Consortium (HPE, IBM, Quantum)",verified,definition,Tape-library technology named in the definition.
PENDINGDEF,Melodyne integration,19dbc7ac-518a-4dda-846c-7124b2303197,Melodyne,registered_trademark,®,Celemony Software GmbH,verified,Melodyne integration definition,Pitch/time-editing software product
PENDINGDEF,ERA (Accusonus),98c2db8d-87e6-4902-b62c-7dc0fe20ef40,Meta,registered_trademark,®,"Meta Platforms, Inc.",verified,definition,Acquirer named in the definition.
SOUNDVIZ,P-U probe,6fda61db-5eed-5d5f-abf8-5ad764216456,Microflown,registered_trademark,®,"Microflown Technologies (Microflown Technologies BV, Netherlands)",verified,'Microflown-type' velocity sensor reference in definition,Microflown is a brand for acoustic particle-velocity sensors; used descriptively as 'Microflown-type'. Owner web-verified via microflown.com.
SOUNDVIZ,Particle-velocity map,eb10c006-5cd7-5f89-bbb8-7be98cd8ebe9,Microflown,registered_trademark,®,"Microflown Technologies (Microflown Technologies BV, Netherlands)",verified,'Microflown-type sensors' in practical_application,"Brand for particle-velocity sensors, used descriptively. Owner web-verified via microflown.com."
PENDINGDEF,Arrangement loop,e4111914-f77d-4646-87bd-5071bd2d101b,MIDI,registered_trademark,™,MIDI Association / MIDI Manufacturers Association (MMA) and AMEI,verified,definition,MIDI is a trademarked specification referenced across the Ableton term definitions in this group.
PENDINGDEF,MIDI-to-control-voltage interface,5af6871c-cb9e-4891-966f-531d0d45a8cf,MIDI,registered_trademark,®,The MIDI Association / MIDI Manufacturers Association,verified,definition,"MIDI named in defs of terms 9, 18, 30."
PENDINGDEF,Cue synchronization,74d8fc30-ec81-4091-a55f-834b9a4e83b6,MIDI (timecode),registered_trademark,®,The MIDI Association,verified,definition,MIDI timecode named in def.
PENDINGDEF,Timecode chase,b7a155e6-ff20-4343-9f7e-55bfaaf05c33,MIDI (timecode),registered_trademark,®,The MIDI Association,verified,definition,MIDI timecode named in def; also MIDI in Electronic Drum Kit (25).
PENDINGDEF,Magneto-optical recording,8886d910-d379-4fbc-8acd-a638266f64fc,MiniDisc,registered_trademark,™,Sony Group Corporation,verified,definition,Consumer format named in the definition.
PENDINGDEF,MiniDisc recording,35fb127e-a375-4ce4-9e27-3190e2264f63,MiniDisc,registered_trademark,™,Sony Group Corporation,verified,definition,Format named in the definition (headword).
PENDINGDEF,Gate polarity,7e41e985-4555-4c54-889d-8e899ba4becd,Moog,registered_trademark,®,Moog Music Inc.,verified,definition,"Named in defs 14, 26, 33 (S-trigger convention)."
PENDINGDEF,Polyester capacitor,117589ee-2f1a-42d1-b0cb-ce5cf078da25,Mylar,registered_trademark,®,DuPont Teijin Films US (USPTO Reg. 0559948),verified,trade name for PET film in definition,"Definition explicitly labels Mylar a 'trade name'; it is a registered mark for BoPET polyester film, not a generic term for PET."
PENDINGDEF,Neural Capture,7c39f90e-37cd-4e90-abf3-64d8c16615f9,Neural DSP,registered_trademark,™,Neural DSP Technologies Oy,verified,definition,Manufacturer named in the definition.
PENDINGDEF,Range Selection tool,e8d099ce-0e1a-4ffe-8421-9ce28d453897,Nuendo,registered_trademark,®,Steinberg Media Technologies GmbH (Yamaha),verified,'DAW: Cubase/Nuendo' term definitions,DAW product name
PENDINGDEF,NVIDIA Broadcast,4b961009-0e7d-4dbd-9124-190047c4fb02,NVIDIA Broadcast,registered_trademark,®,NVIDIA Corporation,verified,definition,Application named in the definition (headword).
PENDINGDEF,RTX Voice,6391dae2-e2d9-4dea-bd1f-107ee428e1ea,NVIDIA Broadcast,registered_trademark,®,NVIDIA Corporation,verified,definition,Successor application named in the definition.
PENDINGDEF,Penny & Giles fader,68476760-2b8c-4674-be00-33f1f2841660,Penny & Giles,registered_trademark,®,Penny & Giles (now a Curtiss-Wright brand),verified,Penny & Giles fader definition,Fader manufacturer brand name
PENDINGDEF,Stem Playback,68093c0a-8fb2-4fff-82b2-870adf0bc048,Pro Tools,registered_trademark,®,"Avid Technology, Inc.",verified,sources,Stem/multitrack playback documentation.
PENDINGDEF,Audio cue,23570728-d317-45d1-b065-6710c4602ab9,QLab,registered_trademark,®,"Figure 53, LLC",verified,sources,Cue-playback software; cited across terms 13–34.
PENDINGDEF,Cue output assignment,0a70ba58-f768-44aa-8e01-91c7b009be3e,QLab,registered_trademark,®,"Figure 53, LLC",verified,sources,Cited across the cue terms.
PENDINGDEF,Neural Capture,7c39f90e-37cd-4e90-abf3-64d8c16615f9,Quad Cortex,registered_trademark,™,Neural DSP Technologies Oy,verified,definition,Hardware product named in the definition.
PENDINGDEF,Quad Cortex,0b9c3c88-ae93-4a7b-8b30-49934e2ae52c,Quad Cortex,registered_trademark,™,Neural DSP Technologies Oy,verified,definition,Hardware product named in the definition (headword).
SOUNDVIZ,QuickSIN,852ebdbd-302f-5019-afca-8e41afd08922,QuickSIN,registered_trademark,®,"Etymotic Research, Inc.",verified,term/definition (headword is a product mark),QuickSIN is a trademark of Etymotic Research.
SOUNDVIZ,Speech-in-noise test,50736b51-e2bd-59d5-a2b3-7a66f96e9a63,QuickSIN,registered_trademark,®,"Etymotic Research, Inc.",verified,practical_application (test named),QuickSIN is a trademark of Etymotic Research.
SOUNDVIZ,Container metadata,4635b2b4-ff12-52df-bb58-e6a97838c71f,QuickTime,registered_trademark,®,Apple Inc.,verified,"definition (""MP4 or QuickTime atoms"")",QuickTime is a registered trademark of Apple Inc.; the container/atom format is Apple's.
PENDINGDEF,Direct Instrument Input,fb000e11-ee33-4b99-b2b8-216549b9c2e5,Radial,registered_trademark,®,Radial Engineering Ltd,verified,sources,Direct box documentation.
SOUNDVIZ,Sonogram,138db721-a4f1-5a78-9c2d-4d1696c8b225,Raven,registered_trademark,®,"Cornell Lab of Ornithology, Cornell University",verified,practical_application,Raven / Raven Pro bioacoustics analysis software.
PENDINGDEF,Automatic record arm,9360c0fb-8b69-4392-879f-b57620e5bc0c,REAPER,registered_trademark,®,Cockos Incorporated,verified,All 'DAW: REAPER' term definitions,DAW product name; appears throughout the REAPER terms
PENDINGDEF,Beam-Steering Column Array,4b3d58c8-d7ef-46ae-9476-c92c226ba626,Renkus-Heinz,registered_trademark,®,"Renkus-Heinz, Inc.",verified,sources,Steerable column array documentation.
PENDINGDEF,Electronic Drum Kit,6b50574d-a807-4599-b62b-1d7ff24a1f8f,Roland,registered_trademark,®,Roland Corporation,verified,sources,Electronic drum kit owner's manuals.
PENDINGDEF,Gate polarity,7e41e985-4555-4c54-889d-8e899ba4becd,Roland,registered_trademark,®,Roland Corporation,verified,definition,"Named in defs 14, 26, 30, 33."
PENDINGDEF,Bodypack assignment,6f16f6b9-58d3-42a7-9f5a-8a8b1856c1e6,Sennheiser,registered_trademark,®,Sennheiser electronic SE & Co. KG,verified,sources,Wireless microphone documentation.
PENDINGDEF,Earset Microphone,b33fb375-a07c-4348-9e67-da3dbeb00343,Sennheiser,registered_trademark,®,Sennheiser electronic SE & Co. KG,verified,sources,Headworn/earset microphone documentation.
PENDINGDEF,Volts-per-octave control,cdd5796e-bee4-405e-915e-b0a9c4e523ab,Sequential,registered_trademark,®,Sequential LLC (Focusrite Group),verified,definition,1 V/oct standard attribution.
PENDINGDEF,Actor microphone,2361aa06-44a7-4b71-a60f-cfdeaa1b0ad1,Shure,registered_trademark,®,Shure Incorporated,verified,sources,Wireless microphone systems documentation.
PENDINGDEF,Automatic Microphone Mixing,a3df46b0-d3b6-4a65-887f-0c43f801680c,Shure,registered_trademark,®,Shure Incorporated,verified,sources,"Automatic mixer / microphone documentation (also terms 17, 27, 28, 29, 30)."
PENDINGDEF,Three-to-One Rule,da664dbc-18ca-480a-a15c-265063132b38,Shure,registered_trademark,®,Shure Incorporated,verified,sources,Microphone technique documentation (3:1 rule).
PENDINGDEF,Cue synchronization,74d8fc30-ec81-4091-a55f-834b9a4e83b6,SMPTE timecode,registered_trademark,®,SMPTE (Society of Motion Picture and Television Engineers),verified,definition,Named in Cue synchronization; SMPTE is a registered mark and standards body.
PENDINGDEF,Timecode chase,b7a155e6-ff20-4343-9f7e-55bfaaf05c33,SMPTE timecode (SMPTE ST 12),registered_trademark,®,SMPTE (Society of Motion Picture and Television Engineers),verified,definition,Named in Timecode chase; standard cited in Timecode cue trigger source.
PENDINGDEF,Portable multitrack recorder,fa1b7fcb-6fe6-4803-80f3-8fb556f0b963,Sound Devices,registered_trademark,®,"Sound Devices, LLC",verified,sources,Multitrack recorder documentation.
PENDINGDEF,Ruggedized recording system,340c1391-2f11-4640-97fa-a23e4ccde3d4,Sound Devices,registered_trademark,®,"Sound Devices, LLC",verified,sources,Field recorder documentation.
PENDINGDEF,Podcast publishing,f7a9e4fa-27e8-475b-bc72-1a12a31b4e44,Spotify,registered_trademark,®,Spotify AB,verified,platform named in definition,Spotify AB mark.
PENDINGDEF,Audio Bend,638bab40-e303-4ec7-b11e-a3ba00de67c4,Studio One,registered_trademark,®,"PreSonus Audio Electronics, Inc. (Fender Musical Instruments Corp.)",verified,All 'DAW: Studio One' term definitions,DAW product name
PENDINGDEF,Input Quantize,0eb2fee5-8804-4995-b6d1-3af4ce92ca84,Studio One,registered_trademark,®,"PreSonus Audio Electronics, Inc. (Fender)",verified,'DAW: Studio One' term definitions,DAW product name
PENDINGDEF,Direct Stream Digital recording,c86e06a7-8cbd-4b6a-91fe-2b2dc4b634a5,Super Audio CD (SACD),registered_trademark,™,Sony and Philips,verified,definition,Disc format named in the definition.
PENDINGDEF,Digital audio receiver,ba1d7a03-83c6-4c31-b6c6-2ea9bc2ce631,Texas Instruments,registered_trademark,®,Texas Instruments Incorporated,verified,definition,IC manufacturer named in the definition.
PENDINGDEF,Digital audio transmitter,398d0c57-8ce8-41f1-8360-b840812abe2f,Texas Instruments,registered_trademark,®,Texas Instruments Incorporated,verified,definition,IC manufacturer named in the definition.
