term,subject,landing_topic,concept_hint,status,source_batch
Special entertainment precinct,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,Australian/NSW concept where live-entertainment regulation is adjusted in designated cultural/nightlife areas.,NEW,NOISELAW_2026_08_02
Quiet hours,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,Local restricted periods (usually night) with lower limits or stricter nuisance rules.,NEW,NOISELAW_2026_08_02
Sensitive receptor,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"Protected location (homes, hospitals, schools, childcare, hotels, aged-care, worship, wildlife, labs); noise-sensitive receiver used in airport/environmental rules.",NEW,NOISELAW_2026_08_02
Property-line limit,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"Sound limit measured at the boundary of the source property (venues, industry, construction).",NEW,NOISELAW_2026_08_02
Receiver-location limit,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"Limit measured at the affected residence, facade, window, or outdoor amenity area.",NEW,NOISELAW_2026_08_02
Facade level,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,Sound level measured/predicted at a building facade; used in environmental noise mapping.,NEW,NOISELAW_2026_08_02
Free-field level,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,Measurement away from reflecting surfaces; free-field and facade measurements are not interchangeable.,NEW,NOISELAW_2026_08_02
Immission,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,Sound received at a location (European/international acoustics language).,NEW,NOISELAW_2026_08_02
Noise emission limit,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"Maximum allowed sound radiated by source equipment, machinery, vehicles, or a venue.",NEW,NOISELAW_2026_08_02
Noise immission limit,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,Maximum allowed level received at a receptor.,NEW,NOISELAW_2026_08_02
Best practicable means (BPM),"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"UK-style mitigation concept: use practical, reasonable methods to reduce noise.",NEW,NOISELAW_2026_08_02
As low as reasonably practicable (ALARP),"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,Risk-reduction principle in safety regulation; relevant to workplace noise controls.,NEW,NOISELAW_2026_08_02
Best available techniques (BAT),"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"Environmental-regulation concept for industry; may apply to noise from plant, factories, infrastructure.",NEW,NOISELAW_2026_08_02
dB(A),"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,"A-weighted decibels; the most common legal sound metric for occupational, environmental, and entertainment noise.",NEW,NOISELAW_2026_08_02
dB(C),"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,C-weighted decibels; used for peak levels and bass-heavy music (France's music-venue framework includes LAeq and LCeq-style limits).,NEW,NOISELAW_2026_08_02
dB(Z),"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,Z-weighted / essentially flat weighting; useful technically but less common as a public legal limit.,NEW,NOISELAW_2026_08_02
"LAeq,T","Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,"LAeq over a stated interval T (15 min, 1 h, 8 h, or an event period).",NEW,NOISELAW_2026_08_02
"LAeq,8h","Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,"Eight-hour equivalent A-weighted exposure used in occupational rules (Australia: LAeq,8h 85 dB(A) or LC,peak 140 dB(C)).",NEW,NOISELAW_2026_08_02
"LEX,8h","Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,Daily personal noise exposure normalized to 8 hours; common in EU/UK occupational-noise regulation.,NEW,NOISELAW_2026_08_02
"LEP,d","Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,Daily personal noise exposure; older/UK-style notation still encountered.,NEW,NOISELAW_2026_08_02
"LEP,w","Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,Weekly personal exposure where daily exposure varies substantially; UK HSE lists daily or weekly action values.,NEW,NOISELAW_2026_08_02
Dose exchange rate,"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,dB increase corresponding to halved allowable exposure time; OSHA and NIOSH/EU approaches differ.,NEW,NOISELAW_2026_08_02
3 dB exchange rate,"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,"Equal-energy rule: +3 dB = double sound energy, half exposure duration.",NEW,NOISELAW_2026_08_02
5 dB exchange rate,"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,OSHA-style U.S. occupational-noise exchange rate.,NEW,NOISELAW_2026_08_02
Peak sound pressure level,"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,"Instantaneous maximum pressure level; important for pyrotechnics, firearms, impacts, transients (OSHA references 140 dB peak SPL for impulsive/impact noise).",NEW,NOISELAW_2026_08_02
Lmax,"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,Maximum time-weighted level during a measurement interval.,NEW,NOISELAW_2026_08_02
Lmin,"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,Minimum time-weighted level during a measurement interval.,NEW,NOISELAW_2026_08_02
LA10,"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,A-weighted L10; NSW references LA10 noise-criteria conditions for live-entertainment venues.,NEW,NOISELAW_2026_08_02
LA90,"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,"A-weighted background level; important in planning, nuisance, and plant-noise criteria.",NEW,NOISELAW_2026_08_02
Lden,"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,Day-evening-night noise level; core EU environmental-noise metric (EU/EEA often uses 55 dB Lden as a threshold).,NEW,NOISELAW_2026_08_02
Lnight,"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,Night-time environmental-noise indicator used in WHO night guidance and EU noise policy.,NEW,NOISELAW_2026_08_02
Day-evening-night penalty,"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,Extra evening/night penalties added in Lden to reflect increased disturbance sensitivity.,NEW,NOISELAW_2026_08_02
Event LAeq,"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,LAeq across an event/performance segment; UK HSE advises warning the audience where Event LAeq may exceed 96 dB.,NEW,NOISELAW_2026_08_02
"LCeq,15min","Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,"15-minute C-weighted equivalent level (French/Belgian-style entertainment rules; France cited at 102 dB LAeq,15min and 118 dB LCeq,15min).",NEW,NOISELAW_2026_08_02
"LAeq,15min","Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,15-minute A-weighted equivalent level; common in music-venue and event regulation.,NEW,NOISELAW_2026_08_02
"LAeq,1h","Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,"One-hour equivalent A-weighted level; Switzerland uses LAeq,1h thresholds for amplified-event notification/categories.",NEW,NOISELAW_2026_08_02
"LAeq,60min","Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,60-minute equivalent level (Leq60') in European venue guidance; Swiss categories use 93/96/100 dB(A) average-hour thresholds.,NEW,NOISELAW_2026_08_02
Momentary value,"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,Short-duration maximum; Swiss event rules include a momentary value not to exceed 125 dB(A).,NEW,NOISELAW_2026_08_02
Background correction,"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,Adjustment when ambient/background noise contaminates a source measurement.,NEW,NOISELAW_2026_08_02
Tonal penalty,"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,"Adjustment for prominent tones (hums, whines, fans, transformers, generators, HVAC, sirens).",NEW,NOISELAW_2026_08_02
Impulse penalty,"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,"Adjustment for impulsive sounds (impacts, shots, pyrotechnics, hammering, pile driving).",NEW,NOISELAW_2026_08_02
Low-frequency penalty,"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,"Adjustment/special assessment for bass/rumble (clubs, festivals, substations, wind turbines, HVAC, industry).",NEW,NOISELAW_2026_08_02
Intermittency penalty,"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,Adjustment for on/off or irregular sound more noticeable than steady noise.,NEW,NOISELAW_2026_08_02
Pure tone component,"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,Narrowband tonal element within a broader noise signal.,NEW,NOISELAW_2026_08_02
Low-frequency noise (LFN),"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,Sound dominated by low frequencies; A-weighted limits may underrepresent its impact.,NEW,NOISELAW_2026_08_02
Infrasound,"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,"Sound below 20 Hz; arises in wind-energy, industrial, transport, and scientific-study disputes.",NEW,NOISELAW_2026_08_02
Ground-borne noise,"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,"Sound radiated into buildings from ground-transmitted vibration (rail, construction, tunneling, industry).",NEW,NOISELAW_2026_08_02
Structure-borne noise,"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,Sound caused by vibration transmitted through structures.,NEW,NOISELAW_2026_08_02
Airborne noise,"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,Sound transmitted through air.,NEW,NOISELAW_2026_08_02
Vibration dose value (VDV),"Sound Law, Noise Regulation & Compliance",Sound Law — Measurement Descriptors & Compliance Metrics,Vibration-exposure metric often paired with noise regulation in construction/rail studies.,NEW,NOISELAW_2026_08_02
Audience exposure limit,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,"Maximum permitted sound exposure for patrons; European venue limits range ~90 to 114 dB(A), momentary C-weighted peaks sometimes up to 140 dB(C).",NEW,NOISELAW_2026_08_02
Amplified-sound event,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,Event using electroacoustic amplification; many event laws apply only above amplified-sound thresholds.,NEW,NOISELAW_2026_08_02
Electroacoustically amplified sound,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,"Swiss/European phrasing for sound produced/reinforced by PA systems; Swiss notification required above LAeq,1h 93 dB(A).",NEW,NOISELAW_2026_08_02
"Sound-level measurement, management and documentation (SLMMD)","Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,"WHO-style phrasing for venue systems that measure, manage, and document music-venue sound exposure.",NEW,NOISELAW_2026_08_02
Front-of-house reference position,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,Measurement position near FOH; may not satisfy laws requiring measurement at loudest audience location or property boundary.,NEW,NOISELAW_2026_08_02
Loudest audience position,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,Critical compliance location in concert rules (associated with German DIN 15905-5 audience-hearing protection).,NEW,NOISELAW_2026_08_02
Audience warning notice,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,Required/recommended notice when expected exposure exceeds a threshold (UK HSE: advise audience where Event LAeq may exceed 96 dB).,NEW,NOISELAW_2026_08_02
Hearing protection availability,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,Frameworks that require/encourage free or available earplugs above certain levels.,NEW,NOISELAW_2026_08_02
Chill-out zone,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,Lower-level recovery area for audiences (quiet zone); common in hearing-health venue rules.,NEW,NOISELAW_2026_08_02
Sound limiter,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,Device that attenuates or cuts sound above a threshold (noise limiter); some license conditions require it (NSW 2024 reforms changed some requirements).,NEW,NOISELAW_2026_08_02
Limiter tamper seal,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,Physical/software lock preventing unauthorized changes to a sound limiter.,NEW,NOISELAW_2026_08_02
Calibrated logging meter,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,Sound level meter that records level history for enforcement or self-documentation.,NEW,NOISELAW_2026_08_02
Level logging,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,Continuous storage of measured levels during an event.,NEW,NOISELAW_2026_08_02
Sound check limit,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,Separate limit or time restriction for rehearsal/soundcheck.,NEW,NOISELAW_2026_08_02
Bass containment,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,Controlling low-frequency spill at venues/festivals; often more important than A-weighted level alone.,NEW,NOISELAW_2026_08_02
Subwoofer directivity control,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,Cardioid/end-fire/gradient sub arrays used to reduce off-site bass complaints.,NEW,NOISELAW_2026_08_02
Off-site noise monitoring,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,Measurements at residential receivers or property boundaries during events.,NEW,NOISELAW_2026_08_02
Real-time noise display,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,"Screen showing LAeq, LCeq, peaks, or exceedances to engineers, production, or regulators.",NEW,NOISELAW_2026_08_02
Exceedance event,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,A logged breach of a limit.,NEW,NOISELAW_2026_08_02
Exceedance allowance,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,Some permits allow brief exceedances; others do not.,NEW,NOISELAW_2026_08_02
Music noise level (MNL),"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,UK/Commonwealth-style term for music sound at a receiver.,NEW,NOISELAW_2026_08_02
Entertainment noise,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,"Regulatory category for sound from concerts, clubs, pubs, bars, festivals.",NEW,NOISELAW_2026_08_02
Patron noise,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,Crowd/queue/smoking-area noise; often regulated separately from amplified music.,NEW,NOISELAW_2026_08_02
Outdoor stage orientation,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,Compliance-relevant design variable for festivals.,NEW,NOISELAW_2026_08_02
Curfew breach,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,Violation of a required stop or reduction time.,NEW,NOISELAW_2026_08_02
Special event permit,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,Temporary authorization with sound conditions.,NEW,NOISELAW_2026_08_02
Mass-gathering noise condition,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,Permit condition for large public events.,NEW,NOISELAW_2026_08_02
Pyrotechnic peak noise,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,"Peak-pressure issue from fireworks/pyrotechnics, often regulated separately from music LAeq.",NEW,NOISELAW_2026_08_02
Recreational noise exposure,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,"Non-occupational exposure from music, headphones, clubs, sports, events.",NEW,NOISELAW_2026_08_02
Make Listening Safe,"Sound Law, Noise Regulation & Compliance",Sound Law — Live Events & Entertainment Compliance,WHO initiative/terminology around safe listening at venues and on personal audio systems.,NEW,NOISELAW_2026_08_02
Strategic noise mapping,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation","Large-scale mapped assessment of environmental-noise exposure, required under the EU Environmental Noise Directive.",NEW,NOISELAW_2026_08_02
Noise action plan,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Government plan to manage/reduce environmental noise based on mapping.,NEW,NOISELAW_2026_08_02
Agglomeration noise,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",EU environmental-noise term for urban areas large enough to require mapping/action planning.,NEW,NOISELAW_2026_08_02
Quiet area,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Protected area where existing good acoustic quality should be preserved.,NEW,NOISELAW_2026_08_02
Facade correction,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Adjustment for facade reflections during environmental-noise measurement.,NEW,NOISELAW_2026_08_02
Reflection correction,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Correction applied when measured levels include reflected sound.,NEW,NOISELAW_2026_08_02
Microphone height criterion,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation","Required measurement height (often 1.2-1.5 m locally, 4 m for strategic mapping).",NEW,NOISELAW_2026_08_02
Most-exposed facade,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Building side receiving the highest environmental noise.,NEW,NOISELAW_2026_08_02
Receiver grid,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Spatial calculation grid used in noise mapping.,NEW,NOISELAW_2026_08_02
Noise contour,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Line of equal sound level across a map.,NEW,NOISELAW_2026_08_02
Iso-decibel contour,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation","Same as a noise contour; common in airport, industrial, festival modeling.",NEW,NOISELAW_2026_08_02
Noise catchment,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Area affected by a source's noise footprint.,NEW,NOISELAW_2026_08_02
Acoustic zoning,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Land-use classification by permitted noise sensitivity or emission levels.,NEW,NOISELAW_2026_08_02
Zoning noise criterion,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation","Limit tied to residential, commercial, industrial, mixed-use, or special-use zones.",NEW,NOISELAW_2026_08_02
Time-of-day correction,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Penalty or limit change for evening/night periods.,NEW,NOISELAW_2026_08_02
Evening penalty,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Additional dB penalty for evening noise in Lden-type systems.,NEW,NOISELAW_2026_08_02
Night penalty,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Additional dB penalty for night noise in Lden-type systems.,NEW,NOISELAW_2026_08_02
Emergence,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Difference between source noise and background/residual noise; used in Europe for venue/plant assessment.,NEW,NOISELAW_2026_08_02
Specific noise emergence,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Amount a specific source rises above residual background.,NEW,NOISELAW_2026_08_02
Tonality assessment,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Objective/subjective determination of tonal content for penalty application.,NEW,NOISELAW_2026_08_02
Narrowband analysis for tonality,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",FFT or 1/3-octave method used to identify prominent tones.,NEW,NOISELAW_2026_08_02
Audibility correction,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Penalty based on whether a feature is clearly audible at the receiver.,NEW,NOISELAW_2026_08_02
Low-frequency C-A difference,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Difference between dBC and dBA; indicator of bass dominance.,NEW,NOISELAW_2026_08_02
dB(C) minus dB(A),"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Practical field check for low-frequency content; high values suggest bass/rumble concerns.,NEW,NOISELAW_2026_08_02
Indoor audibility criterion,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation","Rule based on whether music/bass is audible inside a residence, not only outdoor dB level.",NEW,NOISELAW_2026_08_02
Sleep disturbance criterion,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Night-noise criterion intended to protect sleep.,NEW,NOISELAW_2026_08_02
Annoyance dose-response,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Statistical relationship between sound exposure and percentage highly annoyed (ISO 1996 / WHO health-effect relationships).,NEW,NOISELAW_2026_08_02
Highly annoyed percentage (%HA),"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Environmental-noise impact metric.,NEW,NOISELAW_2026_08_02
Highly sleep disturbed (%HSD),"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Night-noise health-impact metric.,NEW,NOISELAW_2026_08_02
Soundscape assessment,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation","Human-centered assessment of acoustic-environment quality, not only noise level.",NEW,NOISELAW_2026_08_02
Acoustic environment quality,"Sound Law, Noise Regulation & Compliance","Sound Law — Assessment, Mapping & Mitigation",Broader planning concept including wanted and unwanted sound.,NEW,NOISELAW_2026_08_02
