term,subject,landing_topic,landing_gs,achievement_id,status,source_batch,related_parent_xref,framing_note
Third-window syndrome,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Cochlear conductive hearing loss,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Pseudoconductive hearing loss,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Carhart notch,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Bing effect,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Stenger effect,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Pseudohypacusis,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Functional hearing loss,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Auditory agnosia,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Pure word deafness,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Phonagnosia,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Amusia with auditory agnosia,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Minimum audible angle,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Minimum audible movement angle,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Localization blur,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Localization bias,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Localization compression,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Localization gain,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Front-back confusion,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Up-down confusion,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Cone of confusion,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Monaural spectral-shape cue,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Pinna-cue remapping,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Spectral-cue reweighting,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Dynamic localization cue,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Head-motion disambiguation,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Auditory parallax,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Acoustic looming,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Auditory motion aftereffect,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Auditory saltation,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Ventriloquism aftereffect,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Spatial ventriloquism,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Proximity-image effect,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Trading ratio,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Time-intensity trading,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Binaural sluggishness,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Binaural adaptation,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Binaural temporal window,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Interaural decorrelation,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Binaural diffuseness,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Auditory spaciousness,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Interaural cross-correlation coefficient,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Early interaural cross-correlation coefficient,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Binaural quality index,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Spatial release from masking,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Equalization-cancellation model,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Better-ear listening,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Better-ear glimpsing,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Binaural unmasking,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Spatially induced release from informational masking,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Precedence buildup,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Precedence breakdown,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Clifton effect,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Echo threshold,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Localization dominance,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Lag discrimination suppression,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Binaural room scanning,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Auditory distance externalization,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Internalization,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Proximal-source effect,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Near-field interaural level difference,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,Interaural Level Difference,
Acoustic bright spot,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Acoustic contrast control,Spatial Hearing & Localization,Spatial Hearing & Localization,1450,f85186b4-00cc-48a2-a44f-663c9a958ce2,to_author,SUB90_GROW_2026_08_01,,
Speech transmission index for telecommunication systems,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Modulation transfer index,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Modulation transfer function,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,Transfer function,
Apparent signal-to-noise ratio,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,Signal-to-noise ratio,
Auditory masking correction,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,Auditory Masking,
Level-dependent masking correction,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Modulation-frequency weighting,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Octave-band contribution,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Redundancy correction,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
STI qualification band,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Indirect STI method,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Direct STI method,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Full STI,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Speech privacy index,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,Speech Privacy,
Distraction distance,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Privacy distance,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Speech level at 1 metre,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Vocal effort correction,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Lombard speech,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Lombard gain,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Lombard slope,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Speech-shaped noise,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Speech-modulated noise,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
International speech test signal,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Long-term average speech spectrum,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Speech intelligibility index band-importance function,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Audibility function,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Equivalent speech spectrum level,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Disturbance spectrum level,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Equivalent masking spectrum level,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Speech dynamic range factor,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Articulation index density,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Phoneme confusion matrix,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Feature transmission analysis,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Consonant confusion,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Vowel-consonant-vowel corpus,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Diagnostic rhyme test,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Modified rhyme test,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Phonetically balanced word list,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Semantically unpredictable sentence,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Matrix sentence test,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Coordinate response measure corpus,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Speech reception threshold in noise,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Psychometric-function slope,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Ceiling effect in intelligibility testing,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Floor effect in intelligibility testing,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Glimpsed speech,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Spectrotemporal glimpse,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Glimpse proportion,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Glimpsed threshold,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Dip listening,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Masking release,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Modulation masking release,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Spatial masking release,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Informational masking,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Energetic masking,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Perceptual masking,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Target-masker linguistic similarity,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Talker uncertainty,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Masker uncertainty,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Voice-cue segregation,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Intelligibility-weighted signal-to-noise ratio,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Envelope-regression intelligibility metric,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Short-time objective intelligibility,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
Extended short-time objective intelligibility,Speech Intelligibility,Speech Intelligibility,1460,9044d340-37f0-45a3-8b6e-960da039a428,to_author,SUB90_GROW_2026_08_01,,
