term,cluster
Distortion Product OAE (DPOAE),CLUSTER_C_clinical_tests
Duration Discrimination,CLUSTER_C_clinical_tests
Ear-Specific Testing,CLUSTER_C_clinical_tests
Electrocochleography (ECoG),CLUSTER_C_clinical_tests
Extended High-Frequency Audiometry,CLUSTER_C_clinical_tests
False Negative Response,CLUSTER_C_clinical_tests
False Positive Response,CLUSTER_C_clinical_tests
Follow-Up Audiogram,CLUSTER_C_clinical_tests
Hearing Assessment,CLUSTER_C_clinical_tests
Hearing Assessment Report,CLUSTER_C_clinical_tests
Hearing Asymmetry,CLUSTER_C_clinical_tests
Hearing Conservation Audiometry,CLUSTER_C_clinical_tests
Hearing Evaluation,CLUSTER_C_clinical_tests
Hearing Monitoring Program,CLUSTER_C_clinical_tests
High-Frequency Hearing Assessment,CLUSTER_C_clinical_tests
HINT (Hearing in Noise Test),CLUSTER_C_clinical_tests
Loudness Discrimination,CLUSTER_C_clinical_tests
Loudness Scaling,CLUSTER_C_clinical_tests
Low-Frequency Hearing Assessment,CLUSTER_C_clinical_tests
Monaural Assessment,CLUSTER_C_clinical_tests
Otolaryngology (ENT),CLUSTER_C_clinical_tests
Otology,CLUSTER_C_clinical_tests
QuickSIN,CLUSTER_C_clinical_tests
Sound Booth,CLUSTER_C_clinical_tests
Speech Detection Threshold (SDT),CLUSTER_C_clinical_tests
Test Environment,CLUSTER_C_clinical_tests
Test Instructions,CLUSTER_C_clinical_tests
Test Reliability,CLUSTER_C_clinical_tests
Test Validity,CLUSTER_C_clinical_tests
Test-Retest Reliability,CLUSTER_C_clinical_tests
Transient-Evoked OAE (TEOAE),CLUSTER_C_clinical_tests
Tympanogram,CLUSTER_C_clinical_tests
Tympanometry,CLUSTER_C_clinical_tests
Aphonia,CLUSTER_D_clinical_voice
Articulators,CLUSTER_D_clinical_voice
Breathy Onset,CLUSTER_D_clinical_voice
Cepstral Peak Prominence,CLUSTER_D_clinical_voice
Coordinated Onset,CLUSTER_D_clinical_voice
Dysphonia,CLUSTER_D_clinical_voice
Glottal Cycle,CLUSTER_D_clinical_voice
Glottal Pulse,CLUSTER_D_clinical_voice
Glottis,CLUSTER_D_clinical_voice
Hard Glottal Onset,CLUSTER_D_clinical_voice
Harmonic-to-Noise Ratio,CLUSTER_D_clinical_voice
Hydration,CLUSTER_D_clinical_voice
Jitter,CLUSTER_D_clinical_voice
Larynx,CLUSTER_D_clinical_voice
Nasal Cavity,CLUSTER_D_clinical_voice
Oral Cavity,CLUSTER_D_clinical_voice
Persistent Voice Change,CLUSTER_D_clinical_voice
Pharynx,CLUSTER_D_clinical_voice
Phonation,CLUSTER_D_clinical_voice
Phonation Threshold Pressure,CLUSTER_D_clinical_voice
Phonotrauma,CLUSTER_D_clinical_voice
Pressed Phonation,CLUSTER_D_clinical_voice
Respiratory Support,CLUSTER_D_clinical_voice
Shimmer,CLUSTER_D_clinical_voice
Subglottal Pressure,CLUSTER_D_clinical_voice
Surface Hydration,CLUSTER_D_clinical_voice
Velum,CLUSTER_D_clinical_voice
Vocal Cool-Down,CLUSTER_D_clinical_voice
Vocal Dose,CLUSTER_D_clinical_voice
Vocal Folds,CLUSTER_D_clinical_voice
Vocal Health,CLUSTER_D_clinical_voice
Vocal Load,CLUSTER_D_clinical_voice
Vocal Onset,CLUSTER_D_clinical_voice
Vocal Recovery,CLUSTER_D_clinical_voice
Vocal Source,CLUSTER_D_clinical_voice
Vocal Stability,CLUSTER_D_clinical_voice
Vocal Strain,CLUSTER_D_clinical_voice
Vocal Tract,CLUSTER_D_clinical_voice
Vocal Warm-Up,CLUSTER_D_clinical_voice
Vocal-Fold Vibration,CLUSTER_D_clinical_voice
Voice-Specialist Referral,CLUSTER_D_clinical_voice
