term,topic
Musical intervals as ratios,"Frequency, Pitch & Hearing"
Frequency-to-note conversion,"Frequency, Pitch & Hearing"
Critical bands,"Frequency, Pitch & Hearing"
Auditory filters,"Frequency, Pitch & Hearing"
Place theory of pitch,"Frequency, Pitch & Hearing"
Temporal theory of pitch,"Frequency, Pitch & Hearing"
Phase locking in hearing,"Frequency, Pitch & Hearing"
Pitch perception of complex tones,"Frequency, Pitch & Hearing"
Pitch perception of noise,"Frequency, Pitch & Hearing"
Linear amplitude versus logarithmic level,"Level, Decibels & Loudness"
Why decibels are ratios,"Level, Decibels & Loudness"
Power ratio versus amplitude ratio,"Level, Decibels & Loudness"
10 log versus 20 log calculations,"Level, Decibels & Loudness"
Reference quantities,"Level, Decibels & Loudness"
Absolute versus relative decibels,"Level, Decibels & Loudness"
dBW,"Level, Decibels & Loudness"
dBA,"Level, Decibels & Loudness"
dBC,"Level, Decibels & Loudness"
dBZ,"Level, Decibels & Loudness"
LKFS,"Level, Decibels & Loudness"
Equivalent continuous level,"Level, Decibels & Loudness"
Peak level versus RMS level,"Level, Decibels & Loudness"
Average level versus perceived loudness,"Level, Decibels & Loudness"
Addition of decibel values,"Level, Decibels & Loudness"
Subtraction of decibel values,"Level, Decibels & Loudness"
Doubling power versus doubling amplitude,"Level, Decibels & Loudness"
Doubling distance versus level change,"Level, Decibels & Loudness"
Doubling sources versus level change,"Level, Decibels & Loudness"
Power gain,"Level, Decibels & Loudness"
Acoustic gain,"Level, Decibels & Loudness"
Nominal operating level,"Level, Decibels & Loudness"
Maximum operating level,"Level, Decibels & Loudness"
Signal-to-distortion ratio,"Level, Decibels & Loudness"
Effective dynamic range,"Level, Decibels & Loudness"
Meter integration time,"Level, Decibels & Loudness"
Crest-factor implications,"Level, Decibels & Loudness"
Loudness versus level,"Level, Decibels & Loudness"
Loudness adaptation,"Level, Decibels & Loudness"
Temporal integration of loudness,"Level, Decibels & Loudness"
Phase as a relative measurement,"Phase, Timing & Interference"
Phase shift versus time delay,"Phase, Timing & Interference"
Frequency-dependent phase shift,"Phase, Timing & Interference"
Constant time delay producing different phase shifts by frequency,"Phase, Timing & Interference"
Partial interference,"Phase, Timing & Interference"
Cancellation,"Phase, Timing & Interference"
Why cancellation is rarely complete,"Phase, Timing & Interference"
Comb-filter spacing,"Phase, Timing & Interference"
First cancellation frequency,"Phase, Timing & Interference"
Phase inversion,"Phase, Timing & Interference"
All-pass behavior,"Phase, Timing & Interference"
Minimum-phase systems,"Phase, Timing & Interference"
Linear-phase systems,"Phase, Timing & Interference"
Nonminimum-phase systems,"Phase, Timing & Interference"
Excess phase,"Phase, Timing & Interference"
Group-delay distortion,"Phase, Timing & Interference"
Interchannel phase difference,"Phase, Timing & Interference"
Delay versus latency,"Phase, Timing & Interference"
Processing delay,"Phase, Timing & Interference"
Buffering delay,"Phase, Timing & Interference"
Alignment delay,"Phase, Timing & Interference"
Localization dominance,"Phase, Timing & Interference"
Fusion threshold,"Phase, Timing & Interference"
"Relationship among frequency, wavelength, and sound speed",Wavelength & Physical Scale
Why low frequencies have long wavelengths,Wavelength & Physical Scale
Why wavelength affects room behavior,Wavelength & Physical Scale
Quarter-wavelength relationships,Wavelength & Physical Scale
Half-wavelength relationships,Wavelength & Physical Scale
Boundary spacing and cancellation,Wavelength & Physical Scale
Loudspeaker spacing and interference,Wavelength & Physical Scale
Microphone spacing and phase interaction,Wavelength & Physical Scale
Driver spacing and lobing,Wavelength & Physical Scale
Acoustic path-length difference,Wavelength & Physical Scale
Distance-to-phase conversion,Wavelength & Physical Scale
Frequency-dependent directionality,Wavelength & Physical Scale
Object size relative to wavelength,Wavelength & Physical Scale
Diffraction around obstacles,Wavelength & Physical Scale
Shadow zones,Wavelength & Physical Scale
Acoustic aperture,Wavelength & Physical Scale
Effective radiating size,Wavelength & Physical Scale
Conservation of acoustic energy,"Reflection, Diffraction & Room Acoustics"
Angle of incidence,"Reflection, Diffraction & Room Acoustics"
Angle of reflection,"Reflection, Diffraction & Room Acoustics"
Boundary impedance,"Reflection, Diffraction & Room Acoustics"
Sound-speed gradients,"Reflection, Diffraction & Room Acoustics"
Temperature-gradient refraction,"Reflection, Diffraction & Room Acoustics"
Wind-gradient refraction,"Reflection, Diffraction & Room Acoustics"
Atmospheric sound bending,"Reflection, Diffraction & Room Acoustics"
Aperture diffraction,"Reflection, Diffraction & Room Acoustics"
Scattering,"Reflection, Diffraction & Room Acoustics"
Surface roughness relative to wavelength,"Reflection, Diffraction & Room Acoustics"
Scattering coefficient,"Reflection, Diffraction & Room Acoustics"
Diffusion coefficient,"Reflection, Diffraction & Room Acoustics"
Slapback reflection,"Reflection, Diffraction & Room Acoustics"
Early reflections,"Reflection, Diffraction & Room Acoustics"
Reflection density,"Reflection, Diffraction & Room Acoustics"
Reflection order,"Reflection, Diffraction & Room Acoustics"
Wave-based acoustics,"Reflection, Diffraction & Room Acoustics"
Transition between modal and geometric behavior,"Reflection, Diffraction & Room Acoustics"
T20 and T30 extrapolation,"Reflection, Diffraction & Room Acoustics"
Sabine equation,"Reflection, Diffraction & Room Acoustics"
Eyring equation,"Reflection, Diffraction & Room Acoustics"
Room constant,"Reflection, Diffraction & Room Acoustics"
Reflection density growth,"Reflection, Diffraction & Room Acoustics"
Diffuse-field assumptions,"Reflection, Diffraction & Room Acoustics"
Room modes,"Reflection, Diffraction & Room Acoustics"
Axial modes,"Reflection, Diffraction & Room Acoustics"
Tangential modes,"Reflection, Diffraction & Room Acoustics"
Oblique modes,"Reflection, Diffraction & Room Acoustics"
Modal frequency calculation,"Reflection, Diffraction & Room Acoustics"
Modal degeneracy,"Reflection, Diffraction & Room Acoustics"
Mode clustering,"Reflection, Diffraction & Room Acoustics"
Mode spacing,"Reflection, Diffraction & Room Acoustics"
Modal ringing,"Reflection, Diffraction & Room Acoustics"
Standing waves,"Reflection, Diffraction & Room Acoustics"
Pressure nodes,"Reflection, Diffraction & Room Acoustics"
Pressure antinodes,"Reflection, Diffraction & Room Acoustics"
Particle-velocity nodes,"Reflection, Diffraction & Room Acoustics"
Particle-velocity antinodes,"Reflection, Diffraction & Room Acoustics"
Listener-boundary interference response,"Reflection, Diffraction & Room Acoustics"
Floor-bounce cancellation,"Reflection, Diffraction & Room Acoustics"
Ceiling-bounce cancellation,"Reflection, Diffraction & Room Acoustics"
Desk reflection,"Reflection, Diffraction & Room Acoustics"
Front-wall cancellation,"Reflection, Diffraction & Room Acoustics"
Rear-wall interference,"Reflection, Diffraction & Room Acoustics"
Room gain,"Reflection, Diffraction & Room Acoustics"
Porous absorption,"Reflection, Diffraction & Room Acoustics"
Membrane absorption,"Reflection, Diffraction & Room Acoustics"
Diaphragmatic absorption,"Reflection, Diffraction & Room Acoustics"
Panel absorbers,"Reflection, Diffraction & Room Acoustics"
Slat and perforated absorbers,"Reflection, Diffraction & Room Acoustics"
Pressure-based absorbers,"Reflection, Diffraction & Room Acoustics"
Velocity-based absorbers,"Reflection, Diffraction & Room Acoustics"
Air-gap effects behind absorbers,"Reflection, Diffraction & Room Acoustics"
Absorber thickness versus frequency,"Reflection, Diffraction & Room Acoustics"
Quarter-wavelength absorber placement,"Reflection, Diffraction & Room Acoustics"
Diffuser design,"Reflection, Diffraction & Room Acoustics"
Quadratic-residue diffusion,"Reflection, Diffraction & Room Acoustics"
Primitive-root diffusion,"Reflection, Diffraction & Room Acoustics"
Skyline diffusion,"Reflection, Diffraction & Room Acoustics"
Temporal diffusion,"Reflection, Diffraction & Room Acoustics"
Spatial diffusion,"Reflection, Diffraction & Room Acoustics"
Room symmetry,"Reflection, Diffraction & Room Acoustics"
Live-end/dead-end design,"Reflection, Diffraction & Room Acoustics"
Initial time-delay gap,"Reflection, Diffraction & Room Acoustics"
Clarity metrics,"Reflection, Diffraction & Room Acoustics"
Definition metrics,"Reflection, Diffraction & Room Acoustics"
Articulation loss of consonants,"Reflection, Diffraction & Room Acoustics"
Intelligibility versus reverberation,"Reflection, Diffraction & Room Acoustics"
Intelligibility versus noise,"Reflection, Diffraction & Room Acoustics"
Intelligibility versus directivity,"Reflection, Diffraction & Room Acoustics"
Forced resonance,Resonance & Damping
Mechanical resonance,Resonance & Damping
Acoustic resonance,Resonance & Damping
Electrical resonance,Resonance & Damping
Resonant modes,Resonance & Damping
Resonance buildup,Resonance & Damping
Resonance decay,Resonance & Damping
Quality factor,Resonance & Damping
Bandwidth versus Q,Resonance & Damping
Resonant frequency versus center frequency,Resonance & Damping
Coupled resonances,Resonance & Damping
Open-pipe modes,Resonance & Damping
Closed-pipe modes,Resonance & Damping
Stored energy in resonant systems,Resonance & Damping
Transient response of resonant systems,Resonance & Damping
Filter cutoff frequency,Filters & Equalization
Poles and zeros,Filters & Equalization
Magnitude response,Filters & Equalization
Band-reject filter,Filters & Equalization
Parametric equalization,Filters & Equalization
Semiparametric equalization,Filters & Equalization
Graphic equalization,Filters & Equalization
Constant-Q equalizers,Filters & Equalization
Proportional-Q equalizers,Filters & Equalization
Variable-Q equalizers,Filters & Equalization
Minimum-phase equalization,Filters & Equalization
Linear-phase equalization,Filters & Equalization
Mixed-phase equalization,Filters & Equalization
Finite impulse response filters,Filters & Equalization
Infinite impulse response filters,Filters & Equalization
Filter ringing,Filters & Equalization
Post-ringing,Filters & Equalization
Passband ripple,Filters & Equalization
Stopband ripple,Filters & Equalization
Stopband attenuation,Filters & Equalization
Butterworth response,Filters & Equalization
Bessel response,Filters & Equalization
Linkwitz–Riley response,Filters & Equalization
Chebyshev response,Filters & Equalization
Elliptic response,Filters & Equalization
Acoustic versus electrical crossover slopes,Filters & Equalization
Driver offset and crossover phase,Filters & Equalization
Filter interaction,Filters & Equalization
Cascaded filters,Filters & Equalization
Equivalent combined slope,Filters & Equalization
Bilinear transformation,Filters & Equalization
Equalizer interaction between adjacent bands,Filters & Equalization
Graphic-EQ ripple between filters,Filters & Equalization
Boost and cut asymmetry,Filters & Equalization
Equalization versus resonance control,Filters & Equalization
Corrective versus creative equalization,Filters & Equalization
Dynamic range compression,Dynamics Processing (Concepts)
Detector circuit,Dynamics Processing (Concepts)
Averaging detection,Dynamics Processing (Concepts)
Hard-knee versus soft-knee behavior,Dynamics Processing (Concepts)
Time constants,Dynamics Processing (Concepts)
Automatic release,Dynamics Processing (Concepts)
Sidechain filtering,Dynamics Processing (Concepts)
Frequency-conscious compression,Dynamics Processing (Concepts)
De-essing,Dynamics Processing (Concepts)
Dynamic equalization,Dynamics Processing (Concepts)
Compression-induced distortion,Dynamics Processing (Concepts)
Gain modulation,Dynamics Processing (Concepts)
Loudness maximization,Dynamics Processing (Concepts)
Inter-sample overload,Dynamics Processing (Concepts)
Clipping versus limiting,Dynamics Processing (Concepts)
Dynamic-range processing in logarithmic versus linear domains,Dynamics Processing (Concepts)
Difference-frequency distortion,"Harmonics, Distortion & Nonlinearity"
Sum-frequency distortion,"Harmonics, Distortion & Nonlinearity"
Slew-induced distortion,"Harmonics, Distortion & Nonlinearity"
Transient intermodulation distortion,"Harmonics, Distortion & Nonlinearity"
Clipping distortion,"Harmonics, Distortion & Nonlinearity"
Quantization distortion,"Harmonics, Distortion & Nonlinearity"
Phase distortion,"Harmonics, Distortion & Nonlinearity"
Frequency-response distortion,"Harmonics, Distortion & Nonlinearity"
Nonlinear transfer functions,"Harmonics, Distortion & Nonlinearity"
Even-order harmonics,"Harmonics, Distortion & Nonlinearity"
Odd-order harmonics,"Harmonics, Distortion & Nonlinearity"
Saturation curves,"Harmonics, Distortion & Nonlinearity"
Soft saturation,"Harmonics, Distortion & Nonlinearity"
Hard saturation,"Harmonics, Distortion & Nonlinearity"
Tube nonlinearity,"Harmonics, Distortion & Nonlinearity"
Semiconductor nonlinearity,"Harmonics, Distortion & Nonlinearity"
Waveshaping,"Harmonics, Distortion & Nonlinearity"
Foldback distortion,"Harmonics, Distortion & Nonlinearity"
Aliasing from nonlinear processing,"Harmonics, Distortion & Nonlinearity"
Oversampling in nonlinear processors,"Harmonics, Distortion & Nonlinearity"
Memory effects in nonlinear systems,"Harmonics, Distortion & Nonlinearity"
Dynamic nonlinearities,"Harmonics, Distortion & Nonlinearity"
Static nonlinearities,"Harmonics, Distortion & Nonlinearity"
Distortion audibility,"Harmonics, Distortion & Nonlinearity"
Masking of distortion products,"Harmonics, Distortion & Nonlinearity"
Distortion versus coloration,"Harmonics, Distortion & Nonlinearity"
Random noise,Noise (Concepts)
Brown noise,Noise (Concepts)
Blue noise,Noise (Concepts)
Violet noise,Noise (Concepts)
Gray noise,Noise (Concepts)
Gaussian noise,Noise (Concepts)
Uniform noise,Noise (Concepts)
Dither noise,Noise (Concepts)
Clock noise,Noise (Concepts)
Power-supply noise,Noise (Concepts)
Ground noise,Noise (Concepts)
Common-mode noise,Noise (Concepts)
Differential-mode noise,Noise (Concepts)
Noise spectrum,Noise (Concepts)
Noise density,Noise (Concepts)
Noise figure,Noise (Concepts)
Noise correlation,Noise (Concepts)
Correlated noise,Noise (Concepts)
Uncorrelated noise,Noise (Concepts)
Noise summation,Noise (Concepts)
Noise gating artifacts,Noise (Concepts)
Noise masking,Noise (Concepts)
Denoising artifacts,Noise (Concepts)
Musical noise,Noise (Concepts)
Analog-to-digital conversion,Digital Sampling & Conversion
Digital-to-analog conversion,Digital Sampling & Conversion
Sample clock,Digital Sampling & Conversion
Nyquist–Shannon sampling theorem,Digital Sampling & Conversion
Band-limited signals,Digital Sampling & Conversion
Foldover,Digital Sampling & Conversion
Anti-aliasing filtering,Digital Sampling & Conversion
Reconstruction filtering,Digital Sampling & Conversion
Zero-order hold,Digital Sampling & Conversion
Spectral images,Digital Sampling & Conversion
Sinc interpolation,Digital Sampling & Conversion
Band-limited interpolation,Digital Sampling & Conversion
Why digital audio is not simply a staircase,Digital Sampling & Conversion
Samples per cycle,Digital Sampling & Conversion
Frequency ambiguity near Nyquist,Digital Sampling & Conversion
Sample phase,Digital Sampling & Conversion
Polyphase filtering,Digital Sampling & Conversion
Integer-ratio conversion,Digital Sampling & Conversion
Fractional-ratio conversion,Digital Sampling & Conversion
Conversion filter quality,Digital Sampling & Conversion
Sample-rate conversion artifacts,Digital Sampling & Conversion
Periodic jitter,Digital Sampling & Conversion
Random jitter,Digital Sampling & Conversion
Jitter spectrum,Digital Sampling & Conversion
Aperture uncertainty,Digital Sampling & Conversion
Reclocking,Digital Sampling & Conversion
Master and slave clocking,Digital Sampling & Conversion
Sample slips,Digital Sampling & Conversion
Buffer underflow,Digital Sampling & Conversion
Buffer overflow,Digital Sampling & Conversion
Asynchronous sample-rate conversion,Digital Sampling & Conversion
Converter noise and distortion limits,Digital Sampling & Conversion
Quantization levels,Quantization & Numerical Resolution
Quantization step size,Quantization & Numerical Resolution
Word length,Quantization & Numerical Resolution
Least significant bit,Quantization & Numerical Resolution
Most significant bit,Quantization & Numerical Resolution
Quantization error,Quantization & Numerical Resolution
Quantization noise model,Quantization & Numerical Resolution
Correlated quantization distortion,Quantization & Numerical Resolution
Rounding,Quantization & Numerical Resolution
Truncation,Quantization & Numerical Resolution
Requantization,Quantization & Numerical Resolution
Rectangular dither,Quantization & Numerical Resolution
Triangular dither,Quantization & Numerical Resolution
Noise-shaped dither,Quantization & Numerical Resolution
Subtractive dither,Quantization & Numerical Resolution
Dither decorrelation,Quantization & Numerical Resolution
Low-level signal preservation,Quantization & Numerical Resolution
Theoretical dynamic range,Quantization & Numerical Resolution
Integer PCM,Quantization & Numerical Resolution
Signed PCM,Quantization & Numerical Resolution
Unsigned PCM,Quantization & Numerical Resolution
Two's-complement representation,Quantization & Numerical Resolution
Fixed-point arithmetic,Quantization & Numerical Resolution
Floating-point arithmetic,Quantization & Numerical Resolution
Mantissa or significand,Quantization & Numerical Resolution
Exponent,Quantization & Numerical Resolution
Floating-point headroom,Quantization & Numerical Resolution
Floating-point precision,Quantization & Numerical Resolution
Denormal numbers,Quantization & Numerical Resolution
Numerical overflow,Quantization & Numerical Resolution
Numerical underflow,Quantization & Numerical Resolution
Accumulator precision,Quantization & Numerical Resolution
Rounding accumulation,Quantization & Numerical Resolution
Internal processing precision,Quantization & Numerical Resolution
Export bit depth versus processing bit depth,Quantization & Numerical Resolution
Why 32-bit float does not repair ADC clipping,Quantization & Numerical Resolution
Why nominal 24-bit recording does not provide 24 usable bits,Quantization & Numerical Resolution
Discrete-time signals,DSP Concepts
Discrete-valued signals,DSP Concepts
Difference equations,DSP Concepts
Linear convolution,DSP Concepts
Circular convolution,DSP Concepts
Unit impulse,DSP Concepts
System response,DSP Concepts
Time invariance,DSP Concepts
Causality,DSP Concepts
Stability,DSP Concepts
Finite impulse response,DSP Concepts
Infinite impulse response,DSP Concepts
Recursive processing,DSP Concepts
Feedback in digital filters,DSP Concepts
Delay elements,DSP Concepts
Z-plane,DSP Concepts
Stability regions,DSP Concepts
Inverse Fourier transform,DSP Concepts
Time-frequency duality,DSP Concepts
Frequency-bin spacing,DSP Concepts
FFT resolution,DSP Concepts
Time resolution versus frequency resolution,DSP Concepts
Window functions,DSP Concepts
Rectangular window,DSP Concepts
Blackman window,DSP Concepts
Side lobes,DSP Concepts
Scalloping loss,DSP Concepts
Coherent sampling,DSP Concepts
Overlap processing,DSP Concepts
Spectrogram interpretation,DSP Concepts
Wavelet analysis,DSP Concepts
Envelope extraction,DSP Concepts
Cross-spectrum,DSP Concepts
Auto-spectrum,DSP Concepts
Transfer-function estimation,DSP Concepts
System identification,DSP Concepts
Finite precision effects,DSP Concepts
Processing latency,DSP Concepts
Block processing,DSP Concepts
Real-time versus offline processing,DSP Concepts
Audio codec versus container,Audio File Formats & Data
Uncompressed PCM,Audio File Formats & Data
Lossless compression,Audio File Formats & Data
Constant bit rate,Audio File Formats & Data
Variable bit rate,Audio File Formats & Data
Sample rate versus bit rate,Audio File Formats & Data
Bit depth versus bit rate,Audio File Formats & Data
Channel count and data rate,Audio File Formats & Data
Interleaved versus planar audio,Audio File Formats & Data
Byte order,Audio File Formats & Data
Big-endian versus little-endian storage,Audio File Formats & Data
File headers,Audio File Formats & Data
Embedded loudness metadata,Audio File Formats & Data
Psychoacoustic coding,Audio File Formats & Data
Perceptual masking in codecs,Audio File Formats & Data
Transform coding,Audio File Formats & Data
Temporal masking in codecs,Audio File Formats & Data
Pre-echo artifacts,Audio File Formats & Data
Tonal noise artifacts,Audio File Formats & Data
Stereo coupling,Audio File Formats & Data
Mid/side coding,Audio File Formats & Data
Codec generation loss,Audio File Formats & Data
Transcoding loss,Audio File Formats & Data
Normalization metadata,Audio File Formats & Data
Gapless playback,Audio File Formats & Data
Sample-accurate file boundaries,Audio File Formats & Data
Inter-sample peaks after encoding,Audio File Formats & Data
Dither during format conversion,Audio File Formats & Data
File-size calculations,Audio File Formats & Data
Pressure microphones,Microphone Concepts
Pressure-gradient microphones,Microphone Concepts
Velocity-sensitive microphones,Microphone Concepts
Omnidirectional behavior,Microphone Concepts
Directional behavior,Microphone Concepts
Polar patterns,Microphone Concepts
Cardioid formation,Microphone Concepts
Supercardioid pattern,Microphone Concepts
Hypercardioid pattern,Microphone Concepts
Figure-eight pattern,Microphone Concepts
Frequency-dependent polar response,Microphone Concepts
Pressure doubling at boundaries,Microphone Concepts
Diaphragm size versus behavior,Microphone Concepts
Transducer sensitivity,Microphone Concepts
Acoustic labyrinths,Microphone Concepts
Rear-port delay networks,Microphone Concepts
Interference tubes,Microphone Concepts
Condenser polarization,Microphone Concepts
Dynamic-microphone induction,Microphone Concepts
Ribbon-microphone operation,Microphone Concepts
Ribbon loading,Microphone Concepts
Transformer effects,Microphone Concepts
Balanced microphone lines,Microphone Concepts
Microphone preamplifier noise,Microphone Concepts
Critical distance and microphone placement,Microphone Concepts
Distance factor,Microphone Concepts
Phase interaction between microphones,Microphone Concepts
3:1 placement guideline,Microphone Concepts
Coincident stereo arrays,Microphone Concepts
Near-coincident arrays,Microphone Concepts
Spaced arrays,Microphone Concepts
Ambisonic microphones,Microphone Concepts
Mid/side recording,Microphone Concepts
Blumlein configuration,Microphone Concepts
Boundary microphones,Microphone Concepts
Moving-coil loudspeaker operation,Loudspeaker Concepts
Electromagnetic force,Loudspeaker Concepts
Cone motion,Loudspeaker Concepts
Diaphragm breakup,Loudspeaker Concepts
Piston-band operation,Loudspeaker Concepts
Back electromotive force,Loudspeaker Concepts
Loudspeaker impedance,Loudspeaker Concepts
Nominal versus actual impedance,Loudspeaker Concepts
Impedance curves,Loudspeaker Concepts
Resonant impedance peak,Loudspeaker Concepts
Sensitivity versus efficiency,Loudspeaker Concepts
Excursion limits,Loudspeaker Concepts
Linear excursion,Loudspeaker Concepts
Mechanical excursion,Loudspeaker Concepts
Cone displacement,Loudspeaker Concepts
Beam narrowing,Loudspeaker Concepts
Driver spacing,Loudspeaker Concepts
Crossover interference,Loudspeaker Concepts
Acoustic-center offset,Loudspeaker Concepts
Coaxial loudspeakers,Loudspeaker Concepts
Point-source approximation,Loudspeaker Concepts
Line-source approximation,Loudspeaker Concepts
Acoustic impedance transformation,Loudspeaker Concepts
Horn directivity,Loudspeaker Concepts
Constant-directivity horns,Loudspeaker Concepts
Waveguides,Loudspeaker Concepts
Compression drivers,Loudspeaker Concepts
Phase plugs,Loudspeaker Concepts
Ported enclosures,Loudspeaker Concepts
Sealed enclosures,Loudspeaker Concepts
Passive radiators,Loudspeaker Concepts
Transmission lines,Loudspeaker Concepts
Band-pass enclosures,Loudspeaker Concepts
Port air velocity,Loudspeaker Concepts
Group delay in loudspeaker systems,Loudspeaker Concepts
Cardioid subwoofer arrays,Loudspeaker Concepts
End-fire arrays,Loudspeaker Concepts
Gradient arrays,Loudspeaker Concepts
Broadside arrays,Loudspeaker Concepts
Steering,Loudspeaker Concepts
Electronic beamforming,Loudspeaker Concepts
Line arrays,Loudspeaker Concepts
Line-array curvature,Loudspeaker Concepts
Cylindrical spreading assumptions,Loudspeaker Concepts
Near-field and far-field transitions,Loudspeaker Concepts
Splay angles,Loudspeaker Concepts
Grating lobes,Loudspeaker Concepts
Array coherence,Loudspeaker Concepts
Acoustic crossover between array elements,Loudspeaker Concepts
Capacitance,Amplifiers & Electrical Audio
Inductance,Amplifiers & Electrical Audio
Electrical power,Amplifiers & Electrical Audio
Alternating current,Amplifiers & Electrical Audio
Direct current,Amplifiers & Electrical Audio
Peak voltage,Amplifiers & Electrical Audio
Balanced signaling,Amplifiers & Electrical Audio
Unbalanced signaling,Amplifiers & Electrical Audio
Differential signaling,Amplifiers & Electrical Audio
Grounding,Amplifiers & Electrical Audio
Ground loops,Amplifiers & Electrical Audio
Signal ground versus safety ground,Amplifiers & Electrical Audio
Isolation transformers,Amplifiers & Electrical Audio
Input impedance,Amplifiers & Electrical Audio
Source-load interaction,Amplifiers & Electrical Audio
Maximum power transfer,Amplifiers & Electrical Audio
Voltage-divider effects,Amplifiers & Electrical Audio
Cable inductance,Amplifiers & Electrical Audio
Cable resistance,Amplifiers & Electrical Audio
Transmission-line behavior,Amplifiers & Electrical Audio
Reflections in digital cables,Amplifiers & Electrical Audio
Amplifier gain,Amplifiers & Electrical Audio
Voltage sensitivity,Amplifiers & Electrical Audio
Amplifier clipping,Amplifiers & Electrical Audio
Output-current limiting,Amplifiers & Electrical Audio
Thermal limiting,Amplifiers & Electrical Audio
Class A amplification,Amplifiers & Electrical Audio
Class B amplification,Amplifiers & Electrical Audio
Class AB amplification,Amplifiers & Electrical Audio
Class D amplification,Amplifiers & Electrical Audio
Feedback stability,Amplifiers & Electrical Audio
Bridged amplifier operation,Amplifiers & Electrical Audio
Parallel amplifier operation,Amplifiers & Electrical Audio
Constant-voltage distributed systems,Amplifiers & Electrical Audio
70-volt and 100-volt systems,Amplifiers & Electrical Audio
Transformer taps,Amplifiers & Electrical Audio
Loudspeaker load calculations,Amplifiers & Electrical Audio
Series and parallel loads,Amplifiers & Electrical Audio
Reactive loudspeaker loads,Amplifiers & Electrical Audio
Serial digital audio,Audio Networking & Transport (Concepts)
Parallel digital audio,Audio Networking & Transport (Concepts)
Bit clock,Audio Networking & Transport (Concepts)
Frame clock,Audio Networking & Transport (Concepts)
Embedded clocking,Audio Networking & Transport (Concepts)
Jitter accumulation,Audio Networking & Transport (Concepts)
Synchronization,Audio Networking & Transport (Concepts)
Sample-accurate synchronization,Audio Networking & Transport (Concepts)
Linear timecode,Audio Networking & Transport (Concepts)
MIDI timecode,Audio Networking & Transport (Concepts)
Precision Time Protocol,Audio Networking & Transport (Concepts)
Network clock domains,Audio Networking & Transport (Concepts)
Packetized audio,Audio Networking & Transport (Concepts)
Deterministic latency,Audio Networking & Transport (Concepts)
Variable latency,Audio Networking & Transport (Concepts)
