term,proposed_topic,source_batch
Audio identification,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Audio interactivity,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio manifestation,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio matching,Music Info Retrieval & Machine Listening (Standards),Standards list
Audio media timescale,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio metadata code point,Audio Metadata & File Formats (Standards),Standards list
Audio metadata enhancement,Audio Metadata & File Formats (Standards),Standards list
Audio metadata invalidation,Audio Metadata & File Formats (Standards),Standards list
Audio mixing node,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio multiplex element,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio object characteristic,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio object structure,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio over asynchronous transfer mode,Audio Transport & Networking (Standards),Standards list
Audio power,General Audio & Signal Terms (Standards),Standards list
Audio preroll,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio preroll recovery,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio preservation event,Audio Metadata & File Formats (Standards),Standards list
Audio profile-level compatibility,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio profile-level indication,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio protocol discriminator,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio sample description,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio sample duration,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio sample entry,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio sample group,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio sample packet,Audio Transport & Networking (Standards),Standards list
Audio sample table,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio sampling clock traceability,Audio Transport & Networking (Standards),Standards list
Audio scene,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio scene adaptation,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio scene anchor,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio scene composition,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio scene configuration,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio scene coordinate system,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio scene descriptor,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio scene displacement,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio scene graph,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio scene information,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio scene metadata,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio scene origin,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio scene reference point,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio scene rendering,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio scene rotation,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio scene scaling,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio scene translation,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio scene-graph traversal,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio signature,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Audio source node,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio spatialization node,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio spectrum basis,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Audio spectrum centroid,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Audio spectrum envelope,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Audio spectrum flatness,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Audio spectrum projection,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Audio spectrum spread,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Audio stream configuration,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio stream synchronization tolerance,Audio Transport & Networking (Standards),Standards list
Audio style-transfer defense,Neural / ML Audio (Standards),Standards list
Audio subframe,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio superframe,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio switch node,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio sync stream,Audio Transport & Networking (Standards),Standards list
Audio synchronization word,Audio Transport & Networking (Standards),Standards list
Audio track timescale,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio waveform descriptor,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Audio-Language Retrieval,Music Info Retrieval & Machine Listening (Standards),Standards list
Audio-Sheet-Music Correspondence,Music Info Retrieval & Machine Listening (Standards),Standards list
Audio-bound metadata,Audio Metadata & File Formats (Standards),Standards list
Audio-content indexing,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Audio-description extraction,General Audio & Signal Terms (Standards),Standards list
Audio-description presentation,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio-embedded downmix metadata,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio-embedded loudness metadata,Broadcast Loudness & Compliance,Standards list
Audio-embedded metadata,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio-embedded true-peak metadata,Broadcast Loudness & Compliance,Standards list
Audio-event description,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Audio-format box,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio-format migration,Audio Metadata & File Formats (Standards),Standards list
Audio-frequency shield behavior,General Audio & Signal Terms (Standards),Standards list
Audio-network code-point registry,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio-node event,General Audio & Signal Terms (Standards),Standards list
Audio-node field,General Audio & Signal Terms (Standards),Standards list
Audio-node routing,General Audio & Signal Terms (Standards),Standards list
Audio-object instantiation,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio-object integrity,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio-object provenance,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio-object relationship,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio-rate processing,General Audio & Signal Terms (Standards),Standards list
Audio-sample metadata embedding,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio-sample time identification,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Audio-segment decomposition,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Audio-segment descriptor,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Audio-source classification,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Audio-specific configuration,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio-to-Lyrics Alignment,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Audio-to-Score Alignment,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Audio-visual coherence,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio-visual object association,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio-visual position mismatch,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio-visual spatial alignment,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio-visual synchronization metadata,Audio Transport & Networking (Standards),Standards list
AudioBIFS,MPEG Audio Systems & Container Formats (Standards),Standards list
Audiometric reference zero,Psychoacoustics & Audiology (Standards),Standards list
Audiometrically Normal Listener,Psychoacoustics & Audiology (Standards),Standards list
Audiovisual Speech Benefit,General Audio & Signal Terms (Standards),Standards list
Auditory Gap,Psychoacoustics & Hearing (Standards),Standards list
Auditory Negative Afterimage,Psychoacoustics & Hearing (Standards),Standards list
Auditory Sensation Area,Psychoacoustics & Hearing (Standards),Standards list
Auditory Time Error,Psychoacoustics & Hearing (Standards),Standards list
Auditory weighting function,Psychoacoustics & Hearing (Standards),Standards list
Auditory-Filter Asymmetry,Psychoacoustics & Hearing (Standards),Standards list
Auditory-field correction,Psychoacoustics & Hearing (Standards),Standards list
Auditory-filter bandwidth,Psychoacoustics & Hearing (Standards),Standards list
Augmented-reality acoustic environment,Room & Building Acoustics (Standards),Standards list
Augmented-reality listener space,"Immersive, Object & Scene Audio (Standards)",Standards list
Aural Combination Tone,General Audio & Signal Terms (Standards),Standards list
Aural Harmonic,General Audio & Signal Terms (Standards),Standards list
Author-defined preset,General Audio & Signal Terms (Standards),Standards list
Authoring Information,General Audio & Signal Terms (Standards),Standards list
Auxiliary sample bits,General Audio & Signal Terms (Standards),Standards list
Availability Bias,General Audio & Signal Terms (Standards),Standards list
Average Sound-Pressure Level in a Room,General Audio & Signal Terms (Standards),Standards list
Axial Sensitivity,Acoustic Measurement & Metrology (Standards),Standards list
Backward Masking,Psychoacoustics & Hearing (Standards),Standards list
Baffled piston,General Audio & Signal Terms (Standards),Standards list
Band-limiting filter,Audio DSP & Coding Signal Terms (Standards),Standards list
Bandwidth-extension coding,Perceptual Audio Coding (Standards),Standards list
Base curve,General Audio & Signal Terms (Standards),Standards list
Base layer,Perceptual Audio Coding (Standards),Standards list
Baseband audio,Audio DSP & Coding Signal Terms (Standards),Standards list
Basilar-Membrane Motion,Psychoacoustics & Hearing (Standards),Standards list
Beam pattern,Audio DSP & Coding Signal Terms (Standards),Standards list
Beamforming weight vector,Music Info Retrieval & Machine Listening (Standards),Standards list
Beat Histogram,Music Info Retrieval & Machine Listening (Standards),Standards list
Beat Spectrum,Music Info Retrieval & Machine Listening (Standards),Standards list
Bel,Audio DSP & Coding Signal Terms (Standards),Standards list
Between-Channel Masking,Psychoacoustics & Hearing (Standards),Standards list
Bidirectional predictive frame,MPEG Audio Systems & Container Formats (Standards),Standards list
Bilateral Masking-Level Difference,Psychoacoustics & Hearing (Standards),Standards list
Binaural Advantage,Psychoacoustics & Hearing (Standards),Standards list
Binaural Interference,Psychoacoustics & Hearing (Standards),Standards list
Binaural Sluggishness,Psychoacoustics & Hearing (Standards),Standards list
Binaural room impulse response,Psychoacoustics & Hearing (Standards),Standards list
Binaural rendering,"Immersive, Object & Scene Audio (Standards)",Standards list
Binaural unmasking,Psychoacoustics & Hearing (Standards),Standards list
Bistream element,MPEG Audio Systems & Container Formats (Standards),Standards list
Bitstream payload,Perceptual Audio Coding (Standards),Standards list
Blauert Band,Psychoacoustics & Hearing (Standards),Standards list
Block companded PCM,Audio DSP & Coding Signal Terms (Standards),Standards list
Block floating point,Audio DSP & Coding Signal Terms (Standards),Standards list
Block switching,Perceptual Audio Coding (Standards),Standards list
Blocking matrix,Audio DSP & Coding Signal Terms (Standards),Standards list
Bone-conduction threshold,Psychoacoustics & Audiology (Standards),Standards list
Boundary element method,MPEG Audio Systems & Container Formats (Standards),Standards list
Broadband noise,Audio DSP & Coding Signal Terms (Standards),Standards list
Building acoustics descriptor,Room & Building Acoustics (Standards),Standards list
Building service noise,General Audio & Signal Terms (Standards),Standards list
Bulk delay,Audio DSP & Coding Signal Terms (Standards),Standards list
Cardioid response,General Audio & Signal Terms (Standards),Standards list
Cascade filter bank,Audio DSP & Coding Signal Terms (Standards),Standards list
Categorical Loudness Scaling,Broadcast Loudness & Compliance,Standards list
Center-of-gravity effect,Psychoacoustics & Hearing (Standards),Standards list
Cepstral coefficient,Audio DSP & Coding Signal Terms (Standards),Standards list
Channel element,MPEG Audio Systems & Container Formats (Standards),Standards list
Channel pair element,MPEG Audio Systems & Container Formats (Standards),Standards list
Channel-based audio,"Immersive, Object & Scene Audio (Standards)",Standards list
Chirp signal,Audio DSP & Coding Signal Terms (Standards),Standards list
Clarity index,Room & Building Acoustics (Standards),Standards list
Class of a sound level meter,Acoustic Measurement & Metrology (Standards),Standards list
Clean audio,Audio DSP & Coding Signal Terms (Standards),Standards list
Click train,Audio DSP & Coding Signal Terms (Standards),Standards list
Co-articulation cue,Psychoacoustics & Hearing (Standards),Standards list
Coarticulated cue,Psychoacoustics & Hearing (Standards),Standards list
Coded audio access unit,Perceptual Audio Coding (Standards),Standards list
Coded representation,"Immersive, Object & Scene Audio (Standards)",Standards list
Codebook index,Neural / ML Audio (Standards),Standards list
Coherence function,Audio DSP & Coding Signal Terms (Standards),Standards list
Coincidence dip,Audio DSP & Coding Signal Terms (Standards),Standards list
Coincidence frequency,Audio DSP & Coding Signal Terms (Standards),Standards list
Comodulation Masking Release,Psychoacoustics & Hearing (Standards),Standards list
Comfort noise,Audio DSP & Coding Signal Terms (Standards),Standards list
Common Loudspeaker Format,General Audio & Signal Terms (Standards),Standards list
Common intelligibility scale,"Speech, Dialogue & Enhancement (Standards)",Standards list
Complex sound source,General Audio & Signal Terms (Standards),Standards list
Compression driver directivity,General Audio & Signal Terms (Standards),Standards list
Concert-hall acoustics,Room & Building Acoustics (Standards),Standards list
Conditioned Threshold,Psychoacoustics & Hearing (Standards),Standards list
Cone of Confusion,Psychoacoustics & Hearing (Standards),Standards list
Confusion neighborhood,Psychoacoustics & Hearing (Standards),Standards list
Content dependency index,General Audio & Signal Terms (Standards),Standards list
Content kind,General Audio & Signal Terms (Standards),Standards list
Continuous descending method,General Audio & Signal Terms (Standards),Standards list
Continuous rating scale,Psychoacoustics & Hearing (Standards),Standards list
Contralateral routing of signals,Room & Building Acoustics (Standards),Standards list
Contrast gain control,Audio DSP & Coding Signal Terms (Standards),Standards list
Controlled acoustical environment,Room & Building Acoustics (Standards),Standards list
Conversational level,Psychoacoustics & Hearing (Standards),Standards list
Core coder,Perceptual Audio Coding (Standards),Standards list
Core experiment,General Audio & Signal Terms (Standards),Standards list
Coupled channel,General Audio & Signal Terms (Standards),Standards list
Critical Bandwidth,Psychoacoustics & Hearing (Standards),Standards list
Critical ratio,Psychoacoustics & Hearing (Standards),Standards list
Cross-adaptive processing,Psychoacoustics & Hearing (Standards),Standards list
Cross-correlation lag,Audio DSP & Coding Signal Terms (Standards),Standards list
Cross-fade window,Audio DSP & Coding Signal Terms (Standards),Standards list
Cross-modal binding,Psychoacoustics & Hearing (Standards),Standards list
Cross-modulation distortion,Audio DSP & Coding Signal Terms (Standards),Standards list
Cue integration,Psychoacoustics & Hearing (Standards),Standards list
Cumulative distribution of exposure,General Audio & Signal Terms (Standards),Standards list
Cut-off frequency of a filter,Audio DSP & Coding Signal Terms (Standards),Standards list
Damping ratio of a resonator,Audio DSP & Coding Signal Terms (Standards),Standards list
Data-driven room correction,General Audio & Signal Terms (Standards),Standards list
Dead room,General Audio & Signal Terms (Standards),Standards list
Decibel full scale,Audio DSP & Coding Signal Terms (Standards),Standards list
Decibel relative to sound power,Acoustic Measurement & Metrology (Standards),Standards list
Decision-directed estimation,Room & Building Acoustics (Standards),Standards list
Decoded audio,Audio DSP & Coding Signal Terms (Standards),Standards list
Decorrelation filter,Audio DSP & Coding Signal Terms (Standards),Standards list
Dedicated metadata channel,Audio Metadata & File Formats (Standards),Standards list
Deep clustering,Music Info Retrieval & Machine Listening (Standards),Standards list
Delay-and-sum beamformer,Music Info Retrieval & Machine Listening (Standards),Standards list
Delayed masking,Psychoacoustics & Hearing (Standards),Standards list
Denormalized number,Audio DSP & Coding Signal Terms (Standards),Standards list
Depth of modulation,General Audio & Signal Terms (Standards),Standards list
Descriptor scheme,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Detection efficiency,Psychoacoustics & Hearing (Standards),Standards list
Detection theory,Psychoacoustics & Hearing (Standards),Standards list
Deterministic-plus-stochastic model,Room & Building Acoustics (Standards),Standards list
Diagnostic Rhyme Test,Room & Building Acoustics (Standards),Standards list
Dialogue enhancement,"Speech, Dialogue & Enhancement (Standards)",Standards list
Dialogue normalization,Broadcast Loudness & Compliance,Standards list
Dichotic Pitch,Music Info Retrieval & Machine Listening (Standards),Standards list
Difference limen for frequency,Psychoacoustics & Audiology (Standards),Standards list
Difference limen for intensity,Psychoacoustics & Audiology (Standards),Standards list
Diffraction coefficient,Audio DSP & Coding Signal Terms (Standards),Standards list
Diffuse-field equalization,General Audio & Signal Terms (Standards),Standards list
Diffuse-field frequency response,General Audio & Signal Terms (Standards),Standards list
Diffuse-field sensitivity,Acoustic Measurement & Metrology (Standards),Standards list
Directional loudness,Broadcast Loudness & Compliance,Standards list
Directional weighting,General Audio & Signal Terms (Standards),Standards list
Discrete cosine transform coefficient,General Audio & Signal Terms (Standards),Standards list
Discrete-time analytic signal,Audio DSP & Coding Signal Terms (Standards),Standards list
Dispersion relation,General Audio & Signal Terms (Standards),Standards list
Displacement transducer,General Audio & Signal Terms (Standards),Standards list
Distance attenuation model,Environmental & Propagation Acoustics (Standards),Standards list
Distortion product otoacoustic emission,Room & Building Acoustics (Standards),Standards list
Divergence loss,Environmental & Propagation Acoustics (Standards),Standards list
Dominant Frequency Region,General Audio & Signal Terms (Standards),Standards list
Double-blind triple-stimulus test,Room & Building Acoustics (Standards),Standards list
Downmix coefficient,"Immersive, Object & Scene Audio (Standards)",Standards list
Downward Spread of Masking,Psychoacoustics & Hearing (Standards),Standards list
Drift-corrected clock,Audio Transport & Networking (Standards),Standards list
Dry sound,General Audio & Signal Terms (Standards),Standards list
Dual-mono content,General Audio & Signal Terms (Standards),Standards list
Duplex Theory,General Audio & Signal Terms (Standards),Standards list
Duration model,General Audio & Signal Terms (Standards),Standards list
Dynamic Range Control,General Audio & Signal Terms (Standards),Standards list
Ear canal resonance,General Audio & Signal Terms (Standards),Standards list
Echo threshold,Psychoacoustics & Hearing (Standards),Standards list
Effective perceived noise level,General Audio & Signal Terms (Standards),Standards list
Emission sound pressure level,General Audio & Signal Terms (Standards),Standards list
Encoded bitstream,Perceptual Audio Coding (Standards),Standards list
Energy decay relief,General Audio & Signal Terms (Standards),Standards list
Ensemble duration,General Audio & Signal Terms (Standards),Standards list
Envelope following response,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Envelopment,Room & Building Acoustics (Standards),Standards list
Equal-temperament deviation,General Audio & Signal Terms (Standards),Standards list
Equivalent continuous sound level,General Audio & Signal Terms (Standards),Standards list
Equivalent rectangular bandwidth,Psychoacoustics & Hearing (Standards),Standards list
Equivalent sound absorption area,Room & Building Acoustics (Standards),Standards list
Error concealment,General Audio & Signal Terms (Standards),Standards list
Excess attenuation,Environmental & Propagation Acoustics (Standards),Standards list
Excitation pattern,Psychoacoustics & Hearing (Standards),Standards list
Exposure action value,General Audio & Signal Terms (Standards),Standards list
Extended stereo image,General Audio & Signal Terms (Standards),Standards list
Extensible metadata scheme,Audio Metadata & File Formats (Standards),Standards list
External-ear transfer function,General Audio & Signal Terms (Standards),Standards list
Far-field criterion,General Audio & Signal Terms (Standards),Standards list
Fast time weighting,General Audio & Signal Terms (Standards),Standards list
Feature-space maximum-likelihood linear regression,General Audio & Signal Terms (Standards),Standards list
Field calibration,General Audio & Signal Terms (Standards),Standards list
Filter bank,Audio DSP & Coding Signal Terms (Standards),Standards list
