section,term,status,action,current_topics_if_exists
Analog Magnetic Recording,Erase head,NEW,author (net-new),
Analog Magnetic Recording,Record head,NEW,author (net-new),
Analog Magnetic Recording,Playback head,NEW,author (net-new),
Analog Magnetic Recording,Three-head recorder,NEW,author (net-new),
Analog Magnetic Recording,Full-track recording,NEW,author (net-new),
Analog Magnetic Recording,Half-track recording,NEW,author (net-new),
Analog Magnetic Recording,Quarter-track recording,NEW,author (net-new),
Analog Magnetic Recording,Multitrack tape,NEW,author (net-new),
Analog Magnetic Recording,Track width,NEW,author (net-new),
Analog Magnetic Recording,Tape speed,NEW,author (net-new),
Analog Magnetic Recording,IPS (inches per second),NEW,author (net-new),
Analog Magnetic Recording,Tape hiss,NEW,author (net-new),
Analog Magnetic Recording,Tape saturation,NEW,author (net-new),
Analog Magnetic Recording,Tape compression,NEW,author (net-new),
Analog Magnetic Recording,Print-through,NEW,author (net-new),
Analog Magnetic Recording,Tape shedding,NEW,author (net-new),
Analog Magnetic Recording,Sticky-shed syndrome,NEW,author (net-new),
Analog Magnetic Recording,Leader tape,NEW,author (net-new),
Analog Magnetic Recording,Splicing tape,NEW,author (net-new),
Analog Magnetic Recording,Tape splice,NEW,author (net-new),
Analog Magnetic Recording,Tape editing,NEW,author (net-new),
Analog Magnetic Recording,Punch-in recording,NEW,author (net-new),
Analog Magnetic Recording,Punch-out recording,NEW,author (net-new),
Analog Magnetic Recording,Overdub,EXISTS,cross-list into Recorders,DAW Skills
Analog Magnetic Recording,Sound-on-sound recording,NEW,author (net-new),
Analog Magnetic Recording,Sel-sync,NEW,author (net-new),
Analog Magnetic Recording,Tape loop,NEW,author (net-new),
Analog Magnetic Recording,Capstan,NEW,author (net-new),
Analog Magnetic Recording,Pinch roller,NEW,author (net-new),
Analog Magnetic Recording,Take-up reel,NEW,author (net-new),
Analog Magnetic Recording,Supply reel,NEW,author (net-new),
Analog Disc Recording,Phonograph record,NEW,author (net-new),
Analog Disc Recording,Vinyl record,NEW,author (net-new),
Analog Disc Recording,Shellac record,NEW,author (net-new),
Analog Disc Recording,Acetate disc,NEW,author (net-new),
Analog Disc Recording,Lacquer disc,NEW,author (net-new),
Analog Disc Recording,Reference disc,NEW,author (net-new),
Analog Disc Recording,Test pressing,NEW,author (net-new),
Analog Disc Recording,Groove pitch,NEW,author (net-new),
Analog Disc Recording,Variable pitch cutting,NEW,author (net-new),
Analog Disc Recording,Lead-in groove,NEW,author (net-new),
Analog Disc Recording,Run-out groove,NEW,author (net-new),
Analog Disc Recording,Locked groove,NEW,author (net-new),
Analog Disc Recording,RIAA recording curve,NEW,author (net-new),
Analog Disc Recording,Pre-emphasis,NEW,author (net-new),
Analog Disc Recording,De-emphasis,NEW,author (net-new),
Analog Disc Recording,45 RPM,NEW,author (net-new),
Analog Disc Recording,33⅓ RPM,NEW,author (net-new),
Analog Disc Recording,78 RPM,NEW,author (net-new),
Analog Disc Recording,Microgroove,NEW,author (net-new),
Analog Disc Recording,Wide groove,NEW,author (net-new),
Optical Recording,Optical sound recording,NEW,author (net-new),
Optical Recording,Variable density recording,NEW,author (net-new),
Optical Recording,Variable area recording,NEW,author (net-new),
Optical Recording,Optical soundtrack,NEW,author (net-new),
Optical Recording,Photographic soundtrack,NEW,author (net-new),
Optical Recording,Sound-on-film,NEW,author (net-new),
Optical Recording,LaserDisc audio,NEW,author (net-new),
Optical Recording,Compact Disc (CD),NEW,author (net-new),
Optical Recording,MiniDisc,NEW,author (net-new),
Optical Recording,Blu-ray audio,NEW,author (net-new),
Optical Recording,DVD-Audio,EXISTS,cross-list into Recorders,Connectors & I/O Connections
Optical Recording,SACD,NEW,author (net-new),
Optical Recording,Optical disc recording,NEW,author (net-new),
Digital Recording Technologies,Digital recording,NEW,author (net-new),
Digital Recording Technologies,PCM (Pulse Code Modulation),EXISTS,cross-list into Recorders,"Connectors & I/O Connections, DAW Skills, Digital Live Sound"
Digital Recording Technologies,Delta modulation,NEW,author (net-new),
Digital Recording Technologies,DSD (Direct Stream Digital),NEW,author (net-new),
Digital Recording Technologies,Pulse Density Modulation (PDM),NEW,author (net-new),
Digital Recording Technologies,Sampling,EXISTS,cross-list into Recorders,"Copyright, Publishing & Licensing, Sampling"
Digital Recording Technologies,Sampling rate,NEW,author (net-new),
Digital Recording Technologies,Bit depth,EXISTS,cross-list into Recorders,"DAW Skills, Sampling, Signal Path & Levels"
Digital Recording Technologies,Nyquist frequency,EXISTS,cross-list into Recorders,"DAW Skills, Digital Live Sound, Signal Path & Levels"
Digital Recording Technologies,Quantization,EXISTS,cross-list into Recorders,"Connectors & I/O Connections, DAW Skills, Digital Live Sound, MIDI"
Digital Recording Technologies,Quantization error,NEW,author (net-new),
Digital Recording Technologies,Word length,NEW,author (net-new),
Digital Recording Technologies,Digital word,NEW,author (net-new),
Digital Recording Technologies,Clock frequency,NEW,author (net-new),
Digital Recording Technologies,Sample clock,NEW,author (net-new),
Digital Recording Technologies,Master clock,NEW,author (net-new),
Digital Recording Technologies,Jitter,EXISTS,cross-list into Recorders,"DAW Skills, Digital Live Sound"
Digital Recording Technologies,Dither,EXISTS,cross-list into Recorders,"Mastering, Signal Path & Levels"
Digital Recording Technologies,Noise shaping,EXISTS,cross-list into Recorders,Mastering
Digital Recording Technologies,Oversampling,EXISTS,cross-list into Recorders,"Connectors & I/O Connections, DAW Skills, Digital Live Sound, Plugins & Virtual Instruments"
Digital Recording Technologies,Interpolation,EXISTS,cross-list into Recorders,Sampling
Digital Recording Technologies,Decimation,NEW,author (net-new),
Digital Recording Technologies,Error correction,NEW,author (net-new),
Digital Recording Technologies,Parity,NEW,author (net-new),
Digital Recording Technologies,CRC (Cyclic Redundancy Check),NEW,author (net-new),
Digital Recording Technologies,ECC (Error Correction Code),NEW,author (net-new),
Digital Storage Formats,DAT (Digital Audio Tape),NEW,author (net-new),
Digital Storage Formats,ADAT,EXISTS,cross-list into Recorders,Connectors & I/O Connections
Digital Storage Formats,DA-88,NEW,author (net-new),
Digital Storage Formats,DA-98,NEW,author (net-new),
Digital Storage Formats,Hard disk recorder,NEW,author (net-new),
Digital Storage Formats,Flash recorder,NEW,author (net-new),
Digital Storage Formats,Solid-state recorder,NEW,author (net-new),
Digital Storage Formats,SSD recorder,NEW,author (net-new),
Digital Storage Formats,Memory card recorder,NEW,author (net-new),
Digital Storage Formats,CF card recorder,NEW,author (net-new),
Digital Storage Formats,SD card recorder,NEW,author (net-new),
Digital Storage Formats,USB recorder,NEW,author (net-new),
Digital Storage Formats,Portable field recorder,NEW,author (net-new),
Digital Storage Formats,Network recorder,NEW,author (net-new),
Audio File Formats,WAV,NEW,author (net-new),
Audio File Formats,AIFF,NEW,author (net-new),
Audio File Formats,BWF (Broadcast Wave Format),NEW,author (net-new),
Audio File Formats,RF64,NEW,author (net-new),
Audio File Formats,CAF,NEW,author (net-new),
Audio File Formats,PCM audio,NEW,author (net-new),
Audio File Formats,FLAC,EXISTS,cross-list into Recorders,"Connectors & I/O Connections, DAW Skills"
Audio File Formats,ALAC,NEW,author (net-new),
Audio File Formats,Monkey's Audio (APE),NEW,author (net-new),
Audio File Formats,WavPack,NEW,author (net-new),
Audio File Formats,Shorten (SHN),NEW,author (net-new),
Audio File Formats,MP3,EXISTS,cross-list into Recorders,"Connectors & I/O Connections, DAW Skills"
Audio File Formats,AAC,EXISTS,cross-list into Recorders,"Connectors & I/O Connections, DAW Skills, Digital Live Sound"
Audio File Formats,HE-AAC,NEW,author (net-new),
Audio File Formats,AAC-LC,NEW,author (net-new),
Audio File Formats,Ogg Vorbis,NEW,author (net-new),
Audio File Formats,Opus,NEW,author (net-new),
Audio File Formats,ATRAC,NEW,author (net-new),
Audio File Formats,ATRAC3,NEW,author (net-new),
Audio File Formats,WMA,NEW,author (net-new),
Audio File Formats,Dolby AC-3,NEW,author (net-new),
Audio File Formats,Dolby E,EXISTS,cross-list into Recorders,"Distributed Audio Systems, Film & Game Audio"
Audio File Formats,Dolby Digital Plus,NEW,author (net-new),
Audio File Formats,DTS,EXISTS,cross-list into Recorders,"Consumer Audio Systems, Distributed Audio Systems, Film & Game Audio"
Audio File Formats,DTS-HD,NEW,author (net-new),
Audio File Formats,MPEG Layer II,NEW,author (net-new),
Recording System Architectures,Monophonic recording,NEW,author (net-new),
Recording System Architectures,Stereo recording,EXISTS,cross-list into Recorders,Recording Arts
Recording System Architectures,Binaural recording,EXISTS,cross-list into Recorders,"Film & Game Audio, Microphones, Recording Arts"
Recording System Architectures,Multichannel recording,NEW,author (net-new),
Recording System Architectures,Quadraphonic recording,NEW,author (net-new),
Recording System Architectures,5.1 recording,NEW,author (net-new),
Recording System Architectures,7.1 recording,NEW,author (net-new),
Recording System Architectures,Object-based recording,NEW,author (net-new),
Recording System Architectures,Immersive recording,NEW,author (net-new),
Recording System Architectures,Ambisonic recording,NEW,author (net-new),
Recording System Architectures,First-order Ambisonics,NEW,author (net-new),
Recording System Architectures,Higher-order Ambisonics,NEW,author (net-new),
Recording System Architectures,Mid-side recording,NEW,author (net-new),
Recording System Architectures,Coincident recording,NEW,author (net-new),
Recording System Architectures,Multitrack recording,EXISTS,cross-list into Recorders,"DAW Skills, Recording Arts, Signal Path & Levels"
Recording System Architectures,Two-track recording,NEW,author (net-new),
Recording System Architectures,One-track recording,NEW,author (net-new),
Recording System Architectures,Direct recording,NEW,author (net-new),
Recording System Architectures,Live recording,EXISTS,cross-list into Recorders,Band Recording and Production
Recording System Architectures,Location recording,EXISTS,cross-list into Recorders,Band Recording and Production
Recording System Architectures,Field recording,NEW,author (net-new),
Recording System Architectures,Remote recording,EXISTS,cross-list into Recorders,Band Recording and Production
Recording Synchronization Technologies,Timecode,EXISTS,cross-list into Recorders,"Distributed Audio Systems, Film & Game Audio, Mixers & Recorders"
Recording Synchronization Technologies,SMPTE timecode,EXISTS,cross-list into Recorders,Film & Game Audio
Recording Synchronization Technologies,LTC,NEW,author (net-new),
Recording Synchronization Technologies,VITC,NEW,author (net-new),
Recording Synchronization Technologies,Word clock,EXISTS,cross-list into Recorders,"Connectors & I/O Connections, DAW Skills, Digital Live Sound"
Recording Synchronization Technologies,Genlock,EXISTS,cross-list into Recorders,Band Recording and Production
Recording Synchronization Technologies,Jam sync,NEW,author (net-new),
Recording Synchronization Technologies,Black burst,NEW,author (net-new),
Recording Synchronization Technologies,Tri-level sync,NEW,author (net-new),
Recording Synchronization Technologies,Sample-accurate synchronization,NEW,author (net-new),
Recording Synchronization Technologies,Machine synchronization,NEW,author (net-new),
Recording Synchronization Technologies,Tape synchronization,NEW,author (net-new),
Recording Synchronization Technologies,Chase lock,NEW,author (net-new),
Recording Media,Wax disc,NEW,author (net-new),
Recording Media,Magnetic wire,NEW,author (net-new),
Recording Media,Paper tape,NEW,author (net-new),
Recording Media,Optical film,NEW,author (net-new),
Recording Media,CD-R,NEW,author (net-new),
Recording Media,CD-RW,NEW,author (net-new),
Recording Media,DVD-R,NEW,author (net-new),
Recording Media,DVD-RW,NEW,author (net-new),
Recording Media,Blu-ray Disc,NEW,author (net-new),
Recording Media,Hard disk drive (HDD),NEW,author (net-new),
Recording Media,Solid-state drive (SSD),NEW,author (net-new),
Recording Media,CompactFlash (CF),NEW,author (net-new),
Recording Media,SD card,NEW,author (net-new),
Recording Media,microSD card,NEW,author (net-new),
Recording Media,USB flash drive,NEW,author (net-new),
Recording Evolution Milestones,Phonautograph,NEW,author (net-new),
Recording Evolution Milestones,Phonograph,NEW,author (net-new),
Recording Evolution Milestones,Graphophone,NEW,author (net-new),
Recording Evolution Milestones,Gramophone,NEW,author (net-new),
Recording Evolution Milestones,Electrical recording,NEW,author (net-new),
Recording Evolution Milestones,Vacuum tube recording,NEW,author (net-new),
Recording Evolution Milestones,Tape recording,NEW,author (net-new),
Recording Evolution Milestones,Portable recording,NEW,author (net-new),
Recording Evolution Milestones,Nonlinear recording,NEW,author (net-new),
Recording Evolution Milestones,Computer-based recording,NEW,author (net-new),
Recording Evolution Milestones,DAW recording,NEW,author (net-new),
Recording Evolution Milestones,Network recording,NEW,author (net-new),
Recording Evolution Milestones,Cloud recording,NEW,author (net-new),
Recording Evolution Milestones,High-resolution recording,NEW,author (net-new),
Recording Evolution Milestones,Mobile recording,NEW,author (net-new),
Historical Recording Technologies,Telharmonium recording,NEW,author (net-new),
Historical Recording Technologies,Magnetophon,NEW,author (net-new),
Historical Recording Technologies,Soundstream,NEW,author (net-new),
Historical Recording Technologies,PCM adapter,NEW,author (net-new),
Historical Recording Technologies,Sony PCM-1600,NEW,author (net-new),
Historical Recording Technologies,Sony PCM-1610,NEW,author (net-new),
Historical Recording Technologies,Sony PCM-1630,NEW,author (net-new),
Historical Recording Technologies,Nagra recorder,NEW,author (net-new),
Historical Recording Technologies,Ampex tape recorder,NEW,author (net-new),
Historical Recording Technologies,Studer recorder,NEW,author (net-new),
Historical Recording Technologies,MCI recorder,NEW,author (net-new),
Historical Recording Technologies,Otari recorder,NEW,author (net-new),
Historical Recording Technologies,Tascam Portastudio,NEW,author (net-new),
Historical Recording Technologies,Fostex multitrack recorder,NEW,author (net-new),
