term,topic
Audio uplink,"Surveillance, Forensic & Covert Audio"
Voice enhancement,"Surveillance, Forensic & Covert Audio"
Adaptive filtering,"Surveillance, Forensic & Covert Audio"
Wind filtering,"Surveillance, Forensic & Covert Audio"
Voice isolation,"Surveillance, Forensic & Covert Audio"
Speech extraction,"Surveillance, Forensic & Covert Audio"
Target voice enhancement,"Surveillance, Forensic & Covert Audio"
Speaker recognition,"Surveillance, Forensic & Covert Audio"
Voiceprint,"Surveillance, Forensic & Covert Audio"
Voice signature,"Surveillance, Forensic & Covert Audio"
Formant analysis,"Surveillance, Forensic & Covert Audio"
Pitch analysis,"Surveillance, Forensic & Covert Audio"
Harmonic analysis,"Surveillance, Forensic & Covert Audio"
Phonetic analysis,"Surveillance, Forensic & Covert Audio"
Acoustic shadow,"Surveillance, Forensic & Covert Audio"
Audio monitoring,"Surveillance, Forensic & Covert Audio"
Continuous monitoring,"Surveillance, Forensic & Covert Audio"
Remote monitoring,"Surveillance, Forensic & Covert Audio"
Passive monitoring,"Surveillance, Forensic & Covert Audio"
Active monitoring,"Surveillance, Forensic & Covert Audio"
Audio surveillance network,"Surveillance, Forensic & Covert Audio"
Multi-channel recorder,"Surveillance, Forensic & Covert Audio"
Channel synchronization,"Surveillance, Forensic & Covert Audio"
Time synchronization,"Surveillance, Forensic & Covert Audio"
Forensic audio,"Surveillance, Forensic & Covert Audio"
Evidence recording,"Surveillance, Forensic & Covert Audio"
Audio authentication,"Surveillance, Forensic & Covert Audio"
Recording authentication,"Surveillance, Forensic & Covert Audio"
Audio integrity,"Surveillance, Forensic & Covert Audio"
Waveform comparison,"Surveillance, Forensic & Covert Audio"
Spectral comparison,"Surveillance, Forensic & Covert Audio"
Recording continuity,"Surveillance, Forensic & Covert Audio"
Tamper detection,"Surveillance, Forensic & Covert Audio"
TSCM,"Surveillance, Forensic & Covert Audio"
Bug sweep,"Surveillance, Forensic & Covert Audio"
Electronic sweep,"Surveillance, Forensic & Covert Audio"
RF detector,"Surveillance, Forensic & Covert Audio"
RF spectrum analyzer,"Surveillance, Forensic & Covert Audio"
Broadband detector,"Surveillance, Forensic & Covert Audio"
Nonlinear junction detector (NLJD),"Surveillance, Forensic & Covert Audio"
Signal detector,"Surveillance, Forensic & Covert Audio"
Carrier detection,"Surveillance, Forensic & Covert Audio"
RF leakage,"Surveillance, Forensic & Covert Audio"
Hidden microphone detection,"Surveillance, Forensic & Covert Audio"
Hidden transmitter detection,"Surveillance, Forensic & Covert Audio"
Counter-surveillance,"Surveillance, Forensic & Covert Audio"
Electronic countermeasures,"Surveillance, Forensic & Covert Audio"
Electronic surveillance countermeasures (ESCM),"Surveillance, Forensic & Covert Audio"
Parabolic reflector,"Surveillance, Forensic & Covert Audio"
Acoustic reflector,"Surveillance, Forensic & Covert Audio"
Beamforming array,"Surveillance, Forensic & Covert Audio"
Laser Doppler microphone,"Surveillance, Forensic & Covert Audio"
Laser vibrometer,"Surveillance, Forensic & Covert Audio"
Fiber optic microphone,"Surveillance, Forensic & Covert Audio"
MEMS microphone array,"Surveillance, Forensic & Covert Audio"
Acoustic camera,"Surveillance, Forensic & Covert Audio"
Acoustic imaging,"Surveillance, Forensic & Covert Audio"
Acoustic localization,"Surveillance, Forensic & Covert Audio"
Sound source localization,"Surveillance, Forensic & Covert Audio"
Articulation index,"Surveillance, Forensic & Covert Audio"
Technical surveillance,"Surveillance, Forensic & Covert Audio"
Technical surveillance counter-measures (TSCM),"Surveillance, Forensic & Covert Audio"
Electronic surveillance,"Surveillance, Forensic & Covert Audio"
Acoustic surveillance,"Surveillance, Forensic & Covert Audio"
Audio forensics,"Surveillance, Forensic & Covert Audio"
Forensic acoustics,"Surveillance, Forensic & Covert Audio"
Speech intelligence,"Surveillance, Forensic & Covert Audio"
Signals intelligence (SIGINT),"Surveillance, Forensic & Covert Audio"
Communications intelligence (COMINT),"Surveillance, Forensic & Covert Audio"
Acoustic intelligence (ACINT),"Surveillance, Forensic & Covert Audio"
Vibroacoustics,Acoustics & Wave Physics (Science)
Aeroacoustics,Acoustics & Wave Physics (Science)
Underwater acoustics,Acoustics & Wave Physics (Science)
Physical acoustics,Acoustics & Wave Physics (Science)
Nonlinear acoustics,Acoustics & Wave Physics (Science)
Ultrasonics,Acoustics & Wave Physics (Science)
Infrasonics,Acoustics & Wave Physics (Science)
Sonic,Acoustics & Wave Physics (Science)
Audible spectrum,Acoustics & Wave Physics (Science)
Sound field,Acoustics & Wave Physics (Science)
Acoustic field,Acoustics & Wave Physics (Science)
Compression wave,Acoustics & Wave Physics (Science)
Evanescent wave,Acoustics & Wave Physics (Science)
Anti-resonance,Acoustics & Wave Physics (Science)
Sound pressure,Acoustics & Wave Physics (Science)
RMS SPL,Acoustics & Wave Physics (Science)
Characteristic impedance,Acoustics & Wave Physics (Science)
Acoustic intensity,Acoustics & Wave Physics (Science)
Sound energy,Acoustics & Wave Physics (Science)
Specific acoustic impedance,Acoustics & Wave Physics (Science)
Acoustic admittance,Acoustics & Wave Physics (Science)
Acoustic mobility,Acoustics & Wave Physics (Science)
Acoustic resistance,Acoustics & Wave Physics (Science)
Modal behavior,Acoustics & Wave Physics (Science)
Eigenmode,Acoustics & Wave Physics (Science)
Overtone,Acoustics & Wave Physics (Science)
Mode shape,Acoustics & Wave Physics (Science)
Resonant frequency,Acoustics & Wave Physics (Science)
Natural frequency,Acoustics & Wave Physics (Science)
Quarter-wave resonance,Acoustics & Wave Physics (Science)
Half-wave resonance,Acoustics & Wave Physics (Science)
Spatial hearing,Acoustics & Wave Physics (Science)
Monaural hearing,Acoustics & Wave Physics (Science)
Transduction,Microphone Engineering & Transduction (Science)
Electromechanical transducer,Microphone Engineering & Transduction (Science)
Acoustic transducer,Microphone Engineering & Transduction (Science)
Pressure transducer,Microphone Engineering & Transduction (Science)
Pressure-gradient transducer,Microphone Engineering & Transduction (Science)
Velocity microphone,Microphone Engineering & Transduction (Science)
Ribbon velocity microphone,Microphone Engineering & Transduction (Science)
Condenser capsule,Microphone Engineering & Transduction (Science)
Electret capsule,Microphone Engineering & Transduction (Science)
Ceramic microphone,Microphone Engineering & Transduction (Science)
Membrane,Microphone Engineering & Transduction (Science)
Air gap,Microphone Engineering & Transduction (Science)
Gold sputtering,Microphone Engineering & Transduction (Science)
Dual diaphragm,Microphone Engineering & Transduction (Science)
Single diaphragm,Microphone Engineering & Transduction (Science)
Capsule resonance,Microphone Engineering & Transduction (Science)
Acoustic labyrinth,Microphone Engineering & Transduction (Science)
Equalization port,Microphone Engineering & Transduction (Science)
Rear chamber,Microphone Engineering & Transduction (Science)
Acoustic vent,Microphone Engineering & Transduction (Science)
Open-circuit sensitivity,Microphone Engineering & Transduction (Science)
Free-field response,Microphone Engineering & Transduction (Science)
Diffuse-field response,Microphone Engineering & Transduction (Science)
Pressure response,Microphone Engineering & Transduction (Science)
Acoustic overload point,Microphone Engineering & Transduction (Science)
Electroacoustic driver,Loudspeaker & Transducer Engineering (Science)
Dynamic driver,Loudspeaker & Transducer Engineering (Science)
Moving-coil driver,Loudspeaker & Transducer Engineering (Science)
Ribbon driver,Loudspeaker & Transducer Engineering (Science)
Balanced armature,Loudspeaker & Transducer Engineering (Science)
Piezoelectric driver,Loudspeaker & Transducer Engineering (Science)
Magnetostrictive driver,Loudspeaker & Transducer Engineering (Science)
Bending-wave driver,Loudspeaker & Transducer Engineering (Science)
Surface exciter,Loudspeaker & Transducer Engineering (Science)
Spider,Loudspeaker & Transducer Engineering (Science)
Surround,Loudspeaker & Transducer Engineering (Science)
Dome,Loudspeaker & Transducer Engineering (Science)
Top plate,Loudspeaker & Transducer Engineering (Science)
Magnet gap,Loudspeaker & Transducer Engineering (Science)
Ferrite magnet,Loudspeaker & Transducer Engineering (Science)
Demodulation ring,Loudspeaker & Transducer Engineering (Science)
Acoustic suspension,Loudspeaker & Transducer Engineering (Science)
Front-loaded horn,Loudspeaker & Transducer Engineering (Science)
Rear-loaded horn,Loudspeaker & Transducer Engineering (Science)
Isobaric enclosure,Loudspeaker & Transducer Engineering (Science)
Dipole enclosure,Loudspeaker & Transducer Engineering (Science)
Bipole enclosure,Loudspeaker & Transducer Engineering (Science)
Open baffle,Loudspeaker & Transducer Engineering (Science)
Polypropylene cone,Loudspeaker & Transducer Engineering (Science)
Paper cone,Loudspeaker & Transducer Engineering (Science)
Kevlar cone,Loudspeaker & Transducer Engineering (Science)
Carbon fiber cone,Loudspeaker & Transducer Engineering (Science)
Aluminum cone,Loudspeaker & Transducer Engineering (Science)
Magnesium cone,Loudspeaker & Transducer Engineering (Science)
Titanium diaphragm,Loudspeaker & Transducer Engineering (Science)
Beryllium diaphragm,Loudspeaker & Transducer Engineering (Science)
Diamond diaphragm,Loudspeaker & Transducer Engineering (Science)
Graphene diaphragm,Loudspeaker & Transducer Engineering (Science)
Silk dome,Loudspeaker & Transducer Engineering (Science)
Fabric dome,Loudspeaker & Transducer Engineering (Science)
Composite cone,Loudspeaker & Transducer Engineering (Science)
Nomex former,Loudspeaker & Transducer Engineering (Science)
Kapton former,Loudspeaker & Transducer Engineering (Science)
Magnetic flux,Loudspeaker & Transducer Engineering (Science)
Magnetic circuit,Loudspeaker & Transducer Engineering (Science)
BL product,Loudspeaker & Transducer Engineering (Science)
Motor strength,Loudspeaker & Transducer Engineering (Science)
Permeability,Loudspeaker & Transducer Engineering (Science)
Eddy current,Loudspeaker & Transducer Engineering (Science)
Demagnetization,Loudspeaker & Transducer Engineering (Science)
Flux modulation,Loudspeaker & Transducer Engineering (Science)
Reactance,"Electroacoustics, DSP & Measurement Science"
Complex impedance,"Electroacoustics, DSP & Measurement Science"
Resonant circuit,"Electroacoustics, DSP & Measurement Science"
Q factor,"Electroacoustics, DSP & Measurement Science"
Sampling theorem,"Electroacoustics, DSP & Measurement Science"
FIR filter,"Electroacoustics, DSP & Measurement Science"
IIR filter,"Electroacoustics, DSP & Measurement Science"
FFT,"Electroacoustics, DSP & Measurement Science"
DFT,"Electroacoustics, DSP & Measurement Science"
Hamming window,"Electroacoustics, DSP & Measurement Science"
Blackman window,"Electroacoustics, DSP & Measurement Science"
Waterfall plot,"Electroacoustics, DSP & Measurement Science"
Cumulative spectral decay,"Electroacoustics, DSP & Measurement Science"
Step response,"Electroacoustics, DSP & Measurement Science"
Distortion spectrum,"Electroacoustics, DSP & Measurement Science"
Thermal compression,"Electroacoustics, DSP & Measurement Science"
Excursion distortion,"Electroacoustics, DSP & Measurement Science"
Flux modulation distortion,"Electroacoustics, DSP & Measurement Science"
Rocking mode,"Electroacoustics, DSP & Measurement Science"
Modal distortion,"Electroacoustics, DSP & Measurement Science"
Xmech,"Electroacoustics, DSP & Measurement Science"
Compliance,"Electroacoustics, DSP & Measurement Science"
Suspension stiffness,"Electroacoustics, DSP & Measurement Science"
Moving mass,"Electroacoustics, DSP & Measurement Science"
Mechanical damping,"Electroacoustics, DSP & Measurement Science"
Mechanical resonance,"Electroacoustics, DSP & Measurement Science"
Cms,"Electroacoustics, DSP & Measurement Science"
Mms,"Electroacoustics, DSP & Measurement Science"
Fs,"Electroacoustics, DSP & Measurement Science"
Qms,"Electroacoustics, DSP & Measurement Science"
Qes,"Electroacoustics, DSP & Measurement Science"
Qts,"Electroacoustics, DSP & Measurement Science"
BL,"Electroacoustics, DSP & Measurement Science"
Le,"Electroacoustics, DSP & Measurement Science"
Re,"Electroacoustics, DSP & Measurement Science"
Sd,"Electroacoustics, DSP & Measurement Science"
Xlim,"Electroacoustics, DSP & Measurement Science"
Efficiency bandwidth product,"Electroacoustics, DSP & Measurement Science"
Sensitivity,"Electroacoustics, DSP & Measurement Science"
Reference efficiency,"Electroacoustics, DSP & Measurement Science"
Laser Doppler vibrometer,"Electroacoustics, DSP & Measurement Science"
Vibrometer,"Electroacoustics, DSP & Measurement Science"
Accelerometer,"Electroacoustics, DSP & Measurement Science"
Hydrophone,"Electroacoustics, DSP & Measurement Science"
Geophone,"Electroacoustics, DSP & Measurement Science"
Sound level meter,"Electroacoustics, DSP & Measurement Science"
Precision microphone,"Electroacoustics, DSP & Measurement Science"
Artificial ear,"Electroacoustics, DSP & Measurement Science"
Artificial mouth,"Electroacoustics, DSP & Measurement Science"
Head and torso simulator (HATS),"Electroacoustics, DSP & Measurement Science"
Ultrasonic transducer,"Electroacoustics, DSP & Measurement Science"
Piezoelectric crystal,"Electroacoustics, DSP & Measurement Science"
Acoustic emission,"Electroacoustics, DSP & Measurement Science"
Sonar,"Electroacoustics, DSP & Measurement Science"
Medical ultrasound,"Electroacoustics, DSP & Measurement Science"
Ultrasonic imaging,"Electroacoustics, DSP & Measurement Science"
Time-of-flight,"Electroacoustics, DSP & Measurement Science"
Pulse-echo,"Electroacoustics, DSP & Measurement Science"
Doppler ultrasound,"Electroacoustics, DSP & Measurement Science"
Phased array ultrasound,"Electroacoustics, DSP & Measurement Science"
IEC 60268,"Electroacoustics, DSP & Measurement Science"
IEC 61094,"Electroacoustics, DSP & Measurement Science"
IEC 61672,"Electroacoustics, DSP & Measurement Science"
ANSI S1 series,"Electroacoustics, DSP & Measurement Science"
AES17,"Electroacoustics, DSP & Measurement Science"
AES75,"Electroacoustics, DSP & Measurement Science"
ISO 3740 series,"Electroacoustics, DSP & Measurement Science"
ISO 9613,"Electroacoustics, DSP & Measurement Science"
Acoustic wavelength,Acoustics & Wave Physics (Science)
Acoustic wavenumber,Acoustics & Wave Physics (Science)
Angular wavenumber,Acoustics & Wave Physics (Science)
Wave equation,Acoustics & Wave Physics (Science)
Inhomogeneous wave equation,Acoustics & Wave Physics (Science)
Homogeneous wave equation,Acoustics & Wave Physics (Science)
Helmholtz equation,Acoustics & Wave Physics (Science)
Acoustic velocity potential,Acoustics & Wave Physics (Science)
Scalar potential,Acoustics & Wave Physics (Science)
Acoustic particle acceleration,Acoustics & Wave Physics (Science)
Instantaneous sound pressure,Acoustics & Wave Physics (Science)
Root-mean-square sound pressure,Acoustics & Wave Physics (Science)
Reference sound pressure,Acoustics & Wave Physics (Science)
Peak particle velocity,Acoustics & Wave Physics (Science)
Acoustic energy density,Acoustics & Wave Physics (Science)
Potential energy density,Acoustics & Wave Physics (Science)
Kinetic energy density,Acoustics & Wave Physics (Science)
Acoustic energy flux,Acoustics & Wave Physics (Science)
Acoustic power density,Acoustics & Wave Physics (Science)
Acoustic momentum,Acoustics & Wave Physics (Science)
Radiation pressure,Acoustics & Wave Physics (Science)
Acoustic radiation force,Acoustics & Wave Physics (Science)
Acoustic streaming,Acoustics & Wave Physics (Science)
Sound-speed gradient,Acoustics & Wave Physics (Science)
Acoustic refractive index,Acoustics & Wave Physics (Science)
Acoustic ray,Acoustics & Wave Physics (Science)
Ray acoustics,Acoustics & Wave Physics (Science)
Geometrical acoustics,Acoustics & Wave Physics (Science)
Wave acoustics,Acoustics & Wave Physics (Science)
Paraxial approximation,Acoustics & Wave Physics (Science)
Far-field approximation,Acoustics & Wave Physics (Science)
Near-field approximation,Acoustics & Wave Physics (Science)
Fraunhofer region,Acoustics & Wave Physics (Science)
Fresnel region,Acoustics & Wave Physics (Science)
Reactive near field,Acoustics & Wave Physics (Science)
Radiating near field,Acoustics & Wave Physics (Science)
Acoustic singularity,Acoustics & Wave Physics (Science)
Acoustic vortex,Acoustics & Wave Physics (Science)
Orbital angular momentum of sound,Acoustics & Wave Physics (Science)
Phase singularity,Acoustics & Wave Physics (Science)
Nodal plane,Acoustics & Wave Physics (Science)
Wave impedance,Acoustics & Wave Physics (Science)
Transfer impedance,Acoustics & Wave Physics (Science)
Acoustic impedance mismatch,Acoustics & Wave Physics (Science)
Impedance boundary condition,Acoustics & Wave Physics (Science)
Radiation boundary condition,Acoustics & Wave Physics (Science)
Sommerfeld radiation condition,Acoustics & Wave Physics (Science)
Spherical spreading loss,Acoustics & Wave Physics (Science)
Cylindrical spreading loss,Acoustics & Wave Physics (Science)
Molecular relaxation,Acoustics & Wave Physics (Science)
Oxygen relaxation,Acoustics & Wave Physics (Science)
Nitrogen relaxation,Acoustics & Wave Physics (Science)
Thermoviscous loss,Acoustics & Wave Physics (Science)
Viscous attenuation,Acoustics & Wave Physics (Science)
Thermal attenuation,Acoustics & Wave Physics (Science)
Boundary-layer attenuation,Acoustics & Wave Physics (Science)
Excess attenuation,Acoustics & Wave Physics (Science)
Insertion loss,Acoustics & Wave Physics (Science)
Propagation loss,Acoustics & Wave Physics (Science)
Acoustic extinction,Acoustics & Wave Physics (Science)
Acoustic absorption coefficient,Acoustics & Wave Physics (Science)
Energy absorption coefficient,Acoustics & Wave Physics (Science)
Pressure reflection coefficient,Acoustics & Wave Physics (Science)
Intensity reflection coefficient,Acoustics & Wave Physics (Science)
Acoustic transmissivity,Acoustics & Wave Physics (Science)
Acoustic reflectivity,Acoustics & Wave Physics (Science)
Acoustic absorptivity,Acoustics & Wave Physics (Science)
Normal-incidence absorption,Acoustics & Wave Physics (Science)
Random-incidence absorption,Acoustics & Wave Physics (Science)
Grazing incidence,Acoustics & Wave Physics (Science)
Critical angle,Acoustics & Wave Physics (Science)
Total internal reflection,Acoustics & Wave Physics (Science)
Acoustic tunneling,Acoustics & Wave Physics (Science)
Mode conversion,Acoustics & Wave Physics (Science)
Guided-wave propagation,Acoustics & Wave Physics (Science)
Leaky wave,Acoustics & Wave Physics (Science)
Surface acoustic wave,Acoustics & Wave Physics (Science)
Lamb wave,Acoustics & Wave Physics (Science)
Love wave,Acoustics & Wave Physics (Science)
Scholte wave,Acoustics & Wave Physics (Science)
Stoneley wave,Acoustics & Wave Physics (Science)
Rayleigh wave,Acoustics & Wave Physics (Science)
Bulk acoustic wave,Acoustics & Wave Physics (Science)
Shear wave,Acoustics & Wave Physics (Science)
Torsional wave,Acoustics & Wave Physics (Science)
Linear acoustics,Acoustics & Wave Physics (Science)
Weakly nonlinear acoustics,Acoustics & Wave Physics (Science)
Finite-amplitude acoustics,Acoustics & Wave Physics (Science)
Nonlinear propagation,Acoustics & Wave Physics (Science)
Acoustic nonlinearity parameter,Acoustics & Wave Physics (Science)
Parameter of nonlinearity,Acoustics & Wave Physics (Science)
B/A parameter,Acoustics & Wave Physics (Science)
Wave steepening,Acoustics & Wave Physics (Science)
Shock formation,Acoustics & Wave Physics (Science)
Acoustic shock,Acoustics & Wave Physics (Science)
Sawtooth wave formation,Acoustics & Wave Physics (Science)
Harmonic generation,Acoustics & Wave Physics (Science)
Subharmonic generation,Acoustics & Wave Physics (Science)
Difference-frequency generation,Acoustics & Wave Physics (Science)
Sum-frequency generation,Acoustics & Wave Physics (Science)
Parametric interaction,Acoustics & Wave Physics (Science)
Parametric acoustic array,Acoustics & Wave Physics (Science)
Parametric loudspeaker,Acoustics & Wave Physics (Science)
Self-demodulation,Acoustics & Wave Physics (Science)
Acoustic rectification,Acoustics & Wave Physics (Science)
Nonlinear absorption,Acoustics & Wave Physics (Science)
Nonlinear resonance,Acoustics & Wave Physics (Science)
Mode coupling,Acoustics & Wave Physics (Science)
Internal resonance,Acoustics & Wave Physics (Science)
Bifurcation,Acoustics & Wave Physics (Science)
Acoustic cavitation,Acoustics & Wave Physics (Science)
Stable cavitation,Acoustics & Wave Physics (Science)
Inertial cavitation,Acoustics & Wave Physics (Science)
Cavitation threshold,Acoustics & Wave Physics (Science)
Bubble resonance,Acoustics & Wave Physics (Science)
Minnaert resonance,Acoustics & Wave Physics (Science)
Sonoluminescence,Acoustics & Wave Physics (Science)
Acoustic levitation,Acoustics & Wave Physics (Science)
Acoustic trapping,Acoustics & Wave Physics (Science)
Acoustic tweezers,Acoustics & Wave Physics (Science)
Phononic crystal,Acoustics & Wave Physics (Science)
Acoustic metamaterial,Acoustics & Wave Physics (Science)
Locally resonant metamaterial,Acoustics & Wave Physics (Science)
Negative effective mass density,Acoustics & Wave Physics (Science)
Negative bulk modulus,Acoustics & Wave Physics (Science)
Acoustic cloaking,Acoustics & Wave Physics (Science)
Transformation acoustics,Acoustics & Wave Physics (Science)
Topological acoustics,Acoustics & Wave Physics (Science)
Acoustic bandgap,Acoustics & Wave Physics (Science)
Bragg scattering,Acoustics & Wave Physics (Science)
Subwavelength resonator,Acoustics & Wave Physics (Science)
Flow-induced noise,Acoustics & Wave Physics (Science)
Turbulent boundary-layer noise,Acoustics & Wave Physics (Science)
Vortex shedding,Acoustics & Wave Physics (Science)
Aeolian tone,Acoustics & Wave Physics (Science)
Strouhal number,Acoustics & Wave Physics (Science)
Reynolds number,Acoustics & Wave Physics (Science)
Mach number,Acoustics & Wave Physics (Science)
Convective Mach number,Acoustics & Wave Physics (Science)
Lighthill analogy,Acoustics & Wave Physics (Science)
Lighthill stress tensor,Acoustics & Wave Physics (Science)
Ffowcs Williams–Hawkings equation,Acoustics & Wave Physics (Science)
Curle analogy,Acoustics & Wave Physics (Science)
Acoustic analogy,Acoustics & Wave Physics (Science)
Quadrupole source,Acoustics & Wave Physics (Science)
Dipole source,Acoustics & Wave Physics (Science)
Monopole source,Acoustics & Wave Physics (Science)
Jet noise,Acoustics & Wave Physics (Science)
Mixing noise,Acoustics & Wave Physics (Science)
Shock-associated noise,Acoustics & Wave Physics (Science)
Broadband shock-associated noise,Acoustics & Wave Physics (Science)
Screech tone,Acoustics & Wave Physics (Science)
Blade-passing frequency,Acoustics & Wave Physics (Science)
Rotor–stator interaction,Acoustics & Wave Physics (Science)
Trailing-edge noise,Acoustics & Wave Physics (Science)
Leading-edge noise,Acoustics & Wave Physics (Science)
Airfoil self-noise,Acoustics & Wave Physics (Science)
Cavity tone,Acoustics & Wave Physics (Science)
Edge tone,Acoustics & Wave Physics (Science)
Flow separation noise,Acoustics & Wave Physics (Science)
Turbulence ingestion noise,Acoustics & Wave Physics (Science)
Combustion noise,Acoustics & Wave Physics (Science)
Thermoacoustic instability,Acoustics & Wave Physics (Science)
Helmholtz instability,Acoustics & Wave Physics (Science)
Wind-induced microphone noise,Acoustics & Wave Physics (Science)
Pressure turbulence,Acoustics & Wave Physics (Science)
Hydrodynamic pressure fluctuation,Acoustics & Wave Physics (Science)
Turbulent pressure spectrum,Acoustics & Wave Physics (Science)
Wind-noise susceptibility,Acoustics & Wave Physics (Science)
Structural acoustics,Acoustics & Wave Physics (Science)
Vibroacoustic coupling,Acoustics & Wave Physics (Science)
Fluid–structure interaction,Acoustics & Wave Physics (Science)
Mechanical mobility,Acoustics & Wave Physics (Science)
Driving-point mobility,Acoustics & Wave Physics (Science)
Transfer mobility,Acoustics & Wave Physics (Science)
Mechanical impedance,Acoustics & Wave Physics (Science)
Point impedance,Acoustics & Wave Physics (Science)
Dynamic stiffness,Acoustics & Wave Physics (Science)
Modal stiffness,Acoustics & Wave Physics (Science)
Modal mass,Acoustics & Wave Physics (Science)
Modal damping,Acoustics & Wave Physics (Science)
Loss factor,Acoustics & Wave Physics (Science)
Structural loss factor,Acoustics & Wave Physics (Science)
Damping ratio,Acoustics & Wave Physics (Science)
Critical damping,Acoustics & Wave Physics (Science)
Underdamping,Acoustics & Wave Physics (Science)
Overdamping,Acoustics & Wave Physics (Science)
Complex stiffness,Acoustics & Wave Physics (Science)
Mechanical admittance,Acoustics & Wave Physics (Science)
Accelerance,Acoustics & Wave Physics (Science)
Inertance,Acoustics & Wave Physics (Science)
Receptance,Acoustics & Wave Physics (Science)
Frequency-response function,Acoustics & Wave Physics (Science)
Operational deflection shape,Acoustics & Wave Physics (Science)
Modal overlap,Acoustics & Wave Physics (Science)
Modal participation factor,Acoustics & Wave Physics (Science)
Effective modal mass,Acoustics & Wave Physics (Science)
Eigenfrequency,Acoustics & Wave Physics (Science)
Normal mode,Acoustics & Wave Physics (Science)
Rigid-body mode,Acoustics & Wave Physics (Science)
