term,topic
Emphasis displacement,"Dubbing — Adaptation, Sync & Timing"
Pragmatic stress,"Dubbing — Adaptation, Sync & Timing"
Information-focus matching,"Dubbing — Adaptation, Sync & Timing"
Attitudinal prosody,"Dubbing — Adaptation, Sync & Timing"
Discourse-prosody matching,"Dubbing — Adaptation, Sync & Timing"
Breath-group matching,"Dubbing — Adaptation, Sync & Timing"
Emotional-arc matching,"Dubbing — Adaptation, Sync & Timing"
Cultural substitution,"Dubbing — Localization, Casting, QC & Modes"
Cultural transplantation,"Dubbing — Localization, Casting, QC & Modes"
Cultural neutralization,"Dubbing — Localization, Casting, QC & Modes"
Cultural retention,"Dubbing — Localization, Casting, QC & Modes"
Cultural explicitation,"Dubbing — Localization, Casting, QC & Modes"
Cultural compensation,"Dubbing — Localization, Casting, QC & Modes"
Functional equivalence,"Dubbing — Localization, Casting, QC & Modes"
Pragmatic equivalence,"Dubbing — Localization, Casting, QC & Modes"
Dynamic equivalence,"Dubbing — Localization, Casting, QC & Modes"
Register localization,"Dubbing — Localization, Casting, QC & Modes"
Sociolect localization,"Dubbing — Localization, Casting, QC & Modes"
Dialect relocation,"Dubbing — Localization, Casting, QC & Modes"
Dialect neutralization,"Dubbing — Localization, Casting, QC & Modes"
Dialect leveling,"Dubbing — Localization, Casting, QC & Modes"
Accent mapping,"Dubbing — Localization, Casting, QC & Modes"
Accent substitution,"Dubbing — Localization, Casting, QC & Modes"
Accent neutralization,"Dubbing — Localization, Casting, QC & Modes"
Sociolinguistic mapping,"Dubbing — Localization, Casting, QC & Modes"
Politeness recalibration,"Dubbing — Localization, Casting, QC & Modes"
Honorific adaptation,"Dubbing — Localization, Casting, QC & Modes"
Kinship-term localization,"Dubbing — Localization, Casting, QC & Modes"
Vocative adaptation,"Dubbing — Localization, Casting, QC & Modes"
Taboo calibration,"Dubbing — Localization, Casting, QC & Modes"
Swear-strength matching,"Dubbing — Localization, Casting, QC & Modes"
Euphemistic substitution,"Dubbing — Localization, Casting, QC & Modes"
Ratings-driven adaptation,"Dubbing — Localization, Casting, QC & Modes"
Compliance localization,"Dubbing — Localization, Casting, QC & Modes"
Market-specific versioning,"Dubbing — Localization, Casting, QC & Modes"
Locale splitting,"Dubbing — Localization, Casting, QC & Modes"
Locale fallback,"Dubbing — Localization, Casting, QC & Modes"
Voice casting equivalence,"Dubbing — Localization, Casting, QC & Modes"
Vocal-equivalence casting,"Dubbing — Localization, Casting, QC & Modes"
Voice-body congruence,"Dubbing — Localization, Casting, QC & Modes"
Vocal-age matching,"Dubbing — Localization, Casting, QC & Modes"
Vocal-weight matching,"Dubbing — Localization, Casting, QC & Modes"
Timbre matching,"Dubbing — Localization, Casting, QC & Modes"
Performance-equivalence casting,"Dubbing — Localization, Casting, QC & Modes"
Character-voice assignment,"Dubbing — Localization, Casting, QC & Modes"
Voice continuity,"Dubbing — Localization, Casting, QC & Modes"
Franchise voice continuity,"Dubbing — Localization, Casting, QC & Modes"
Voice recast,"Dubbing — Localization, Casting, QC & Modes"
Recast continuity,"Dubbing — Localization, Casting, QC & Modes"
Vocal continuity break,"Dubbing — Localization, Casting, QC & Modes"
Cross-title casting,"Dubbing — Localization, Casting, QC & Modes"
Legacy voice,"Dubbing — Localization, Casting, QC & Modes"
Voice claim,"Dubbing — Localization, Casting, QC & Modes"
Actor-voice pairing,"Dubbing — Localization, Casting, QC & Modes"
Fixed voice,"Dubbing — Localization, Casting, QC & Modes"
Standard voice,"Dubbing — Localization, Casting, QC & Modes"
Voice double,"Dubbing — Localization, Casting, QC & Modes"
Dialogue director,"Dubbing — Localization, Casting, QC & Modes"
Linguistic director,"Dubbing — Localization, Casting, QC & Modes"
Language supervisor,"Dubbing — Localization, Casting, QC & Modes"
Creative supervisor,"Dubbing — Localization, Casting, QC & Modes"
Dubbing adapter,"Dubbing — Localization, Casting, QC & Modes"
Dubbing author,"Dubbing — Localization, Casting, QC & Modes"
Detection,"Dubbing — Localization, Casting, QC & Modes"
Dialogue detection,"Dubbing — Localization, Casting, QC & Modes"
Rhythmographic detection,"Dubbing — Localization, Casting, QC & Modes"
Detection script,"Dubbing — Localization, Casting, QC & Modes"
Cue extraction,"Dubbing — Localization, Casting, QC & Modes"
Cue subdivision,"Dubbing — Localization, Casting, QC & Modes"
Loop unit,"Dubbing — Localization, Casting, QC & Modes"
Loop length,"Dubbing — Localization, Casting, QC & Modes"
Loop boundary,"Dubbing — Localization, Casting, QC & Modes"
Loop preparation,"Dubbing — Localization, Casting, QC & Modes"
Single-character recording,"Dubbing — Localization, Casting, QC & Modes"
Ensemble dubbing,"Dubbing — Localization, Casting, QC & Modes"
Collective dubbing,"Dubbing — Localization, Casting, QC & Modes"
Individual-band recording,"Dubbing — Localization, Casting, QC & Modes"
Line-by-line dubbing,"Dubbing — Localization, Casting, QC & Modes"
Block recording,"Dubbing — Localization, Casting, QC & Modes"
Context recording,"Dubbing — Localization, Casting, QC & Modes"
Cold-loop recording,"Dubbing — Localization, Casting, QC & Modes"
Guide-track dependency,"Dubbing — Localization, Casting, QC & Modes"
Source-performance shadowing,"Dubbing — Localization, Casting, QC & Modes"
Guide bleed,"Dubbing — Localization, Casting, QC & Modes"
Cue fatigue,"Dubbing — Localization, Casting, QC & Modes"
International-version reconstruction,"Dubbing — Localization, Casting, QC & Modes"
Foreign-version mix,"Dubbing — Localization, Casting, QC & Modes"
Local-language mix,"Dubbing — Localization, Casting, QC & Modes"
Dubbing mix,"Dubbing — Localization, Casting, QC & Modes"
Localization premix,"Dubbing — Localization, Casting, QC & Modes"
Dub dialogue stem,"Dubbing — Localization, Casting, QC & Modes"
Foreign dialogue stem,"Dubbing — Localization, Casting, QC & Modes"
Original-language guide,"Dubbing — Localization, Casting, QC & Modes"
Source-dialogue bleed,"Dubbing — Localization, Casting, QC & Modes"
Language contamination,"Dubbing — Localization, Casting, QC & Modes"
Embedded dialogue,"Dubbing — Localization, Casting, QC & Modes"
Dialogue-bearing effect,"Dubbing — Localization, Casting, QC & Modes"
Vocal-bearing ambience,"Dubbing — Localization, Casting, QC & Modes"
M&E deficiency,"Dubbing — Localization, Casting, QC & Modes"
M&E gap,"Dubbing — Localization, Casting, QC & Modes"
M&E repair,"Dubbing — Localization, Casting, QC & Modes"
M&E supplementation,"Dubbing — Localization, Casting, QC & Modes"
M&E fill cue,"Dubbing — Localization, Casting, QC & Modes"
Optional track,"Dubbing — Localization, Casting, QC & Modes"
Optional vocal,"Dubbing — Localization, Casting, QC & Modes"
Language-neutral effort,"Dubbing — Localization, Casting, QC & Modes"
Language-neutral vocalization,"Dubbing — Localization, Casting, QC & Modes"
Language-bearing effort,"Dubbing — Localization, Casting, QC & Modes"
Foreign-version Foley,"Dubbing — Localization, Casting, QC & Modes"
International Foley,"Dubbing — Localization, Casting, QC & Modes"
M&E checker,"Dubbing — Localization, Casting, QC & Modes"
M&E check,"Dubbing — Localization, Casting, QC & Modes"
Foreign-version QC,"Dubbing — Localization, Casting, QC & Modes"
Dub-stage integration,"Dubbing — Localization, Casting, QC & Modes"
Acoustic localization match,"Dubbing — Localization, Casting, QC & Modes"
Linguistic QC,"Dubbing — Localization, Casting, QC & Modes"
Technical QC,"Dubbing — Localization, Casting, QC & Modes"
Creative QC,"Dubbing — Localization, Casting, QC & Modes"
Dub QC,"Dubbing — Localization, Casting, QC & Modes"
In-territory QC,"Dubbing — Localization, Casting, QC & Modes"
Native-listener QC,"Dubbing — Localization, Casting, QC & Modes"
Sync QC,"Dubbing — Localization, Casting, QC & Modes"
Lip-sync defect,"Dubbing — Localization, Casting, QC & Modes"
Start-sync error,"Dubbing — Localization, Casting, QC & Modes"
End-sync error,"Dubbing — Localization, Casting, QC & Modes"
Internal-sync error,"Dubbing — Localization, Casting, QC & Modes"
Mouth-closure violation,"Dubbing — Localization, Casting, QC & Modes"
Flap violation,"Dubbing — Localization, Casting, QC & Modes"
Overlength line,"Dubbing — Localization, Casting, QC & Modes"
Underlength line,"Dubbing — Localization, Casting, QC & Modes"
Rushed delivery,"Dubbing — Localization, Casting, QC & Modes"
Dragged delivery,"Dubbing — Localization, Casting, QC & Modes"
Sync-driven distortion,"Dubbing — Localization, Casting, QC & Modes"
Semantic drift,"Dubbing — Localization, Casting, QC & Modes"
Character drift,"Dubbing — Localization, Casting, QC & Modes"
Register drift,"Dubbing — Localization, Casting, QC & Modes"
Terminology drift,"Dubbing — Localization, Casting, QC & Modes"
Pronunciation drift,"Dubbing — Localization, Casting, QC & Modes"
Voice-continuity defect,"Dubbing — Localization, Casting, QC & Modes"
Mix-localization defect,"Dubbing — Localization, Casting, QC & Modes"
Perspective defect,"Dubbing — Localization, Casting, QC & Modes"
Localization artifact,"Dubbing — Localization, Casting, QC & Modes"
Adaptation loss,"Dubbing — Localization, Casting, QC & Modes"
Sync loss,"Dubbing — Localization, Casting, QC & Modes"
Naturalness defect,"Dubbing — Localization, Casting, QC & Modes"
Revoicing,"Dubbing — Localization, Casting, QC & Modes"
Full dubbing,"Dubbing — Localization, Casting, QC & Modes"
Partial dubbing,"Dubbing — Localization, Casting, QC & Modes"
Selective dubbing,"Dubbing — Localization, Casting, QC & Modes"
Multilingual dubbing,"Dubbing — Localization, Casting, QC & Modes"
Bilingual dubbing,"Dubbing — Localization, Casting, QC & Modes"
UN-style voiceover,"Dubbing — Localization, Casting, QC & Modes"
Gavrilov translation,"Dubbing — Localization, Casting, QC & Modes"
One-voice dubbing,"Dubbing — Localization, Casting, QC & Modes"
Two-voice dubbing,"Dubbing — Localization, Casting, QC & Modes"
Lecturing,"Dubbing — Localization, Casting, QC & Modes"
Lectoring,"Dubbing — Localization, Casting, QC & Modes"
Simil-sync,"Dubbing — Localization, Casting, QC & Modes"
Phrase-sync dubbing,"Dubbing — Localization, Casting, QC & Modes"
Time-sync dubbing,"Dubbing — Localization, Casting, QC & Modes"
Narration replacement,"Dubbing — Localization, Casting, QC & Modes"
Commentary replacement,"Dubbing — Localization, Casting, QC & Modes"
Pivot-language dubbing,"Dubbing — Localization, Casting, QC & Modes"
Relay translation,"Dubbing — Localization, Casting, QC & Modes"
Indirect dubbing,"Dubbing — Localization, Casting, QC & Modes"
Double translation,"Dubbing — Localization, Casting, QC & Modes"
Fandubbing,"Dubbing — Localization, Casting, QC & Modes"
Fundubbing,"Dubbing — Localization, Casting, QC & Modes"
Dubbing-up,"Dubbing — Localization, Casting, QC & Modes"
Dubbing-down,"Dubbing — Localization, Casting, QC & Modes"
Automatic dubbing,AI Voice & Speech
Automated dubbing pipeline,AI Voice & Speech
Audio-visual speech translation,AI Voice & Speech
Audio-visual speech-to-speech translation,AI Voice & Speech
Direct speech-to-speech translation,AI Voice & Speech
Cascaded dubbing,AI Voice & Speech
End-to-end dubbing,AI Voice & Speech
Duration-controlled synthesis,AI Voice & Speech
Isochronous synthesis,AI Voice & Speech
Phonetic synchronization loss,AI Voice & Speech
Lip-synchrony loss,AI Voice & Speech
Vowel-distance matching,AI Voice & Speech
Phonetic paraphrasing,AI Voice & Speech
Synchronization-aware translation,AI Voice & Speech
Duration-aware translation,AI Voice & Speech
Lip-aware translation,AI Voice & Speech
Viseme-aware translation,AI Voice & Speech
Prosody transfer,AI Voice & Speech
Cross-lingual prosody transfer,AI Voice & Speech
Speaker similarity,AI Voice & Speech
Cross-lingual voice cloning,AI Voice & Speech
Speaker-preserving translation,AI Voice & Speech
Timbre preservation,AI Voice & Speech
Emotion-preserving dubbing,AI Voice & Speech
Expressive speech translation,AI Voice & Speech
Paralinguistic transfer,AI Voice & Speech
Dubbing naturalness,AI Voice & Speech
Translation-naturalness tradeoff,AI Voice & Speech
Sync-naturalness tradeoff,AI Voice & Speech
Semantic-phonetic tradeoff,AI Voice & Speech
Wurst microphone technique,Drum-Kit Recording
Front-of-kit microphone,Drum-Kit Recording
Drum-shell microphone,Drum-Kit Recording
Snare-bottom polarity inversion,Drum-Kit Recording
Snare-wire balance,Drum-Kit Recording
Snare-wire choke,Drum-Kit Recording
Snare buzz suppression,Drum-Kit Recording
Wallet damping,Drum-Kit Recording
Tea-towel drum damping,Drum-Kit Recording
Kick-drum tunnel,Drum-Kit Recording
Kick-drum cavity microphone,Drum-Kit Recording
Kick port miking,Drum-Kit Recording
Kick beater bleed,Drum-Kit Recording
Subkick capture,Drum-Kit Recording
Drum crush microphone,Drum-Kit Recording
Cymbal rejection miking,Drum-Kit Recording
Underhead tom miking,Drum-Kit Recording
Overhead equidistance,Drum-Kit Recording
Cap-edge miking,"Guitar, Bass & Amp Recording"
Speaker-cone traversal,"Guitar, Bass & Amp Recording"
Off-axis guitar-cabinet miking,"Guitar, Bass & Amp Recording"
Guitar-speaker phase-center alignment,"Guitar, Bass & Amp Recording"
Fredman technique,"Guitar, Bass & Amp Recording"
Guitar-cabinet rear miking,"Guitar, Bass & Amp Recording"
Guitar-cabinet room reinforcement,"Guitar, Bass & Amp Recording"
Pick-attack isolation,"Guitar, Bass & Amp Recording"
Amp reamping,"Guitar, Bass & Amp Recording"
Cabinet reamping,"Guitar, Bass & Amp Recording"
DI–amplifier split,"Guitar, Bass & Amp Recording"
Bass-band splitting,"Guitar, Bass & Amp Recording"
Bass fundamental stabilization,"Guitar, Bass & Amp Recording"
Bass audibility enhancement,"Guitar, Bass & Amp Recording"
Twelfth-fret miking,Instrument Recording — Strings & Guitar
Sound-hole avoidance,Instrument Recording — Strings & Guitar
Acoustic-guitar bridge miking,Instrument Recording — Strings & Guitar
Shoulder miking,Instrument Recording — Strings & Guitar
Body-and-neck stereo miking,Instrument Recording — Strings & Guitar
Nashville tuning,Instrument Recording — Strings & Guitar
Double-tracked acoustic spread,Instrument Recording — Strings & Guitar
Piano soundboard miking,"Instrument Recording — Keys, Winds & Brass"
Piano boundary miking,"Instrument Recording — Keys, Winds & Brass"
Piano hammer emphasis,"Instrument Recording — Keys, Winds & Brass"
Vocal proximity-effect control,Microphone Technique for Recording
Microphone working,Microphone Technique for Recording
Vocal off-axis control,Microphone Technique for Recording
Plosive shadowing,Microphone Technique for Recording
Sibilance steering,Microphone Technique for Recording
Vocal level riding,Microphone Technique for Recording
Pre-compressor vocal riding,Microphone Technique for Recording
Vocal double alignment,Microphone Technique for Recording
Consonant matching,Microphone Technique for Recording
Stacked-Sibilance Control,Microphone Technique for Recording
Breath editing,Microphone Technique for Recording
Parallel Vocal Compression,Microphone Technique for Recording
Vocal throw delay,Microphone Technique for Recording
Vocal reverb ducking,Microphone Technique for Recording
Bell-axis miking,"Instrument Recording — Keys, Winds & Brass"
Keywork-noise control,"Instrument Recording — Keys, Winds & Brass"
Bow-noise balance,"Instrument Recording — Keys, Winds & Brass"
Rosin-noise control,"Instrument Recording — Keys, Winds & Brass"
Section spot miking,"Instrument Recording — Keys, Winds & Brass"
Spot-microphone time alignment,"Instrument Recording — Keys, Winds & Brass"
