term,topic
Vibraphone resonator miking,Instrument Recording — Drums & Percussion
Xylophone octave spread control,Instrument Recording — Drums & Percussion
Glockenspiel off-axis miking,Instrument Recording — Drums & Percussion
Tubular-bell strike-zone avoidance,Instrument Recording — Drums & Percussion
Gong edge miking,Instrument Recording — Drums & Percussion
Gong center miking,Instrument Recording — Drums & Percussion
Suspended-cymbal swell capture,Instrument Recording — Drums & Percussion
Hand-percussion underside miking,Instrument Recording — Drums & Percussion
Cajón sound-hole miking,Instrument Recording — Drums & Percussion
Cajón tapa miking,Instrument Recording — Drums & Percussion
Tabla dayan–bayan split,Instrument Recording — Drums & Percussion
Conga head-zone miking,Instrument Recording — Drums & Percussion
Percussion-tree spot microphone,Instrument Recording — Drums & Percussion
Bell-axis miking,"Instrument Recording — Keys, Winds & Brass"
Off-bell miking,"Instrument Recording — Keys, Winds & Brass"
Bell-edge miking,"Instrument Recording — Keys, Winds & Brass"
Above-bell miking,"Instrument Recording — Keys, Winds & Brass"
Across-bell miking,"Instrument Recording — Keys, Winds & Brass"
Bell-blast avoidance,"Instrument Recording — Keys, Winds & Brass"
Bell-flare proximity miking,"Instrument Recording — Keys, Winds & Brass"
Bell-shadow placement,"Instrument Recording — Keys, Winds & Brass"
Slide-path clearance,"Instrument Recording — Keys, Winds & Brass"
Trombone over-slide miking,"Instrument Recording — Keys, Winds & Brass"
French-horn rear-bell miking,"Instrument Recording — Keys, Winds & Brass"
French-horn wall-reflection capture,"Instrument Recording — Keys, Winds & Brass"
Tuba bell-height miking,"Instrument Recording — Keys, Winds & Brass"
Section-over-bell array,"Instrument Recording — Keys, Winds & Brass"
Tone-hole-side miking,"Instrument Recording — Keys, Winds & Brass"
Keywork-side miking,"Instrument Recording — Keys, Winds & Brass"
Upper-joint miking,"Instrument Recording — Keys, Winds & Brass"
Lower-joint miking,"Instrument Recording — Keys, Winds & Brass"
Bell–tone-hole balance,"Instrument Recording — Keys, Winds & Brass"
Clarinet register-hole balance,"Instrument Recording — Keys, Winds & Brass"
Clarinet bell-overemphasis,"Instrument Recording — Keys, Winds & Brass"
Saxophone bell–key split,"Instrument Recording — Keys, Winds & Brass"
Saxophone key-cup noise capture,"Instrument Recording — Keys, Winds & Brass"
Flute embouchure-hole miking,"Instrument Recording — Keys, Winds & Brass"
Flute breath-stream avoidance,"Instrument Recording — Keys, Winds & Brass"
Flute body-axis miking,"Instrument Recording — Keys, Winds & Brass"
Bassoon boot-joint miking,"Instrument Recording — Keys, Winds & Brass"
Bassoon bocal-side miking,"Instrument Recording — Keys, Winds & Brass"
Oboe key-column miking,"Instrument Recording — Keys, Winds & Brass"
Bridge-axis miking,Instrument Recording — Strings & Guitar
Bridge-above miking,Instrument Recording — Strings & Guitar
Treble-side bridge miking,Instrument Recording — Strings & Guitar
Bass-side bridge miking,Instrument Recording — Strings & Guitar
F-hole-axis miking,Instrument Recording — Strings & Guitar
Off-f-hole miking,Instrument Recording — Strings & Guitar
Upper-bout miking,Instrument Recording — Strings & Guitar
Lower-bout miking,Instrument Recording — Strings & Guitar
Fingerboard-end miking,Instrument Recording — Strings & Guitar
Bow-contact-point miking,Instrument Recording — Strings & Guitar
Bow-side miking,Instrument Recording — Strings & Guitar
Fingerboard-side miking,Instrument Recording — Strings & Guitar
Endpin-side cello miking,Instrument Recording — Strings & Guitar
Endpin-floor coupling capture,Instrument Recording — Strings & Guitar
Cello floor-boundary microphone,Instrument Recording — Strings & Guitar
Double-bass bridge–f-hole balance,Instrument Recording — Strings & Guitar
Double-bass endpin microphone,Instrument Recording — Strings & Guitar
String-body shadowing,Instrument Recording — Strings & Guitar
Section-leader spot,Instrument Recording — Strings & Guitar
Desk-pair spot microphone,Instrument Recording — Strings & Guitar
Inside–outside string-section spots,Instrument Recording — Strings & Guitar
Decca Tree wings,Orchestral Arrays & Spot-Mic Integration
Decca Tree outriggers,Orchestral Arrays & Spot-Mic Integration
Decca Tree height layer,Orchestral Arrays & Spot-Mic Integration
Decca Tree 3D,Orchestral Arrays & Spot-Mic Integration
Faulkner array null-axis control,Orchestral Arrays & Spot-Mic Integration
Optimized Stereo Signal technique,Orchestral Arrays & Spot-Mic Integration
Acoustic-shadow stereo,Orchestral Arrays & Spot-Mic Integration
OCT,Orchestral Arrays & Spot-Mic Integration
OCT-3D,Orchestral Arrays & Spot-Mic Integration
ORTF-2plus2,Orchestral Arrays & Spot-Mic Integration
Hamasaki ambience layer,Orchestral Arrays & Spot-Mic Integration
Main-plus-ambience array,Orchestral Arrays & Spot-Mic Integration
Front–rear array spacing,Orchestral Arrays & Spot-Mic Integration
Height-layer decorrelation,Orchestral Arrays & Spot-Mic Integration
Orchestra outrigger,Orchestral Arrays & Spot-Mic Integration
Orchestra flank microphone,Orchestral Arrays & Spot-Mic Integration
Far-flank microphone,Orchestral Arrays & Spot-Mic Integration
Near-flank microphone,Orchestral Arrays & Spot-Mic Integration
String outrigger,Orchestral Arrays & Spot-Mic Integration
Bass outrigger,Orchestral Arrays & Spot-Mic Integration
Center-fill microphone,Orchestral Arrays & Spot-Mic Integration
Center-downfill microphone,Orchestral Arrays & Spot-Mic Integration
Conductor-position microphone,Orchestral Arrays & Spot-Mic Integration
Podium microphone,Orchestral Arrays & Spot-Mic Integration
Front-fill recording microphone,Orchestral Arrays & Spot-Mic Integration
Rear-hall microphone,Orchestral Arrays & Spot-Mic Integration
Mid-hall microphone,Orchestral Arrays & Spot-Mic Integration
Balcony microphone,Orchestral Arrays & Spot-Mic Integration
Under-balcony microphone,Orchestral Arrays & Spot-Mic Integration
Gallery microphone,Orchestral Arrays & Spot-Mic Integration
Stage-rear ambience microphone,Orchestral Arrays & Spot-Mic Integration
Rear-facing stage microphone,Orchestral Arrays & Spot-Mic Integration
Proscenium microphone,Orchestral Arrays & Spot-Mic Integration
Fly-rail microphone,Orchestral Arrays & Spot-Mic Integration
Pit-lip microphone,Orchestral Arrays & Spot-Mic Integration
Pit-overhead microphone,Orchestral Arrays & Spot-Mic Integration
Pit-wall boundary microphone,Orchestral Arrays & Spot-Mic Integration
Choir loft microphone,Orchestral Arrays & Spot-Mic Integration
Antiphonal microphone group,Orchestral Arrays & Spot-Mic Integration
Offstage ensemble microphone,Orchestral Arrays & Spot-Mic Integration
Distant-brass microphone,Orchestral Arrays & Spot-Mic Integration
Hall-return microphone,Orchestral Arrays & Spot-Mic Integration
Natural-reverb return,Orchestral Arrays & Spot-Mic Integration
Main-led orchestral mix,Orchestral Arrays & Spot-Mic Integration
Spot-led orchestral mix,Orchestral Arrays & Spot-Mic Integration
Main-to-spot ratio,Orchestral Arrays & Spot-Mic Integration
Spot-to-main balance,Orchestral Arrays & Spot-Mic Integration
Spot prominence,Orchestral Arrays & Spot-Mic Integration
Spot exposure,Orchestral Arrays & Spot-Mic Integration
Spotty orchestral image,Orchestral Arrays & Spot-Mic Integration
Spot masking,Orchestral Arrays & Spot-Mic Integration
Spot bloom,Orchestral Arrays & Spot-Mic Integration
Spot spread,Orchestral Arrays & Spot-Mic Integration
Spot anchoring,Orchestral Arrays & Spot-Mic Integration
Spot localization pull,Orchestral Arrays & Spot-Mic Integration
Image-width mismatch,Orchestral Arrays & Spot-Mic Integration
Perspective mismatch,Orchestral Arrays & Spot-Mic Integration
Depth-plane mismatch,Orchestral Arrays & Spot-Mic Integration
Spot-to-hall mismatch,Orchestral Arrays & Spot-Mic Integration
Spot-microphone delay,Orchestral Arrays & Spot-Mic Integration
Acoustic-delay compensation,Orchestral Arrays & Spot-Mic Integration
Main-array arrival reference,Orchestral Arrays & Spot-Mic Integration
Center-microphone delay reference,Orchestral Arrays & Spot-Mic Integration
Nearest-main delay reference,Orchestral Arrays & Spot-Mic Integration
Geometric spot delay,Orchestral Arrays & Spot-Mic Integration
Measured-arrival spot delay,Orchestral Arrays & Spot-Mic Integration
Perceptual spot delay,Orchestral Arrays & Spot-Mic Integration
Propagation-delay insertion,Orchestral Arrays & Spot-Mic Integration
Distance-to-delay conversion,Orchestral Arrays & Spot-Mic Integration
Spot pre-arrival,Orchestral Arrays & Spot-Mic Integration
Main-array lag,Orchestral Arrays & Spot-Mic Integration
Double-arrival artifact,Orchestral Arrays & Spot-Mic Integration
Orchestral precedence shift,Orchestral Arrays & Spot-Mic Integration
Spot-induced image collapse,Orchestral Arrays & Spot-Mic Integration
Alignment-induced flattening,Orchestral Arrays & Spot-Mic Integration
Natural-arrival preservation,Orchestral Arrays & Spot-Mic Integration
Partial spot alignment,Orchestral Arrays & Spot-Mic Integration
Frequency-dependent alignment,Orchestral Arrays & Spot-Mic Integration
Correlation-based spot alignment,Orchestral Arrays & Spot-Mic Integration
Transient-reference alignment,Orchestral Arrays & Spot-Mic Integration
Sectional-delay grouping,Orchestral Arrays & Spot-Mic Integration
Depth-preserving delay,Orchestral Arrays & Spot-Mic Integration
Haas-window integration,Orchestral Arrays & Spot-Mic Integration
Complementary equalization,Spectral & Masking-Control EQ
Reciprocal equalization,Spectral & Masking-Control EQ
Frequency-slotting,Spectral & Masking-Control EQ
Frequency carving,Spectral & Masking-Control EQ
Spectral pocketing,Spectral & Masking-Control EQ
Dynamic frequency pocketing,Spectral & Masking-Control EQ
Spectral ducking,Spectral & Masking-Control EQ
Collision-frequency control,Spectral & Masking-Control EQ
Spectral masking control,Spectral & Masking-Control EQ
Masking-release processing,Spectral & Masking-Control EQ
Tonal tilt,Spectral & Masking-Control EQ
Pivot equalization,Spectral & Masking-Control EQ
Spectral centroid shifting,Spectral & Masking-Control EQ
Spectral weighting,Spectral & Masking-Control EQ
Broad-stroke equalization,Spectral & Masking-Control EQ
Micro-equalization,Spectral & Masking-Control EQ
Fine equalization,Spectral & Masking-Control EQ
Corrective equalization,Spectral & Masking-Control EQ
Character equalization,Spectral & Masking-Control EQ
Program equalization,Spectral & Masking-Control EQ
Contour equalization,Spectral & Masking-Control EQ
Resonance hunting,Spectral & Masking-Control EQ
Boost-and-sweep method,Spectral & Masking-Control EQ
Resonance suppression,Spectral & Masking-Control EQ
Resonance-dependent equalization,Spectral & Masking-Control EQ
Tonal anchoring,Spectral & Masking-Control EQ
Spectral balancing,Spectral & Masking-Control EQ
Tonal matching,Spectral & Masking-Control EQ
Match equalization,Spectral & Masking-Control EQ
Spectral target curve,Spectral & Masking-Control EQ
Descriptor-based equalization,Spectral & Masking-Control EQ
Mud,Spectral & Masking-Control EQ
Honk,Spectral & Masking-Control EQ
Nasality,Spectral & Masking-Control EQ
Woolliness,Spectral & Masking-Control EQ
Veil,Spectral & Masking-Control EQ
Papery tone,Spectral & Masking-Control EQ
Cardboard tone,Spectral & Masking-Control EQ
Bite,Spectral & Masking-Control EQ
Edge,Spectral & Masking-Control EQ
Glassiness,Spectral & Masking-Control EQ
Grain,Spectral & Masking-Control EQ
Chalkiness,Spectral & Masking-Control EQ
Smeared tone,Spectral & Masking-Control EQ
Program-dependent compression,Advanced Dynamics & Sidechain Processing
Program-adaptive compression,Advanced Dynamics & Sidechain Processing
Automatic-release compression,Advanced Dynamics & Sidechain Processing
Dual-time-constant release,Advanced Dynamics & Sidechain Processing
Multi-stage release,Advanced Dynamics & Sidechain Processing
Hold-and-release compression,Advanced Dynamics & Sidechain Processing
Level-dependent release,Advanced Dynamics & Sidechain Processing
Frequency-dependent compression,Advanced Dynamics & Sidechain Processing
Detector-weighted compression,Advanced Dynamics & Sidechain Processing
Sidechain emphasis,Advanced Dynamics & Sidechain Processing
Sidechain de-emphasis,Advanced Dynamics & Sidechain Processing
Sidechain high-pass filtering,Advanced Dynamics & Sidechain Processing
Sidechain low-pass filtering,Advanced Dynamics & Sidechain Processing
Sidechain band-pass filtering,Advanced Dynamics & Sidechain Processing
Sidechain tilt filtering,Advanced Dynamics & Sidechain Processing
Sidechain audition,Advanced Dynamics & Sidechain Processing
Detector signal,Advanced Dynamics & Sidechain Processing
Feed-forward compression,Advanced Dynamics & Sidechain Processing
Feedback compression,Advanced Dynamics & Sidechain Processing
Hinge-point compression,Advanced Dynamics & Sidechain Processing
Leveling amplification,Advanced Dynamics & Sidechain Processing
Compression riding,Advanced Dynamics & Sidechain Processing
Compression staging,Advanced Dynamics & Sidechain Processing
Serial compression,Advanced Dynamics & Sidechain Processing
Cascaded compression,Advanced Dynamics & Sidechain Processing
Multistage compression,Advanced Dynamics & Sidechain Processing
Peak-to-level compression chain,Advanced Dynamics & Sidechain Processing
Level-to-peak compression chain,Advanced Dynamics & Sidechain Processing
Compression handoff,Advanced Dynamics & Sidechain Processing
Gain-reduction sharing,Advanced Dynamics & Sidechain Processing
Low-ratio cascading,Advanced Dynamics & Sidechain Processing
Split-band compression,Advanced Dynamics & Sidechain Processing
Two-band compression,Advanced Dynamics & Sidechain Processing
Band coupling,Advanced Dynamics & Sidechain Processing
Band independence,Advanced Dynamics & Sidechain Processing
Crossover modulation artifact,Advanced Dynamics & Sidechain Processing
Spectral pumping,Advanced Dynamics & Sidechain Processing
Microdynamic compression,Advanced Dynamics & Sidechain Processing
Macrodynamic compression,Advanced Dynamics & Sidechain Processing
Crest-factor reduction,Advanced Dynamics & Sidechain Processing
Envelope-density increase,Advanced Dynamics & Sidechain Processing
Transient recovery,Advanced Dynamics & Sidechain Processing
Release pumping,Advanced Dynamics & Sidechain Processing
Gain-reduction chatter,Advanced Dynamics & Sidechain Processing
Detector ripple,Advanced Dynamics & Sidechain Processing
Keyed compression,Advanced Dynamics & Sidechain Processing
External-sidechain compression,Advanced Dynamics & Sidechain Processing
Self-sidechain compression,Advanced Dynamics & Sidechain Processing
Cross-source compression,Advanced Dynamics & Sidechain Processing
Interlocking compression,Advanced Dynamics & Sidechain Processing
Frequency-selective kick–bass ducking,Advanced Dynamics & Sidechain Processing
Fundamental-band ducking,Advanced Dynamics & Sidechain Processing
Transient-triggered ducking,Advanced Dynamics & Sidechain Processing
Envelope-followed ducking,Advanced Dynamics & Sidechain Processing
Lookahead ducking,Advanced Dynamics & Sidechain Processing
Anticipatory ducking,Advanced Dynamics & Sidechain Processing
Hold-time ducking,Advanced Dynamics & Sidechain Processing
Release-shaped ducking,Advanced Dynamics & Sidechain Processing
Negative ducking,Advanced Dynamics & Sidechain Processing
Inverse ducking,Advanced Dynamics & Sidechain Processing
Keyed expansion,Advanced Dynamics & Sidechain Processing
New York compression,Advanced Dynamics & Sidechain Processing
Manhattan compression,Advanced Dynamics & Sidechain Processing
Motown compression,Advanced Dynamics & Sidechain Processing
Parallel upward compression,Advanced Dynamics & Sidechain Processing
Parallel limiting,Advanced Dynamics & Sidechain Processing
Parallel saturation,Advanced Dynamics & Sidechain Processing
Parallel distortion,Advanced Dynamics & Sidechain Processing
Parallel transient processing,Advanced Dynamics & Sidechain Processing
Parallel spectral processing,Advanced Dynamics & Sidechain Processing
Exciter return,Advanced Dynamics & Sidechain Processing
Crush bus,Advanced Dynamics & Sidechain Processing
Dry-path latency mismatch,Advanced Dynamics & Sidechain Processing
Parallel-path comb filtering,Advanced Dynamics & Sidechain Processing
Wet-path phase rotation,Advanced Dynamics & Sidechain Processing
Parallel blend cancellation,Advanced Dynamics & Sidechain Processing
Processor ordering,Advanced Dynamics & Sidechain Processing
Order-dependent processing,Advanced Dynamics & Sidechain Processing
Noncommutative processing,Advanced Dynamics & Sidechain Processing
EQ-into-compression,Advanced Dynamics & Sidechain Processing
Compression-into-EQ,Advanced Dynamics & Sidechain Processing
Pre-dynamics equalization,Advanced Dynamics & Sidechain Processing
Post-dynamics equalization,Advanced Dynamics & Sidechain Processing
Corrective-before-character processing,Advanced Dynamics & Sidechain Processing
Character-before-control processing,Advanced Dynamics & Sidechain Processing
Control-before-character processing,Advanced Dynamics & Sidechain Processing
Saturation–compression interaction,Advanced Dynamics & Sidechain Processing
Pre-emphasis/de-emphasis processing,Advanced Dynamics & Sidechain Processing
Complementary pre/post equalization,Advanced Dynamics & Sidechain Processing
Emphasis-driven saturation,Advanced Dynamics & Sidechain Processing
De-emphasized distortion,Advanced Dynamics & Sidechain Processing
Spectral drive shaping,Advanced Dynamics & Sidechain Processing
Frequency-selective saturation,Advanced Dynamics & Sidechain Processing
Split-band saturation,Advanced Dynamics & Sidechain Processing
Multistage saturation,Advanced Dynamics & Sidechain Processing
Serial clipping,Advanced Dynamics & Sidechain Processing
Clip-to-limit chain,Advanced Dynamics & Sidechain Processing
Limit-to-clip chain,Advanced Dynamics & Sidechain Processing
Early-reflection reverb,Advanced Reverb Design
Ambience algorithm,Advanced Reverb Design
Gated room microphone,Advanced Reverb Design
Reverse-envelope reverb,Advanced Reverb Design
Printed reverse reverb,Advanced Reverb Design
Bloom reverb,Advanced Reverb Design
Reverb swell,Advanced Reverb Design
Reverb freeze,Advanced Reverb Design
Infinite reverb,Advanced Reverb Design
Reverb hold,Advanced Reverb Design
Reverb regeneration,Advanced Reverb Design
Reverb feedback loop,Advanced Reverb Design
Downward shimmer,Advanced Reverb Design
Interval shimmer,Advanced Reverb Design
Pitch-recursive reverb,Advanced Reverb Design
Reverb diffusion,Advanced Reverb Design
Input diffusion,Advanced Reverb Design
Reverb density,Advanced Reverb Design
Density buildup,Advanced Reverb Design
Echo density,Advanced Reverb Design
Reverb shape,Advanced Reverb Design
Reverb spread,Advanced Reverb Design
Reverb spin,Advanced Reverb Design
Reverb wander,Advanced Reverb Design
Modulated reverb,Advanced Reverb Design
Chorused reverb,Advanced Reverb Design
Detuned reverb,Advanced Reverb Design
Frequency-dependent decay,Advanced Reverb Design
Low-frequency decay multiplier,Advanced Reverb Design
High-frequency decay multiplier,Advanced Reverb Design
Reverb damping,Advanced Reverb Design
Reverb tail equalization,Advanced Reverb Design
Early-reflection equalization,Advanced Reverb Design
Split early/late processing,Advanced Reverb Design
Reverb predelay,Advanced Reverb Design
Tempo-synchronized predelay,Advanced Reverb Design
Reverb predelay offset,Advanced Reverb Design
Reverb onset shaping,Advanced Reverb Design
Reverb attack,Advanced Reverb Design
Reverb tail ducking,Advanced Reverb Design
Reverb input ducking,Advanced Reverb Design
Reverb return compression,Advanced Reverb Design
Reverb tail expansion,Advanced Reverb Design
Keyed reverb gating,Advanced Reverb Design
Level-dependent ambience,Advanced Reverb Design
Reverb stacking,Advanced Reverb Design
Layered reverb,Advanced Reverb Design
Short-long reverb layering,Advanced Reverb Design
Serial reverb,Advanced Reverb Design
Reverb-into-delay,Advanced Reverb Design
Delay-into-reverb,Advanced Reverb Design
Reverb return narrowing,Advanced Reverb Design
Frequency-dependent reverb width,Advanced Reverb Design
Mono-in/stereo-out reverb,Advanced Reverb Design
True-stereo reverb,Advanced Reverb Design
Crossfeed reverb,Advanced Reverb Design
Dual-mono reverb,Advanced Reverb Design
Decorrelated reverb,Advanced Reverb Design
Reverb return monoing,Advanced Reverb Design
Single-tap delay,Delay Design & Rhythmic Delay
Tap spacing,Delay Design & Rhythmic Delay
Tap pattern,Delay Design & Rhythmic Delay
Tap density,Delay Design & Rhythmic Delay
Diffused delay,Delay Design & Rhythmic Delay
Slurred delay,Delay Design & Rhythmic Delay
Random delay,Delay Design & Rhythmic Delay
Modulated delay,Delay Design & Rhythmic Delay
Level-modulated delay,Delay Design & Rhythmic Delay
Envelope-controlled delay,Delay Design & Rhythmic Delay
Ducked delay,Delay Design & Rhythmic Delay
Input-ducked delay,Delay Design & Rhythmic Delay
Output-ducked delay,Delay Design & Rhythmic Delay
Inverse ducked delay,Delay Design & Rhythmic Delay
Alternating reverse delay,Delay Design & Rhythmic Delay
Cross-feedback delay,Delay Design & Rhythmic Delay
Dual delay,Delay Design & Rhythmic Delay
Stereo offset delay,Delay Design & Rhythmic Delay
Haas delay,Delay Design & Rhythmic Delay
Microdelay widening,Delay Design & Rhythmic Delay
Delay decorrelation,Delay Design & Rhythmic Delay
Feedback filtering,Delay Design & Rhythmic Delay
Regenerative delay,Delay Design & Rhythmic Delay
Runaway feedback,Delay Design & Rhythmic Delay
Self-oscillating delay,Delay Design & Rhythmic Delay
Feedback freeze,Delay Design & Rhythmic Delay
Feedback ducking,Delay Design & Rhythmic Delay
Feedback throw,Delay Design & Rhythmic Delay
Regeneration throw,Delay Design & Rhythmic Delay
Delay spill,Delay Design & Rhythmic Delay
Spillover,Delay Design & Rhythmic Delay
Delay capture,Delay Design & Rhythmic Delay
Tempo-Synchronized Delay,Delay Design & Rhythmic Delay
Duplet delay,Delay Design & Rhythmic Delay
Quintuplet delay,Delay Design & Rhythmic Delay
Septuplet delay,Delay Design & Rhythmic Delay
Polyrhythmic delay,Delay Design & Rhythmic Delay
Polymetric delay,Delay Design & Rhythmic Delay
Euclidean delay pattern,Delay Design & Rhythmic Delay
Golden-ratio delay,Delay Design & Rhythmic Delay
Fibonacci delay pattern,Delay Design & Rhythmic Delay
Prime-number delay spacing,Delay Design & Rhythmic Delay
Non-repeating tap pattern,Delay Design & Rhythmic Delay
Swing delay,Delay Design & Rhythmic Delay
Groove-quantized delay,Delay Design & Rhythmic Delay
Tempo-relative delay,Delay Design & Rhythmic Delay
Free-time delay,Delay Design & Rhythmic Delay
