topic,term,status,current_topics_if_exists
Psychoacoustics,Anchoring Bias,NEW,
Psychoacoustics,Annoyance,NEW,
Psychoacoustics,Attack perception,NEW,
Psychoacoustics,Audibility margin,NEW,
Psychoacoustics,Auditory Accommodation,NEW,
Psychoacoustics,Auditory Apparent Motion,NEW,
Psychoacoustics,Auditory filter,NEW,
Psychoacoustics,Auditory Grouping,NEW,
Psychoacoustics,Auditory Illusion,NEW,
Psychoacoustics,Auditory Induction,NEW,
Psychoacoustics,Auditory masking,NEW,
Psychoacoustics,Auditory memory,NEW,
Psychoacoustics,Auditory object,NEW,
Psychoacoustics,Auditory Perception,NEW,
Psychoacoustics,Auditory Saltation,NEW,
Psychoacoustics,Auditory scene analysis,NEW,
Psychoacoustics,Backward masking,NEW,
Psychoacoustics,Beat perception,NEW,
Psychoacoustics,Beating,NEW,
Psychoacoustics,Binaural unmasking,NEW,
Psychoacoustics,Breathing,EXISTS,Dynamics Processing
Psychoacoustics,Cambiata Illusion,NEW,
Psychoacoustics,Change blindness in audio,NEW,
Psychoacoustics,Chromatic Illusion,NEW,
Psychoacoustics,Cocktail-party effect,EXISTS,Sound & Acoustics
Psychoacoustics,Combination tone,NEW,
Psychoacoustics,Confirmation bias,NEW,
Psychoacoustics,Context effect,NEW,
Psychoacoustics,Continuity Illusion,NEW,
Psychoacoustics,Continuity Through Masking,NEW,
Psychoacoustics,Crest perception,NEW,
Psychoacoustics,Critical band,EXISTS,Ear Training
Psychoacoustics,Critical Listening Training,NEW,
Psychoacoustics,Critical-band summation,NEW,
Psychoacoustics,Cross-Modal Perception,NEW,
Psychoacoustics,Decay perception,NEW,
Psychoacoustics,Difference limen,NEW,
Psychoacoustics,Difference Threshold,NEW,
Psychoacoustics,Difference tone,NEW,
Psychoacoustics,Divided Attention,NEW,
Psychoacoustics,Dynamic contrast,NEW,
Psychoacoustics,Echo threshold,NEW,
Psychoacoustics,Echoic Memory,NEW,
Psychoacoustics,Emotional Perception,NEW,
Psychoacoustics,Endless Scale Illusion,NEW,
Psychoacoustics,Energetic masking,NEW,
Psychoacoustics,Envelope,EXISTS,"Dynamics Processing, Synthesis"
Psychoacoustics,Equal-loudness contour,NEW,
Psychoacoustics,Equal-Loudness Contours,NEW,
Psychoacoustics,Equivalent rectangular bandwidth (ERB),NEW,
Psychoacoustics,Expectation bias,NEW,
Psychoacoustics,Fluctuation strength,NEW,
Psychoacoustics,Forward masking,NEW,
Psychoacoustics,Frequency modulation,NEW,
Psychoacoustics,Frequency Sensitivity,NEW,
Psychoacoustics,Frequency-dependent sensitivity,NEW,
Psychoacoustics,Fundamental frequency,NEW,
Psychoacoustics,Gap detection,NEW,
Psychoacoustics,Gap Transfer Illusion,NEW,
Psychoacoustics,Gestalt grouping,NEW,
Psychoacoustics,Gestalt Principles of Auditory Perception,NEW,
Psychoacoustics,Glissando Illusion,NEW,
Psychoacoustics,Haas effect,EXISTS,Reverb & Delay
Psychoacoustics,Habituation,NEW,
Psychoacoustics,Harmonic,EXISTS,"Ear Training, Sound & Acoustics"
Psychoacoustics,Illusory Continuity,NEW,
Psychoacoustics,Informational masking,NEW,
Psychoacoustics,Inharmonicity,NEW,
Psychoacoustics,Intonation,NEW,
Psychoacoustics,Just-noticeable difference (JND),NEW,
Psychoacoustics,Level-dependent frequency balance,NEW,
Psychoacoustics,Listening Comfort,NEW,
Psychoacoustics,Listening Context,NEW,
Psychoacoustics,Listening Preference,NEW,
Psychoacoustics,Loudness,EXISTS,"Audio Measurement & Optimization, Mastering, Signal Path & Levels, Sound & Acoustics"
Psychoacoustics,Loudness Perception,NEW,
Psychoacoustics,Macrodynamics,NEW,
Psychoacoustics,Maskee,NEW,
Psychoacoustics,Masker,NEW,
Psychoacoustics,Masking threshold,NEW,
Psychoacoustics,McGurk effect,NEW,
Psychoacoustics,Melody-Schema Illusion,NEW,
Psychoacoustics,Microdynamics,NEW,
Psychoacoustics,Microtiming,NEW,
Psychoacoustics,Missing fundamental,EXISTS,Sound & Acoustics
Psychoacoustics,Modulation detection,NEW,
Psychoacoustics,Multisensory Integration,NEW,
Psychoacoustics,Multisensory interaction,NEW,
Psychoacoustics,Musical interval perception,NEW,
Psychoacoustics,Musical Restoration,NEW,
Psychoacoustics,Neural Plasticity,NEW,
Psychoacoustics,Noise floor,EXISTS,"Assisted Listening Systems, Audio Measurement & Optimization, Room Acoustics, Signal Path & Levels, Sound & Acoustics"
Psychoacoustics,Octave equivalence,NEW,
Psychoacoustics,Octave Illusion,NEW,
Psychoacoustics,Onset perception,NEW,
Psychoacoustics,Order effect,NEW,
Psychoacoustics,Overtone,NEW,
Psychoacoustics,Perception,NEW,
Psychoacoustics,Perceptual Accuracy,NEW,
Psychoacoustics,Perceptual Coding,EXISTS,DAW Skills
Psychoacoustics,Perceptual Hearing,NEW,
Psychoacoustics,Perceptual Learning,NEW,
Psychoacoustics,Perceptual Threshold,NEW,
Psychoacoustics,Perceptual Transparency,NEW,
Psychoacoustics,Phantom Words,NEW,
Psychoacoustics,Phon,EXISTS,Sound & Acoustics
Psychoacoustics,Phonemic Restoration,NEW,
Psychoacoustics,Pitch,EXISTS,"Sound & Acoustics, Synthesis"
Psychoacoustics,Pitch acuity,NEW,
Psychoacoustics,Pitch Circularity,NEW,
Psychoacoustics,Pitch class,NEW,
Psychoacoustics,Pitch discrimination,NEW,
Psychoacoustics,Pitch drift,NEW,
Psychoacoustics,Pitch Perception,NEW,
Psychoacoustics,Pitch salience,NEW,
Psychoacoustics,Pleasantness,NEW,
Psychoacoustics,Precedence effect,EXISTS,"Audio Measurement & Optimization, Loudspeaker System Deployment, Reverb & Delay, Room Acoustics"
Psychoacoustics,Preference Bias,NEW,
Psychoacoustics,Psychoacoustic Optimization,NEW,
Psychoacoustics,Psychoacoustics,EXISTS,Sound & Acoustics
Psychoacoustics,Pumping,EXISTS,Dynamics Processing
Psychoacoustics,Recognition Memory,NEW,
Psychoacoustics,Residue pitch,NEW,
Psychoacoustics,Rhythmic entrainment,NEW,
Psychoacoustics,Room-noise criterion,NEW,
Psychoacoustics,Roughness,NEW,
Psychoacoustics,Scale Illusion,NEW,
Psychoacoustics,Selective Attention,NEW,
Psychoacoustics,Sensory Adaptation,NEW,
Psychoacoustics,Sharpness,NEW,
Psychoacoustics,Shepard Scale,NEW,
Psychoacoustics,Shepard Tone,NEW,
Psychoacoustics,Shepard–Risset Glissando,NEW,
Psychoacoustics,Signal-to-noise ratio (SNR),EXISTS,"Audio Measurement & Optimization, Signal Path & Levels, Troubleshooting"
Psychoacoustics,Simultaneous masking,NEW,
Psychoacoustics,Sone,NEW,
Psychoacoustics,Source Identification,NEW,
Psychoacoustics,Spatial Perception,NEW,
Psychoacoustics,Spatial release from masking,NEW,
Psychoacoustics,Spectral masking,NEW,
Psychoacoustics,Spectral Sensitivity,NEW,
Psychoacoustics,Speech-to-noise ratio,NEW,
Psychoacoustics,Stream segregation,NEW,
Psychoacoustics,Temperament,NEW,
Psychoacoustics,Tempo perception,NEW,
Psychoacoustics,Temporal Filling-In,NEW,
Psychoacoustics,Temporal integration,NEW,
Psychoacoustics,Temporal masking,NEW,
Psychoacoustics,Temporal Perception,NEW,
Psychoacoustics,Temporal resolution,NEW,
Psychoacoustics,Temporal smearing,NEW,
Psychoacoustics,Timbre,EXISTS,"Recording Arts, Sound & Acoustics, Synthesis"
Psychoacoustics,Timbre Perception,NEW,
Psychoacoustics,Tonality,NEW,
Psychoacoustics,Transient,EXISTS,"Dynamics Processing, Sampling, Sound & Acoustics"
Psychoacoustics,Tritone Paradox,NEW,
Psychoacoustics,Tuning reference,NEW,
Psychoacoustics,Upward spread of masking,NEW,
Psychoacoustics,Verbal Transformation Effect,NEW,
Psychoacoustics,Vibrato perception,NEW,
Psychoacoustics,Virtual Pitch,NEW,
Psychoacoustics,Visual Bias,NEW,
Psychoacoustics,Weber’s Law,NEW,
Critical Listening & Ear Training,A/B Comparison,EXISTS,Troubleshooting
Critical Listening & Ear Training,AB comparison,NEW,
Critical Listening & Ear Training,ABX test,NEW,
Critical Listening & Ear Training,ABX Testing,NEW,
Critical Listening & Ear Training,Acoustic Memory,NEW,
Critical Listening & Ear Training,Active Listening,EXISTS,Workplace Skills
Critical Listening & Ear Training,Air,EXISTS,Mastering
Critical Listening & Ear Training,Aliasing Recognition,NEW,
Critical Listening & Ear Training,Analytical listening,NEW,
Critical Listening & Ear Training,Anchor stimulus,NEW,
Critical Listening & Ear Training,Artifact Recognition,NEW,
Critical Listening & Ear Training,Attack,EXISTS,"Dynamics Processing, Synthesis"
Critical Listening & Ear Training,Auditory Discrimination,NEW,
Critical Listening & Ear Training,Balance,NEW,
Critical Listening & Ear Training,Blend,EXISTS,"Mixers & Recorders, Mixing"
Critical Listening & Ear Training,Blind Comparison,NEW,
Critical Listening & Ear Training,Blind listening test,NEW,
Critical Listening & Ear Training,Boominess,NEW,
Critical Listening & Ear Training,Boxiness,EXISTS,Ear Training
Critical Listening & Ear Training,Brightness,NEW,
Critical Listening & Ear Training,Buzz Identification,NEW,
Critical Listening & Ear Training,Causal listening,NEW,
Critical Listening & Ear Training,Chorus Recognition,NEW,
Critical Listening & Ear Training,Clarity,EXISTS,"Audio Measurement & Optimization, Room Acoustics, Sound & Acoustics"
Critical Listening & Ear Training,Click Detection,NEW,
Critical Listening & Ear Training,Clipping Recognition,NEW,
Critical Listening & Ear Training,Codec Artifact Recognition,NEW,
Critical Listening & Ear Training,Cohesion,NEW,
Critical Listening & Ear Training,Comparative Listening,NEW,
Critical Listening & Ear Training,Compression Recognition,NEW,
Critical Listening & Ear Training,Consumer Playback Evaluation,NEW,
Critical Listening & Ear Training,Context Listening,NEW,
Critical Listening & Ear Training,Continuing Ear Development,NEW,
Critical Listening & Ear Training,Controlled Listening Test,NEW,
Critical Listening & Ear Training,Critical Evaluation Workflow,NEW,
Critical Listening & Ear Training,Critical listening,EXISTS,"Mastering, Mixing"
Critical Listening & Ear Training,Critical Listening Discipline,NEW,
Critical Listening & Ear Training,Critical Listening Session,NEW,
Critical Listening & Ear Training,Decay,EXISTS,"Reverb & Delay, Room Acoustics, Sound & Acoustics, Synthesis"
Critical Listening & Ear Training,Definition,NEW,
Critical Listening & Ear Training,Delay Recognition,NEW,
Critical Listening & Ear Training,Density,EXISTS,Reverb & Delay
Critical Listening & Ear Training,Depth,EXISTS,Mixing
Critical Listening & Ear Training,Detail,NEW,
Critical Listening & Ear Training,Distortion Recognition,NEW,
Critical Listening & Ear Training,Dither Recognition,NEW,
Critical Listening & Ear Training,Double-Blind Listening Test,NEW,
Critical Listening & Ear Training,Double-blind test,NEW,
Critical Listening & Ear Training,Dropout Detection,NEW,
Critical Listening & Ear Training,Dynamic Memory,NEW,
Critical Listening & Ear Training,Dynamic Range Evaluation,NEW,
Critical Listening & Ear Training,Dynamics,NEW,
Critical Listening & Ear Training,Ear Calibration,NEW,
Critical Listening & Ear Training,Ear Fatigue Awareness,NEW,
Critical Listening & Ear Training,Ear Training,NEW,
Critical Listening & Ear Training,Envelopment,NEW,
Critical Listening & Ear Training,Equalization (EQ) Recognition,NEW,
Critical Listening & Ear Training,Evaluative listening,NEW,
Critical Listening & Ear Training,Expansion Recognition,NEW,
Critical Listening & Ear Training,Expert listener,NEW,
Critical Listening & Ear Training,Fatigue Management,NEW,
Critical Listening & Ear Training,Flanger Recognition,NEW,
Critical Listening & Ear Training,Focus,NEW,
Critical Listening & Ear Training,Frequency Balance,NEW,
Critical Listening & Ear Training,Frequency Band Training,NEW,
Critical Listening & Ear Training,Frequency Identification,NEW,
Critical Listening & Ear Training,Frequency Sweep Training,NEW,
Critical Listening & Ear Training,Fullness,NEW,
Critical Listening & Ear Training,Gate Recognition,NEW,
Critical Listening & Ear Training,Genre Familiarization,NEW,
Critical Listening & Ear Training,Harmonic Recognition,NEW,
Critical Listening & Ear Training,Harshness,EXISTS,Ear Training
Critical Listening & Ear Training,Headphone Evaluation,NEW,
Critical Listening & Ear Training,Height,NEW,
Critical Listening & Ear Training,Hidden reference,NEW,
Critical Listening & Ear Training,Honk,NEW,
Critical Listening & Ear Training,Hum Identification,NEW,
Critical Listening & Ear Training,Imaging Evaluation,NEW,
Critical Listening & Ear Training,Impact,NEW,
Critical Listening & Ear Training,Instrument Familiarization,NEW,
Critical Listening & Ear Training,Intelligibility,EXISTS,Assisted Listening Systems
Critical Listening & Ear Training,Level Discipline,NEW,
Critical Listening & Ear Training,Level matching,NEW,
Critical Listening & Ear Training,Lifelong Ear Training,NEW,
Critical Listening & Ear Training,Limiter Recognition,NEW,
Critical Listening & Ear Training,Listener Fatigue,NEW,
Critical Listening & Ear Training,Listener qualification,NEW,
Critical Listening & Ear Training,Listening Baseline,NEW,
Critical Listening & Ear Training,Listening Confidence,NEW,
Critical Listening & Ear Training,Listening Journal,NEW,
Critical Listening & Ear Training,Listening Log,NEW,
Critical Listening & Ear Training,Listening Objective,NEW,
Critical Listening & Ear Training,Listening panel,NEW,
Critical Listening & Ear Training,Listening Perspective,NEW,
Critical Listening & Ear Training,Listening Reference,NEW,
Critical Listening & Ear Training,Localization Accuracy,NEW,
Critical Listening & Ear Training,Loudness Bias,NEW,
Critical Listening & Ear Training,Loudspeaker Evaluation,NEW,
Critical Listening & Ear Training,Mix Translation,NEW,
Critical Listening & Ear Training,Mono Compatibility Check,NEW,
Critical Listening & Ear Training,Mono Compatibility Evaluation,NEW,
Critical Listening & Ear Training,Mud,EXISTS,Ear Training
Critical Listening & Ear Training,MUSHRA,NEW,
Critical Listening & Ear Training,Music Evaluation,NEW,
Critical Listening & Ear Training,Nasality,NEW,
Critical Listening & Ear Training,Naïve listener,NEW,
Critical Listening & Ear Training,Noise Recognition,NEW,
Critical Listening & Ear Training,Passive Listening,NEW,
Critical Listening & Ear Training,Perceptual Threshold Training,NEW,
Critical Listening & Ear Training,Phase Awareness,NEW,
Critical Listening & Ear Training,Phase Recognition,NEW,
Critical Listening & Ear Training,Phaser Recognition,NEW,
Critical Listening & Ear Training,Playback Translation,NEW,
Critical Listening & Ear Training,Polarity Recognition,NEW,
Critical Listening & Ear Training,Pop Detection,NEW,
Critical Listening & Ear Training,Practical significance,NEW,
Critical Listening & Ear Training,Preference test,NEW,
Critical Listening & Ear Training,Presence,EXISTS,Mastering
Critical Listening & Ear Training,Professional Listening Standards,NEW,
Critical Listening & Ear Training,Punch,NEW,
Critical Listening & Ear Training,Punch-through,NEW,
Critical Listening & Ear Training,Quantization Noise Recognition,NEW,
Critical Listening & Ear Training,Reduced listening,NEW,
Critical Listening & Ear Training,Reference Listening,NEW,
Critical Listening & Ear Training,Reference Listening Session,NEW,
Critical Listening & Ear Training,Reference signal,EXISTS,Audio Measurement & Optimization
Critical Listening & Ear Training,Reference track,EXISTS,"Mastering, Mixing, Project Management"
Critical Listening & Ear Training,Release,EXISTS,"Copyright, Dynamics Processing, Publishing & Licensing, Synthesis"
Critical Listening & Ear Training,Repeatability,NEW,
Critical Listening & Ear Training,Reproducibility,NEW,
Critical Listening & Ear Training,Resolution,NEW,
Critical Listening & Ear Training,Reverb Recognition,NEW,
Critical Listening & Ear Training,Room Evaluation,NEW,
Critical Listening & Ear Training,Self-Calibration,NEW,
Critical Listening & Ear Training,Semantic listening,NEW,
Critical Listening & Ear Training,Separation,NEW,
Critical Listening & Ear Training,Single-Variable Evaluation,NEW,
Critical Listening & Ear Training,Smearing,NEW,
Critical Listening & Ear Training,Solo Listening,NEW,
Critical Listening & Ear Training,Sonic Memory,NEW,
Critical Listening & Ear Training,Space,NEW,
Critical Listening & Ear Training,Spatial Memory,NEW,
Critical Listening & Ear Training,Spectral Balance,NEW,
Critical Listening & Ear Training,Speech Evaluation,NEW,
Critical Listening & Ear Training,Statistical significance,NEW,
Critical Listening & Ear Training,Stereo Image Evaluation,NEW,
Critical Listening & Ear Training,Stereo Imaging,NEW,
Critical Listening & Ear Training,Stereo Width Evaluation,NEW,
Critical Listening & Ear Training,Sustain,EXISTS,Synthesis
Critical Listening & Ear Training,System Evaluation,NEW,
Critical Listening & Ear Training,Thinness,NEW,
Critical Listening & Ear Training,Tonal Balance,EXISTS,Mastering
Critical Listening & Ear Training,Tonal Memory,NEW,
Critical Listening & Ear Training,Training trial,NEW,
Critical Listening & Ear Training,Transient Evaluation,NEW,
Critical Listening & Ear Training,Transient Response,EXISTS,"Audio Measurement & Optimization, Dynamics Processing, Recording Arts"
Critical Listening & Ear Training,Translation,EXISTS,"Film & Game Audio, Mastering, Mixing"
Critical Listening & Ear Training,Translation Evaluation,NEW,
Critical Listening & Ear Training,Transparency,NEW,
Critical Listening & Ear Training,Triangle test,NEW,
Critical Listening & Ear Training,Voice Familiarization,NEW,
Critical Listening & Ear Training,Warmth,EXISTS,Recording Arts
Critical Listening & Ear Training,Width,NEW,
Monitoring & Audio Evaluation,AB Test,NEW,
Monitoring & Audio Evaluation,Absolute Rating,NEW,
Monitoring & Audio Evaluation,Accuracy,NEW,
Monitoring & Audio Evaluation,Acoustic Reference Level,NEW,
Monitoring & Audio Evaluation,Acoustic Symmetry,NEW,
Monitoring & Audio Evaluation,AFL (After-Fader Listen),EXISTS,Mixers & Recorders
Monitoring & Audio Evaluation,Airiness,NEW,
Monitoring & Audio Evaluation,Alternate Monitor Check,NEW,
Monitoring & Audio Evaluation,Anchor Sample,NEW,
Monitoring & Audio Evaluation,Audio Monitoring,NEW,
Monitoring & Audio Evaluation,Audio Quality,NEW,
Monitoring & Audio Evaluation,Band-Limited Reference,NEW,
Monitoring & Audio Evaluation,Blind Evaluation,NEW,
Monitoring & Audio Evaluation,Calibration,EXISTS,"Audio Measurement & Optimization, Audio System Design, Loudspeaker System Deployment"
Monitoring & Audio Evaluation,Calibration Tone,EXISTS,Signal Path & Levels
Monitoring & Audio Evaluation,Channel Matching,NEW,
Monitoring & Audio Evaluation,Comparative Rating,NEW,
Monitoring & Audio Evaluation,Confidence Monitoring,NEW,
Monitoring & Audio Evaluation,Consumer Playback Check,NEW,
Monitoring & Audio Evaluation,Cross-Platform Translation,NEW,
Monitoring & Audio Evaluation,Cue Monitoring,NEW,
Monitoring & Audio Evaluation,Depth of Field,NEW,
Monitoring & Audio Evaluation,Detail Retrieval,NEW,
Monitoring & Audio Evaluation,Dim Function,NEW,
Monitoring & Audio Evaluation,Direct Monitoring,EXISTS,Recording Arts
Monitoring & Audio Evaluation,Discrimination Test,NEW,
Monitoring & Audio Evaluation,Double-Blind Evaluation,NEW,
Monitoring & Audio Evaluation,Dry Sound,NEW,
Monitoring & Audio Evaluation,Engagement,NEW,
Monitoring & Audio Evaluation,Farfield Monitoring,NEW,
