gs,topic,current_terms,gap_to_90,recommended_action,merge_or_fold_target,#certs,#programs,member_certs,member_programs,note
840,Distributed Audio Systems,35,55,GROW,,2,2,Commercial Audio Systems; Residential & Consumer Audio,Commercial Audio and AV Systems; Audio Networking & Infrastructure,author 55 more terms
910,"PCB, Assembly & Soldering",35,55,GROW,,1,1,Manufacturing,"Audio Electronics, Service and Repair",author 55 more terms
1660,Object & Bed Panning / Authoring,36,54,GROW,,1,2,Immersive Audio Production,"Sound for Film, Television and Interactive Media; Immersive Audio",author 54 more terms
1680,Immersive Music Production & Delivery,36,54,GROW,,1,1,Immersive Music Production,Immersive Audio,author 54 more terms
950,Home Theater & Residential AV,37,53,GROW,,1,0,Residential & Consumer Audio,,author 53 more terms
1320,DAW: Digital Performer/Reason,37,53,GROW,,1,2,Digital Performer/Reason Production,Music Production; Electronic Music & Synthesis,author 53 more terms
1410,Hearing Anatomy & Function,37,53,GROW,,1,0,Hearing & Audio Health,,author 53 more terms
180,I/O Connections,38,52,GROW,,0,2,,Commercial Audio and AV Systems; Audio Networking & Infrastructure,author 52 more terms
650,System Tuning & Alignment,39,51,GROW,,1,3,Live Sound Systems,Live Sound Production; Audio Acoustics and System Optimization; Worship Audio,author 51 more terms
430,"Dante Devices, Modules & Certification",41,49,GROW,,1,1,Networking,Audio Networking & Infrastructure,author 49 more terms
490,Delay & Time-Based Effects,41,49,GROW,,0,2,,Mixing and Mastering; Music Production,author 49 more terms
1770,Studio Acoustics & Design,43,47,GROW,,0,1,,Audio Acoustics and System Optimization,author 47 more terms
1130,Mix Automation & Recall,44,46,GROW,,1,4,Music Mixing,Mixing and Mastering; Music Production; Immersive Audio; Electronic Music & Synthesis,author 46 more terms
1260,In-the-Box Mixing & Automation,45,45,GROW,,1,3,DAW Production,"Music Production; Broadcast, Podcast and Streaming Audio; Electronic Music & Synthesis",author 45 more terms
1610,Portfolio Development,45,45,GROW,,1,0,Career Development,,author 45 more terms
1830,Audio Plugin & DSP Development,45,45,GROW,,1,1,Software & DSP Development,AI Audio and Emerging Production,author 45 more terms
1024,"Instrument Recording — Keys, Winds & Brass",47,43,GROW,,1,1,Instrument Recording,Studio Recording,author 43 more terms
1140,"Mix Bus, Loudness & Translation",47,43,GROW,,1,4,Music Mixing,Mixing and Mastering; Music Production; Immersive Audio; Electronic Music & Synthesis,author 43 more terms
1250,Editing & Comping,47,43,GROW,,5,6,DAW Production; Logic Production; Cubase/Nuendo Production; REAPER Production; Studio One Production,"Studio Recording; Music Production; Broadcast, Podcast and Streaming Audio; Sound for Film, Television and Interactive Media; AI Audio and Emerging Production; Electronic Music & Synthesis",author 43 more terms
2010,Live Sound — Festival Changeovers & Guest-Engineer,47,43,GROW,,1,0,Festival Audio Production,,author 43 more terms
1232,Production Sound & Field Recording,49,41,GROW,,2,1,Production Sound; Foley & Sound Effects,"Sound for Film, Television and Interactive Media",author 41 more terms
610,System Maintenance,50,40,GROW,,1,3,Troubleshooting,"Commercial Audio and AV Systems; Audio Electronics, Service and Repair; Audio Networking & Infrastructure",author 40 more terms
1040,Drum-Kit Recording,50,40,GROW,,0,1,,Studio Recording,author 40 more terms
1400,"Synthesis Types, Modular & CV",50,40,GROW,,1,1,Synthesis & Sound Design,Electronic Music & Synthesis,author 40 more terms
990,Recording Fundamentals & Signal Chain,54,36,GROW,,1,3,Studio Recording,"Studio Recording; Music Production; Broadcast, Podcast and Streaming Audio",author 36 more terms
670,DJ Performance & Turntablism,56,34,GROW,,1,0,DJ Audio,,author 34 more terms
220,"Mic Controls, Power & Mounting",57,33,GROW,,1,1,Wireless Audio Systems,Studio Recording,author 33 more terms
1370,Drum Programming & Beat-Making,57,33,GROW,,1,2,Electronic Music Production,Music Production; Electronic Music & Synthesis,author 33 more terms
1590,Workplace Skills,57,33,GROW,,0,0,,,author 33 more terms
850,Assisted Listening Systems,59,31,GROW,,1,1,Corporate AV Audio,Commercial Audio and AV Systems,author 31 more terms
1000,Microphone Technique for Recording,60,30,GROW,,2,3,Studio Recording; Microphone Techniques,"Studio Recording; Music Production; Broadcast, Podcast and Streaming Audio",author 30 more terms
1490,Voice & Vocal Perception,60,30,GROW,,1,1,Vocal Mixing & Production,"Broadcast, Podcast and Streaming Audio",author 30 more terms
1990,Live Sound — Soundcheck / Rehearsal / Virtual Soundcheck,60,30,GROW,,1,2,Live Sound System Engineering,Live Sound Production; Worship Audio,author 30 more terms
1280,DAW: Cubase/Nuendo,61,29,GROW,,1,2,Cubase/Nuendo Production,Music Production; Electronic Music & Synthesis,author 29 more terms
1360,Sample Editing & Manipulation,63,27,GROW,,0,3,,Music Production; AI Audio and Emerging Production; Electronic Music & Synthesis,author 27 more terms
1670,Immersive Monitoring & Calibration,63,27,GROW,,2,2,Immersive Audio Production; Immersive Music Production,"Sound for Film, Television and Interactive Media; Immersive Audio",author 27 more terms
1750,Themed Entertainment / Haunt Audio,63,27,GROW,,1,1,Game & Themed-Entertainment Audio,"Theater, Venue and Entertainment Audio",author 27 more terms
2000,Live Sound — PA Deployment & System Engineering,65,25,GROW,,1,1,Live Sound System Engineering,Live Sound Production,author 25 more terms
1220,Broadcast Loudness & Compliance,68,22,GROW,,1,1,Broadcast & Streaming Audio,"Broadcast, Podcast and Streaming Audio",author 22 more terms
190,Microphone Types & Transducers,69,21,GROW,,1,4,"Microphones, Amplifiers & Loudspeakers","Live Sound Production; Studio Recording; Music Production; Broadcast, Podcast and Streaming Audio",author 21 more terms
930,Manufacturing & Production,70,20,GROW,,1,1,Manufacturing,"Audio Electronics, Service and Repair",author 20 more terms
1640,Industry Foundations,70,20,GROW,,1,0,Career Development,,author 20 more terms
720,Stage Geography & Backstage,71,19,GROW,,1,1,Stagecraft & Venue Operations,"Theater, Venue and Entertainment Audio",author 19 more terms
200,Microphone Specs & Characteristics,72,18,GROW,,0,2,,"Studio Recording; Broadcast, Podcast and Streaming Audio",author 18 more terms
340,Audio File Formats & Media,72,18,GROW,,2,2,Recording Systems; Production Sound,"Studio Recording; Sound for Film, Television and Interactive Media",author 18 more terms
1290,DAW: REAPER,72,18,GROW,,1,2,REAPER Production,Music Production; Electronic Music & Synthesis,author 18 more terms
740,"Stage Platforms, Scenery & Soft Goods",73,17,GROW,,1,1,Stagecraft & Venue Operations,"Theater, Venue and Entertainment Audio",author 17 more terms
1620,"Copyright, Publishing & Licensing",74,16,GROW,,1,2,Music Business & Entrepreneurship,"Broadcast, Podcast and Streaming Audio; AI Audio and Emerging Production",author 16 more terms
830,Commercial 70/100V Systems,76,14,GROW,,1,1,Commercial Audio Systems,Commercial Audio and AV Systems,author 14 more terms
960,Vehicle Audio,78,12,GROW,,1,0,Vehicle Audio,,author 12 more terms
1090,Instrument Mixing — Drums & Percussion,78,12,GROW,,1,1,Instrument Mixing,Mixing and Mastering,author 12 more terms
1790,Vinyl / Disc Mastering,78,12,GROW,,0,0,,,author 12 more terms
1390,"Filters, Envelopes & Modulation",79,11,GROW,,1,1,Synthesis & Sound Design,Electronic Music & Synthesis,author 11 more terms
1570,"Winds, Brass & Organ",79,11,GROW,,1,0,Instrument Sound Identification,,author 11 more terms
130,"Power Fundamentals, Distribution & Quality",80,10,GROW,,1,3,Power Systems,"Commercial Audio and AV Systems; Audio Electronics, Service and Repair; Audio Networking & Infrastructure",author 10 more terms
510,Absorption & Bass Trapping,80,10,GROW,,1,1,Room Treatment,Audio Acoustics and System Optimization,author 10 more terms
1170,"Loudness, Dynamics & QC",81,9,GROW,,1,1,Mastering,Mixing and Mastering,author 9 more terms
2040,Live Sound — Concert-Audio Slang,82,8,GROW,,0,0,,,author 8 more terms
440,"Clocking, Redundancy & Network Management",87,3,GROW,,1,2,Networking,Commercial Audio and AV Systems; Audio Networking & Infrastructure,author 3 more terms
480,Reverb,89,1,GROW,,1,2,Signal Processing,Mixing and Mastering; Music Production,author 1 more terms
