term,status,current_topics
Bluetooth Audio,NEW,
Bluetooth Codec,NEW,
Bluetooth LE Audio,NEW,
Bone conduction,NEW,
Bone Conduction Headphones,NEW,
Bone-Anchored Hearing System,NEW,
Bone-conduction audiometry,NEW,
Bookshelf Speaker,EXISTS,Consumer Audio Systems
Boominess,NEW,
Booth Monitor Management,NEW,
Boxiness,EXISTS,Ear Training
Breathing,EXISTS,Dynamics Processing
Brightness,NEW,
Buzz Identification,NEW,
Calibration,EXISTS,"Audio Measurement & Optimization, Audio System Design, Loudspeaker System Deployment"
Calibration Signal,NEW,
Calibration Tone,EXISTS,Signal Path & Levels
Cambiata Illusion,NEW,
Caption Accuracy,NEW,
Caption Latency,NEW,
Caption Synchronization,NEW,
Captioning,NEW,
CART (Communication Access Realtime Translation),NEW,
Casual Listening,NEW,
Casual Listening Environment,NEW,
Causal listening,NEW,
Center Image Collapse,NEW,
Center-channel dialogue anchoring,NEW,
Change blindness in audio,NEW,
Channel Matching,NEW,
Channel-Based Audio,NEW,
Chorus Recognition,NEW,
Chromatic Illusion,NEW,
Cinema Accessibility,NEW,
CIS (Common Intelligibility Scale),EXISTS,"Audio Measurement & Optimization, Documentation & Diagrams"
Clarity,EXISTS,"Audio Measurement & Optimization, Room Acoustics, Sound & Acoustics"
Clarity Index (C50),NEW,
Classroom Accessibility,NEW,
Click Detection,NEW,
Clipping,EXISTS,"Mastering, Mixers & Recorders, Mixing, Signal Path & Levels"
Clipping Recognition,NEW,
Closed Captioning,EXISTS,Assisted Listening Systems
Closed-Back Headphones,EXISTS,Consumer Audio Systems
Cochlea,NEW,
Cochlear amplifier,NEW,
Cochlear Implant,NEW,
Cochlear Implant Audio Streaming,NEW,
Cocktail-party effect,EXISTS,Sound & Acoustics
Codec Artifact Recognition,NEW,
Cognitive Load,NEW,
Cohesion,NEW,
Combination tone,NEW,
Comfortable Listening Level,NEW,
Comparative Listening,NEW,
Comparative Rating,NEW,
Compression,EXISTS,Sound & Acoustics
Compression Recognition,NEW,
Conductive hearing loss,NEW,
Cone of Confusion,NEW,
Conference Accessibility,NEW,
Confidence Monitoring,NEW,
Confirmation bias,NEW,
Consonant intelligibility,NEW,
Consumer Audio,NEW,
Consumer Playback Check,NEW,
Consumer Playback Evaluation,NEW,
Consumer Playback Translation,NEW,
Context effect,NEW,
Context Listening,NEW,
Continuing Ear Development,NEW,
Continuity Illusion,NEW,
Continuity Through Masking,NEW,
Continuous Noise,NEW,
Controlled Listening Test,NEW,
Coverage Pattern,NEW,
Coverage Uniformity,NEW,
Crest Factor,EXISTS,"Dynamics Processing, Mastering, Mixing, Recording Arts, Signal Path & Levels"
Crest perception,NEW,
Crew Exposure Monitoring,NEW,
Criterion Level,NEW,
Critical band,EXISTS,Ear Training
Critical distance,EXISTS,"Recording Arts, Room Acoustics, Sound & Acoustics"
Critical Evaluation Workflow,NEW,
Critical listening,EXISTS,"Mastering, Mixing"
Critical Listening Discipline,NEW,
Critical Listening Environment,NEW,
Critical Listening Level,NEW,
Critical Listening Session,NEW,
Critical Listening Training,NEW,
Critical-band summation,NEW,
Cross-Modal Perception,NEW,
Cross-Platform Translation,NEW,
Crosstalk,EXISTS,"Audio Measurement & Optimization, Connectors & I/O Connections, Signal Path & Levels, Troubleshooting"
Crosstalk Cancellation,NEW,
Cue Monitoring,NEW,
Cumulative Exposure,NEW,
Custom-Molded Earplug,NEW,
Daily Noise Dose,NEW,
dB HL,NEW,
dB SL (Sensation Level),NEW,
dB SPL,EXISTS,"Audio Measurement & Optimization, Signal Path & Levels, Sound & Acoustics"
Decay,EXISTS,"Reverb & Delay, Room Acoustics, Sound & Acoustics, Synthesis"
Decay perception,NEW,
Definition,NEW,
Delay Recognition,NEW,
Delay Speaker,NEW,
Density,EXISTS,Reverb & Delay
Depth,EXISTS,Mixing
Depth of Field,NEW,
Depth Perception,NEW,
Descriptive Audio,NEW,
Desktop Computer Audio,NEW,
Detail,NEW,
Detail Retrieval,NEW,
Dialogue Anchor,NEW,
Dialogue Enhancement,NEW,
Dialogue intelligibility,EXISTS,Film & Game Audio
Dialogue Loudness,NEW,
Dialogue Priority Mix,NEW,
Dialogue-to-background balance,NEW,
Dialogue-to-Background Ratio,NEW,
Diction,NEW,
Difference limen,NEW,
Difference Threshold,NEW,
Difference tone,NEW,
Digital RF Assistive Listening,NEW,
Dim Function,NEW,
Diplacusis,NEW,
Direct Hearing Aid Streaming,NEW,
Direct Monitoring,EXISTS,Recording Arts
Direct Sound,EXISTS,"Recording Arts, Room Acoustics, Sound & Acoustics"
Direct-to-reverberant ratio,EXISTS,Reverb & Delay
Discrimination Test,NEW,
Distance perception,NEW,
Distortion Recognition,NEW,
Distributed Loudspeaker System,NEW,
Dither Recognition,NEW,
Divided Attention,NEW,
Doppler Effect,EXISTS,Sound & Acoustics
Double Hearing Protection,NEW,
Double-Blind Evaluation,NEW,
Double-Blind Listening Test,NEW,
Double-blind test,NEW,
Dropout Detection,NEW,
Dry Sound,NEW,
Dummy Head Recording,NEW,
Dynamic auditory range,NEW,
Dynamic Compression (Biological),NEW,
Dynamic contrast,NEW,
Dynamic Localization,NEW,
Dynamic Memory,NEW,
Dynamic Range,EXISTS,"Audio Measurement & Optimization, Mastering, Mixers & Recorders, Mixing, Sound & Acoustics"
Dynamic Range Compression,NEW,
Dynamic Range Evaluation,NEW,
Dynamic Range of Hearing,NEW,
Dynamics,NEW,
Ear,NEW,
Ear Calibration,NEW,
Ear canal,NEW,
Ear fatigue,NEW,
Ear Fatigue Awareness,NEW,
Ear Training,NEW,
Ear-canal occlusion,NEW,
Earbuds,EXISTS,Consumer Audio Systems
Early Decay Time (EDT),EXISTS,Room Acoustics
Early Reflections,NEW,
Early Warning Symptoms,NEW,
Early-to-late energy ratio,NEW,
Earmuff,NEW,
Earplug,NEW,
Earwax (Cerumen),NEW,
Echo,EXISTS,"DAW Skills, Reverb & Delay, Sound & Acoustics"
Echo threshold,NEW,
Echoic Memory,NEW,
Effective Communication,NEW,
Elevation,NEW,
Elevation Angle,NEW,
Elevation Perception,NEW,
Emergency Communication Accessibility,NEW,
Emergency Voice Communication,NEW,
Emotional Perception,NEW,
Empty Room Response,NEW,
Endless Scale Illusion,NEW,
Energetic masking,NEW,
Engagement,NEW,
Engineering Controls,NEW,
Enunciation,NEW,
Envelope,EXISTS,"Dynamics Processing, Synthesis"
Envelopment,NEW,
Environmental Adaptation,NEW,
Environmental Noise,NEW,
Environmental Translation,NEW,
Equal-loudness contour,NEW,
Equal-Loudness Contours,NEW,
Equalization (EQ) Recognition,NEW,
Equivalent Continuous Sound Level (LAeq),NEW,
Equivalent rectangular bandwidth (ERB),NEW,
Evaluative listening,NEW,
Exchange Rate,NEW,
Expansion,NEW,
Expansion Recognition,NEW,
Expectation bias,NEW,
Expert listener,NEW,
Exposure Documentation,NEW,
Exposure Duration,NEW,
Externalization,NEW,
Farfield Consumer Listening,NEW,
Farfield Listening,NEW,
Farfield Monitoring,NEW,
Fatigue Management,NEW,
Fidelity,NEW,
First Reflection Point,NEW,
Fit Testing,NEW,
Flanger Recognition,NEW,
Fletcher–Munson Effect,NEW,
Floorstanding Speaker,EXISTS,Consumer Audio Systems
Fluctuation strength,NEW,
Flutter Echo,EXISTS,"Ear Training, Room Acoustics, Sound & Acoustics, Troubleshooting"
FM Assistive Listening System,NEW,
Foam Earplug,NEW,
Focus,NEW,
Focused Listening,NEW,
Foreground Listening Environment,NEW,
Foreground Music,EXISTS,Commercial Audio Systems
Formant,NEW,
Forward masking,NEW,
Frequency Balance,NEW,
Frequency Band Training,NEW,
Frequency Identification,NEW,
Frequency modulation,NEW,
Frequency Resolution,EXISTS,Audio Measurement & Optimization
Frequency Response of Human Hearing,NEW,
Frequency Selectivity,NEW,
Frequency Sensitivity,NEW,
Frequency Sweep Training,NEW,
Frequency-dependent sensitivity,NEW,
Fricatives,NEW,
Front Fill,EXISTS,Loudspeaker System Deployment
Front Row Experience,NEW,
Front-of-House Listening Level,NEW,
Front–back confusion,NEW,
Fullness,NEW,
Fundamental frequency,NEW,
Fusion Zone,NEW,
Gain before feedback,EXISTS,"Audio Measurement & Optimization, Troubleshooting"
Gain Control,NEW,
Gain Staging,EXISTS,"DAW Skills, Mixing, Recording Arts, Signal Path & Levels, Troubleshooting"
Gap detection,NEW,
Gap Transfer Illusion,NEW,
Gate Recognition,NEW,
Genre Familiarization,NEW,
Gestalt grouping,NEW,
Gestalt Principles of Auditory Perception,NEW,
Glissando Illusion,NEW,
Graininess,NEW,
Haas effect,EXISTS,Reverb & Delay
Habituation,NEW,
Hair Cells,NEW,
Harmonic,EXISTS,"Ear Training, Sound & Acoustics"
Harmonic Recognition,NEW,
Harshness,EXISTS,Ear Training
Head Rotation Compensation,NEW,
Head Shadow Effect,NEW,
Head tracking,NEW,
Head-related impulse response (HRIR),NEW,
Head-related transfer function (HRTF),NEW,
Headphone Check,NEW,
Headphone Evaluation,NEW,
Headphone Listening Safety,NEW,
Headphones,NEW,
Headroom,EXISTS,"Mastering, Mixers & Recorders, Mixing, Signal Path & Levels, Troubleshooting"
Hearing,NEW,
Hearing Aid,NEW,
Hearing Aid Compatibility,NEW,
Hearing Aid Streaming,NEW,
Hearing Assistance Mix,NEW,
Hearing Assistance Request,NEW,
Hearing Assistance Symbol,NEW,
Hearing Conservation,EXISTS,Sound & Acoustics
Hearing Conservation Program Audit,NEW,
Hearing Conservation Training,NEW,
Hearing Health Awareness,NEW,
Hearing Health Notifications,NEW,
Hearing Loop,EXISTS,Assisted Listening Systems
Hearing Protection Device (HPD),NEW,
Hearing Protector Compatibility,NEW,
Hearing Screening,NEW,
Hearing threshold,NEW,
Hearing Threshold Shift,NEW,
Height,NEW,
Helmet-Mounted Hearing Protection,NEW,
Hidden hearing loss,NEW,
Hidden reference,NEW,
High-frequency hearing loss,NEW,
High-Level Spot Check,NEW,
High-Resolution Audio,NEW,
Home Theater System,NEW,
Honk,NEW,
Horizontal Localization,NEW,
Horizontal Plane,NEW,
Household Ambient Noise,NEW,
Hum Identification,NEW,
HVAC Noise,EXISTS,"Audio Measurement & Optimization, Documentation & Diagrams, Room Acoustics"
Hyperacusis,NEW,
Illusory Continuity,NEW,
Image shift,NEW,
Image stability,NEW,
Imaging Accuracy,NEW,
Imaging Evaluation,NEW,
Imaging Precision,NEW,
Immersion,NEW,
Immersive Audio,EXISTS,Film & Game Audio
Impact,NEW,
Impact Noise,NEW,
Impulse Noise,NEW,
In-Ear Headphones,NEW,
In-Ear Monitor (IEM) Safety,NEW,
In-head localization,NEW,
Inclusive Audio,NEW,
Inclusive System Design,NEW,
Induction Loop System,NEW,
Informational masking,NEW,
Infrared Assistive Listening System,NEW,
Inharmonicity,NEW,
Inner ear,NEW,
Inner hair cells,NEW,
Insertion Depth,NEW,
Instrument Familiarization,NEW,
Integrated Loudness,EXISTS,"Audio Measurement & Optimization, Podcasting & Broadcast Audio"
Intelligibility,EXISTS,Assisted Listening Systems
Inter-Listener Agreement,NEW,
Interaural cross-correlation (IACC),NEW,
Interaural level difference (ILD),EXISTS,Sound & Acoustics
Interaural Phase Difference (IPD),NEW,
Interaural time difference (ITD),EXISTS,Sound & Acoustics
Intermittent Noise,NEW,
Internalization,NEW,
Internet Radio,NEW,
Interpreter Feed,NEW,
Intersample Peak,NEW,
Intimacy,NEW,
Intonation,NEW,
Intra-Listener Consistency,NEW,
Just-noticeable difference (JND),NEW,
Language Distribution System,NEW,
Laptop Audio,NEW,
Late Reflections,NEW,
Level Discipline,NEW,
Level matching,NEW,
Level Translation,NEW,
Level-dependent frequency balance,NEW,
Level-Matched Comparison,NEW,
Lifelong Ear Training,NEW,
Limiter Recognition,NEW,
Limiting,EXISTS,Mastering
Lip-Sync Delay,NEW,
Lip-sync error,NEW,
Listener Comfort Range,NEW,
Listener Effort,NEW,
Listener envelopment (LEV),NEW,
Listener Fatigue,NEW,
Listener Height,NEW,
Listener Preference,NEW,
Listener qualification,NEW,
Listener Satisfaction,NEW,
Listening Area,NEW,
Listening Attribute,NEW,
Listening Baseline,NEW,
Listening Break,NEW,
Listening Comfort,NEW,
Listening Confidence,NEW,
Listening Consistency,NEW,
Listening Context,NEW,
Listening discomfort,NEW,
Listening Distance,NEW,
Listening Dose,NEW,
Listening effort,NEW,
Listening Engagement,NEW,
Listening Environment,NEW,
Listening Evaluation,NEW,
Listening fatigue,NEW,
Listening Fatigue Management,NEW,
Listening Journal,NEW,
Listening Level,NEW,
Listening Level Optimization,NEW,
Listening Log,NEW,
Listening Margin,NEW,
Listening Objective,NEW,
Listening panel,NEW,
Listening Perspective,NEW,
Listening Position,EXISTS,Consumer Audio Systems
Listening Preference,NEW,
Listening Preference Test,NEW,
Listening Quality Assessment,NEW,
Listening Reference,NEW,
Listening Triangle,NEW,
Listening Window,NEW,
Live Captioning,NEW,
Live Streaming,NEW,
Localization Accuracy,NEW,
Localization blur,NEW,
Localization Cue,NEW,
Localization Dominance,NEW,
Localization Error,NEW,
Lombard effect,NEW,
Loop Driver (Loop Amplifier),EXISTS,Assisted Listening Systems
Loop Field Strength,NEW,
Loop Overspill Control,NEW,
Loop Spill,NEW,
Lossless Audio Compression,NEW,
Lossy Audio Compression,NEW,
Loud Listening,NEW,
Loudness,EXISTS,"Audio Measurement & Optimization, Mastering, Signal Path & Levels, Sound & Acoustics"
Loudness Adaptation,NEW,
Loudness Bias,NEW,
Loudness Compensation,NEW,
Loudness Compliance,NEW,
Loudness Consistency,NEW,
Loudness Fatigue,NEW,
Loudness Growth,NEW,
Loudness Management,NEW,
Loudness Meter,EXISTS,"Audio Measurement & Optimization, Mixing, Sound & Acoustics"
Loudness Normalization,EXISTS,"Mastering, Podcasting & Broadcast Audio"
Loudness Normalization Target,NEW,
Loudness Perception,NEW,
Loudness Range (LRA),NEW,
Loudness recruitment,NEW,
Loudness Unit (LU),NEW,
Loudness Units Relative to Full Scale (LUFS),NEW,
Loudspeaker Directivity,NEW,
Loudspeaker Evaluation,NEW,
Low-Latency Monitoring,NEW,
Low-Level Monitoring,NEW,
Macrodynamics,NEW,
Main Monitor System,NEW,
Maskee,NEW,
Masker,NEW,
Masking,EXISTS,"Mixing, Sound & Acoustics"
Masking threshold,NEW,
Maximum Sound Level (Lmax),NEW,
McGurk effect,NEW,
Median plane,NEW,
Melody-Schema Illusion,NEW,
Meter Ballistics,EXISTS,Signal Path & Levels
Meter Integration Time,NEW,
Microdynamics,NEW,
Microphone-to-Talker Distance,NEW,
Microtiming,NEW,
Middle ear,NEW,
Midfield Listening,NEW,
Midfield Monitoring,NEW,
Missing fundamental,EXISTS,Sound & Acoustics
Mix Translation,NEW,
Mixed hearing loss,NEW,
Mobile Listening,NEW,
Moderate Listening Level,NEW,
Moderate-Level Monitoring,NEW,
Modulation detection,NEW,
Momentary Loudness,NEW,
Monaural hearing,NEW,
Monaural Localization,NEW,
Monaural spectral cue,NEW,
Monitor Calibration,NEW,
Monitor Calibration Level,NEW,
Monitor Controller,EXISTS,Recording Arts
Monitor Gain Structure,NEW,
Monitor Latency,NEW,
Monitor Level,NEW,
Monitor Mute,NEW,
Monitor Neutrality,NEW,
Monitor Translation,NEW,
Monitor Transparency,NEW,
Monitoring,EXISTS,Assisted Listening Systems
Monitoring Accuracy,NEW,
Monitoring Chain,NEW,
Monitoring Consistency,NEW,
Monitoring Delay,NEW,
Monitoring Discipline,NEW,
Monitoring Environment,NEW,
Monitoring Workflow,NEW,
Mono Compatibility Check,NEW,
Mono Compatibility Evaluation,NEW,
Mono Reference Speaker,NEW,
Most comfortable level (MCL),NEW,
Most Comfortable Listening Level (MCL),NEW,
Motion parallax,NEW,
Motion Tracking,NEW,
Mud,EXISTS,Ear Training
Multi-Purpose Space,NEW,
Multi-Room Audio,NEW,
Multilingual Audio,NEW,
Multisensory Integration,NEW,
Multisensory interaction,NEW,
Museum Accessibility,NEW,
MUSHRA,NEW,
Music Evaluation,NEW,
Music Streaming Service,NEW,
Musical interval perception,NEW,
Musical Restoration,NEW,
Musicality,NEW,
Musician’s Earplug,NEW,
Nasality,NEW,
Naturalness,NEW,
Naïve listener,NEW,
Nearfield Consumer Listening,NEW,
Nearfield Listening,NEW,
Nearfield Monitoring,NEW,
Neck Loop,EXISTS,Assisted Listening Systems
Neural Plasticity,NEW,
Neutrality,NEW,
Night Mode,NEW,
Noise Dose Meter (Dosimeter),NEW,
Noise Exposure,NEW,
Noise floor,EXISTS,"Assisted Listening Systems, Audio Measurement & Optimization, Room Acoustics, Signal Path & Levels, Sound & Acoustics"
Noise Intrusion,NEW,
Noise Recognition,NEW,
Noise Reduction Rating (NRR),NEW,
Noise-induced hearing loss (NIHL),NEW,
Noise-Isolating Headphones,NEW,
Object-Based Audio,EXISTS,"Amps & Loudspeakers, Film & Game Audio"
Objective Evaluation,NEW,
Occlusion effect,NEW,
Occupancy Noise,NEW,
Occupational Noise Exposure,NEW,
Occupied Room Response,NEW,
Octave equivalence,NEW,
Octave Illusion,NEW,
Off-Air Monitoring,NEW,
Off-Axis Listening,NEW,
Off-Axis Speech Pickup,NEW,
On-Axis Listening,NEW,
On-Demand Streaming,NEW,
Onset perception,NEW,
Open Captioning,NEW,
Open-Back Headphones,EXISTS,Consumer Audio Systems
Openness,NEW,
Order effect,NEW,
Ossicles,NEW,
Otoacoustic emission,NEW,
Otoacoustic Emissions (OAEs),NEW,
Otolaryngologist,NEW,
Ototoxicity,NEW,
Outer ear,NEW,
Outer hair cells,NEW,
Overprotection,NEW,
Overtone,NEW,
Paging System,EXISTS,"Audio System Design, Commercial Audio Systems"
Passive Listening,NEW,
Passive Speaker,EXISTS,Consumer Audio Systems
Pausing,NEW,
Peak Level,EXISTS,"Dynamics Processing, Mixers & Recorders, Mixing, Signal Path & Levels, Troubleshooting"
Peak Meter,NEW,
Peak Normalization,NEW,
Peak Sound Pressure Level (Peak SPL),NEW,
Perceived Audio Quality,NEW,
Perceived Quality,NEW,
Perceived Volume,NEW,
Perception,NEW,
Perceptual Accuracy,NEW,
Perceptual Coding,EXISTS,DAW Skills
Perceptual Hearing,NEW,
Perceptual Learning,NEW,
Perceptual Threshold,NEW,
Perceptual Threshold Training,NEW,
Perceptual Transparency,NEW,
Permanent threshold shift (PTS),NEW,
Permissible Exposure Limit (PEL),NEW,
Personal Attenuation Rating (PAR),NEW,
Personal Listening Dose,NEW,
Personal Listening Space,NEW,
Personal Noise Dosimetry,NEW,
Personal Receiver,EXISTS,Assisted Listening Systems
Personalized Spatial Audio,NEW,
PFL (Pre-Fader Listen),EXISTS,"Analog Live Sound, Mixers & Recorders"
Phantom center,EXISTS,Recording Arts
Phantom Center Stability,NEW,
Phantom Image,NEW,
Phantom Words,NEW,
Phase Awareness,NEW,
Phase Coherency,NEW,
Phase Recognition,NEW,
Phaser Recognition,NEW,
Phon,EXISTS,Sound & Acoustics
Phoneme,NEW,
Phonemic Restoration,NEW,
Pink Noise Reference,NEW,
Pinna,NEW,
Pinna Cues,NEW,
Pitch,EXISTS,"Sound & Acoustics, Synthesis"
Pitch acuity,NEW,
Pitch Circularity,NEW,
Pitch class,NEW,
Pitch discrimination,NEW,
Pitch drift,NEW,
Pitch Perception,NEW,
Pitch salience,NEW,
Playback Device,NEW,
Playback Level,NEW,
Playback Optimization,NEW,
Playback System,EXISTS,Film & Game Audio
Playback Translation,NEW,
Playback Volume Preference,NEW,
Pleasantness,NEW,
Plosives,NEW,
Podcast Playback,NEW,
Polarity Recognition,NEW,
Polarity Verification,NEW,
Pop Detection,NEW,
Portable Audio Player,NEW,
Powered Speaker,EXISTS,Consumer Audio Systems
PPM (Peak Programme Meter),EXISTS,"Audio Measurement & Optimization, Podcasting & Broadcast Audio"
Practical significance,NEW,
Precedence effect,EXISTS,"Audio Measurement & Optimization, Loudspeaker System Deployment, Reverb & Delay, Room Acoustics"
Preference Bias,NEW,
Preference Consistency,NEW,
Preference Ranking,NEW,
Preference test,NEW,
Preferred Listening Level,NEW,
Premolded Earplug,NEW,
Presbycusis,NEW,
Presence,EXISTS,Mastering
Presence Region,EXISTS,Ear Training
Primary Listening Position (PLP),NEW,
Professional Listening Standards,NEW,
Program Loudness,NEW,
Program Monitoring,NEW,
Protected Exposure Level,NEW,
Psychoacoustic Optimization,NEW,
Psychoacoustics,EXISTS,Sound & Acoustics
Public Accommodation,NEW,
Public Address (PA) Speech Reinforcement,NEW,
Pumping,EXISTS,Dynamics Processing
Punch,NEW,
Punch-through,NEW,
Pure-tone audiometry,NEW,
Quality Rating Test,NEW,
Quantization Noise Recognition,NEW,
Quiet Listening,NEW,
Quiet Recovery Period,NEW,
Quiet Zone,NEW,
Rear Seating Experience,NEW,
Receiver Checkout Procedure,NEW,
Receiver Distribution System,NEW,
Receiver Inventory,NEW,
Receiver Sanitization,NEW,
Recognition Memory,NEW,
Recommended Exposure Limit (REL),NEW,
Recreational Noise Exposure,NEW,
Recruitment,NEW,
Reduced Listener Fatigue,NEW,
Reduced listening,NEW,
Reference Library,NEW,
Reference Listening,NEW,
Reference Listening Level,NEW,
Reference Listening Session,NEW,
Reference Monitor,EXISTS,Recording Arts
Reference Monitoring,NEW,
Reference Pink Noise Level,NEW,
Reference Playback,NEW,
Reference Reset,NEW,
Reference signal,EXISTS,Audio Measurement & Optimization
Reference track,EXISTS,"Mastering, Mixing, Project Management"
Reflected Sound,EXISTS,Recording Arts
Reflection Control,NEW,
Release,EXISTS,"Copyright, Dynamics Processing, Publishing & Licensing, Synthesis"
Repeatability,NEW,
Replay Gain,NEW,
ReplayGain,NEW,
Reproducibility,NEW,
Residue pitch,NEW,
Resolution,NEW,
Reverb Recognition,NEW,
Reverberant Field,EXISTS,"Reverb & Delay, Room Acoustics"
Reverberant masking,NEW,
Reverberation Field,NEW,
Reverberation Time (RT60),EXISTS,"Audio Measurement & Optimization, Reverb & Delay, Room Acoustics"
Rhythmic entrainment,NEW,
RMS Level,NEW,
RMS Meter,NEW,
Room Ambience,NEW,
Room Correction,EXISTS,"Audio Measurement & Optimization, Consumer Audio Systems, Equalization (EQ)"
Room Evaluation,NEW,
Room-noise criterion,NEW,
Roughness,NEW,
Safe Listening,NEW,
Safe Listening Features,NEW,
Safe Listening Level,NEW,
Sagittal Plane,NEW,
Satellite Speaker,EXISTS,Consumer Audio Systems
Scale Illusion,NEW,
Seal Integrity,NEW,
Seat-to-Seat Consistency,NEW,
Seated Listener,NEW,
Secondary Monitor,NEW,
Selective Attention,NEW,
Self-Calibration,NEW,
Semantic listening,NEW,
Sensation level (dB SL),NEW,
Sensorineural hearing loss,NEW,
Sensory Adaptation,NEW,
Separation,NEW,
Shadow Zone,NEW,
Shared Listening Environment,NEW,
Sharpness,NEW,
Shepard Scale,NEW,
Shepard Tone,NEW,
Shepard–Risset Glissando,NEW,
Short-Term Loudness,NEW,
Sibilance,EXISTS,"Dynamics Processing, Microphones, Mixing, Recording Arts"
Signal-to-Masker Ratio,NEW,
Signal-to-noise ratio (SNR),EXISTS,"Audio Measurement & Optimization, Signal Path & Levels, Troubleshooting"
Simultaneous Interpretation System,NEW,
Simultaneous masking,NEW,
