term,final_topic,source_batch
Acoustic admittance,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Acoustic appropriateness,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic boundary,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic coupler,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic diffraction,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic energy map,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic environment model,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic impedance of water,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic multitarget tracking,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic obstruction,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic opening,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic particle acceleration,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic particle motion,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic prediction data set,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic privacy,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic ray,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic ray path,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic region,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic source trajectory,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic transfer impedance,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic transfer-function vector,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic visibility,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic zone,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic-command injection,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic-environment recording,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic-response parameterization,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic-scene graph,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Acoustic-scene navigation,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Across-Ear Envelope Comparison,"Standards — Coding, Systems, Metadata & Transport",Standards list
Across-Formant Grouping,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Across-Modal Influence,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Action/Object Paradigm,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Actual loudspeaker position,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Adaptation control,"Standards — Coding, Systems, Metadata & Transport",Standards list
Adapted Port Resistance,Standards — General Acoustics & Signal Terms,Standards list
Adaptive Psychophysical Method,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Adaptive codebook,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Additivity of Forward Masking,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Adjacent listener space,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Administrative audio metadata,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Adversarial detection front end,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Affinity matrix,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Air-absorption model,"Standards — Room, Building, Environmental & Measurement",Standards list
Air-conduction audiometry,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Airborne sound insulation,"Standards — Room, Building, Environmental & Measurement",Standards list
Airborne sound insulation rating,"Standards — Room, Building, Environmental & Measurement",Standards list
Album loudness,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Album-mode processing,Standards — General Acoustics & Signal Terms,Standards list
Algebraic Loop,Standards — General Acoustics & Signal Terms,Standards list
Algebraic code-excited linear prediction,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Algorithmic audio,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Alias-Free Neural Nonlinearity,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
All Frame,"Standards — Coding, Systems, Metadata & Transport",Standards list
Alternate-language presentation,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Alternative Value Set,"Standards — Coding, Systems, Metadata & Transport",Standards list
Alternative audio element,"Standards — Coding, Systems, Metadata & Transport",Standards list
Ambient sound,"Standards — Room, Building, Environmental & Measurement",Standards list
Ambisonic component ordering,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Ambisonic normalization convention,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Ambisonics Channel Numbering,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Anchor loudness,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Angular Deviation Loss,Standards — General Acoustics & Signal Terms,Standards list
Angular response data set,Standards — General Acoustics & Signal Terms,Standards list
Annotation Boundary Deviation,Standards — General Acoustics & Signal Terms,Standards list
Annoyance,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Anthropogenic sound,"Standards — Room, Building, Environmental & Measurement",Standards list
Antiderivative Antialiasing,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Antiphasic Listening Condition,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Apical Excitation,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Apparent sound reduction index,"Standards — Room, Building, Environmental & Measurement",Standards list
Arbitrary downmix gain,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Area source,"Standards — Room, Building, Environmental & Measurement",Standards list
Arithmetic-coded spectral data,"Standards — Coding, Systems, Metadata & Transport",Standards list
Array manifold,Standards — General Acoustics & Signal Terms,Standards list
Array manifold vector,Standards — General Acoustics & Signal Terms,Standards list
Array self-localization,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Artificial mastoid,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Ascending method,Standards — General Acoustics & Signal Terms,Standards list
Assessment level,"Standards — Room, Building, Environmental & Measurement",Standards list
Assessment period,"Standards — Room, Building, Environmental & Measurement",Standards list
Attenuation coefficient,"Standards — Room, Building, Environmental & Measurement",Standards list
Attenuation due to foliage,"Standards — Room, Building, Environmental & Measurement",Standards list
Attenuation due to geometrical divergence,"Standards — Room, Building, Environmental & Measurement",Standards list
Attenuation due to housing,"Standards — Room, Building, Environmental & Measurement",Standards list
Attenuation due to industrial sites,"Standards — Room, Building, Environmental & Measurement",Standards list
Attractor formation,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Attractor point,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audibility path,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Audio Block Format,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio Complementary Object,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio Data Interchange Format,Standards — General Acoustics & Signal Terms,Standards list
Audio Data Transport Stream,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio Essence,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio Feature Ontology,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio Object Type,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio Pack Format,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio Programme Reference Screen,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio Thumbnailing,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio access unit,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio adversarial example,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio call-setup signaling,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio chunk interleaving,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio clip node,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio conformance point,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio delay node,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio description scheme,Standards — General Acoustics & Signal Terms,Standards list
Audio descriptor,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio element,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio element dependency,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio element group,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio element identifier,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio element interaction,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio elementary stream,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio frame,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio fundamental frequency,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio harmonicity,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio identification,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio interactivity,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio manifestation,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio matching,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio media timescale,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio metadata code point,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio metadata enhancement,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio metadata invalidation,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio mixing node,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio multiplex element,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio object characteristic,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio object structure,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio over asynchronous transfer mode,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio power,Standards — General Acoustics & Signal Terms,Standards list
Audio preroll,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio preroll recovery,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio preservation event,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio profile-level compatibility,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio profile-level indication,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio protocol discriminator,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio sample description,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio sample duration,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio sample entry,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio sample group,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio sample packet,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio sample table,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio sampling clock traceability,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio scene,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio scene adaptation,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio scene anchor,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio scene composition,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio scene configuration,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio scene coordinate system,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio scene descriptor,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio scene displacement,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio scene graph,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio scene information,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio scene metadata,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio scene origin,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio scene reference point,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio scene rendering,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio scene rotation,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio scene scaling,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio scene translation,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio scene-graph traversal,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio signature,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio source node,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio spatialization node,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio spectrum basis,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio spectrum centroid,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio spectrum envelope,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio spectrum flatness,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio spectrum projection,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio spectrum spread,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio stream configuration,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio stream synchronization tolerance,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio style-transfer defense,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio subframe,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio superframe,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio switch node,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio sync stream,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio synchronization word,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio track timescale,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio waveform descriptor,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio-Language Retrieval,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio-Sheet-Music Correspondence,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio-bound metadata,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio-content indexing,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio-description extraction,Standards — General Acoustics & Signal Terms,Standards list
Audio-description presentation,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio-embedded downmix metadata,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio-embedded loudness metadata,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio-embedded metadata,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio-embedded true-peak metadata,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio-event description,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio-format box,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio-format migration,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio-frequency shield behavior,Standards — General Acoustics & Signal Terms,Standards list
Audio-network code-point registry,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio-node event,Standards — General Acoustics & Signal Terms,Standards list
Audio-node field,Standards — General Acoustics & Signal Terms,Standards list
Audio-node routing,Standards — General Acoustics & Signal Terms,Standards list
Audio-object instantiation,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio-object integrity,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio-object provenance,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio-object relationship,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio-rate processing,Standards — General Acoustics & Signal Terms,Standards list
Audio-sample metadata embedding,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio-sample time identification,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio-segment decomposition,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio-segment descriptor,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio-source classification,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio-specific configuration,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio-to-Lyrics Alignment,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio-to-Score Alignment,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audio-visual coherence,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio-visual object association,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio-visual position mismatch,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio-visual spatial alignment,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Audio-visual synchronization metadata,"Standards — Coding, Systems, Metadata & Transport",Standards list
AudioBIFS,"Standards — Coding, Systems, Metadata & Transport",Standards list
Audiometric reference zero,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Audiometrically Normal Listener,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Audiovisual Speech Benefit,Standards — General Acoustics & Signal Terms,Standards list
Auditory Gap,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Auditory Negative Afterimage,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Auditory Sensation Area,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Auditory Time Error,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Auditory weighting function,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Auditory-Filter Asymmetry,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Auditory-field correction,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Auditory-filter bandwidth,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Augmented-reality acoustic environment,"Standards — Room, Building, Environmental & Measurement",Standards list
Augmented-reality listener space,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Aural Combination Tone,Standards — General Acoustics & Signal Terms,Standards list
Aural Harmonic,Standards — General Acoustics & Signal Terms,Standards list
Author-defined preset,Standards — General Acoustics & Signal Terms,Standards list
Authoring Information,Standards — General Acoustics & Signal Terms,Standards list
Auxiliary sample bits,Standards — General Acoustics & Signal Terms,Standards list
Availability Bias,Standards — General Acoustics & Signal Terms,Standards list
Average Sound-Pressure Level in a Room,Standards — General Acoustics & Signal Terms,Standards list
Axial Sensitivity,"Standards — Room, Building, Environmental & Measurement",Standards list
Backward Masking,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Baffled piston,Standards — General Acoustics & Signal Terms,Standards list
Band-limiting filter,"Standards — Coding, Systems, Metadata & Transport",Standards list
Bandwidth-extension coding,"Standards — Coding, Systems, Metadata & Transport",Standards list
Base curve,Standards — General Acoustics & Signal Terms,Standards list
Base layer,"Standards — Coding, Systems, Metadata & Transport",Standards list
Baseband audio,"Standards — Coding, Systems, Metadata & Transport",Standards list
Basilar-Membrane Motion,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Beam pattern,"Standards — Coding, Systems, Metadata & Transport",Standards list
Beamforming weight vector,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Beat Histogram,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Beat Spectrum,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Bel,"Standards — Coding, Systems, Metadata & Transport",Standards list
Between-Channel Masking,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Bidirectional predictive frame,"Standards — Coding, Systems, Metadata & Transport",Standards list
Bilateral Masking-Level Difference,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Binaural Advantage,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Binaural Interference,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Binaural Sluggishness,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Binaural room impulse response,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Binaural rendering,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Binaural unmasking,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Bistream element,"Standards — Coding, Systems, Metadata & Transport",Standards list
Bitstream payload,"Standards — Coding, Systems, Metadata & Transport",Standards list
Blauert Band,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Block companded PCM,"Standards — Coding, Systems, Metadata & Transport",Standards list
Block floating point,"Standards — Coding, Systems, Metadata & Transport",Standards list
Block switching,"Standards — Coding, Systems, Metadata & Transport",Standards list
Blocking matrix,"Standards — Coding, Systems, Metadata & Transport",Standards list
Bone-conduction threshold,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Boundary element method,"Standards — Coding, Systems, Metadata & Transport",Standards list
Broadband noise,"Standards — Coding, Systems, Metadata & Transport",Standards list
Building acoustics descriptor,"Standards — Room, Building, Environmental & Measurement",Standards list
Building service noise,Standards — General Acoustics & Signal Terms,Standards list
Bulk delay,"Standards — Coding, Systems, Metadata & Transport",Standards list
Cardioid response,Standards — General Acoustics & Signal Terms,Standards list
Cascade filter bank,"Standards — Coding, Systems, Metadata & Transport",Standards list
Categorical Loudness Scaling,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Center-of-gravity effect,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Cepstral coefficient,"Standards — Coding, Systems, Metadata & Transport",Standards list
Channel element,"Standards — Coding, Systems, Metadata & Transport",Standards list
Channel pair element,"Standards — Coding, Systems, Metadata & Transport",Standards list
Channel-based audio,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Chirp signal,"Standards — Coding, Systems, Metadata & Transport",Standards list
Clarity index,"Standards — Room, Building, Environmental & Measurement",Standards list
Class of a sound level meter,"Standards — Room, Building, Environmental & Measurement",Standards list
Clean audio,"Standards — Coding, Systems, Metadata & Transport",Standards list
Click train,"Standards — Coding, Systems, Metadata & Transport",Standards list
Co-articulation cue,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Coarticulated cue,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Coded audio access unit,"Standards — Coding, Systems, Metadata & Transport",Standards list
Coded representation,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Codebook index,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Coherence function,"Standards — Coding, Systems, Metadata & Transport",Standards list
Coincidence dip,"Standards — Coding, Systems, Metadata & Transport",Standards list
Coincidence frequency,"Standards — Coding, Systems, Metadata & Transport",Standards list
Comodulation Masking Release,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Comfort noise,"Standards — Coding, Systems, Metadata & Transport",Standards list
Common Loudspeaker Format,Standards — General Acoustics & Signal Terms,Standards list
Common intelligibility scale,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Complex sound source,Standards — General Acoustics & Signal Terms,Standards list
Compression driver directivity,Standards — General Acoustics & Signal Terms,Standards list
Concert-hall acoustics,"Standards — Room, Building, Environmental & Measurement",Standards list
Conditioned Threshold,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Cone of Confusion,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Confusion neighborhood,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Content dependency index,Standards — General Acoustics & Signal Terms,Standards list
Content kind,Standards — General Acoustics & Signal Terms,Standards list
Continuous descending method,Standards — General Acoustics & Signal Terms,Standards list
Continuous rating scale,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Contralateral routing of signals,"Standards — Room, Building, Environmental & Measurement",Standards list
Contrast gain control,"Standards — Coding, Systems, Metadata & Transport",Standards list
Controlled acoustical environment,"Standards — Room, Building, Environmental & Measurement",Standards list
Conversational level,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Core coder,"Standards — Coding, Systems, Metadata & Transport",Standards list
Core experiment,Standards — General Acoustics & Signal Terms,Standards list
Coupled channel,Standards — General Acoustics & Signal Terms,Standards list
Critical Bandwidth,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Critical ratio,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Cross-adaptive processing,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Cross-correlation lag,"Standards — Coding, Systems, Metadata & Transport",Standards list
Cross-fade window,"Standards — Coding, Systems, Metadata & Transport",Standards list
Cross-modal binding,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Cross-modulation distortion,"Standards — Coding, Systems, Metadata & Transport",Standards list
Cue integration,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Cumulative distribution of exposure,Standards — General Acoustics & Signal Terms,Standards list
Cut-off frequency of a filter,"Standards — Coding, Systems, Metadata & Transport",Standards list
Damping ratio of a resonator,"Standards — Coding, Systems, Metadata & Transport",Standards list
Data-driven room correction,Standards — General Acoustics & Signal Terms,Standards list
Dead room,Standards — General Acoustics & Signal Terms,Standards list
Decibel full scale,"Standards — Coding, Systems, Metadata & Transport",Standards list
Decibel relative to sound power,"Standards — Room, Building, Environmental & Measurement",Standards list
Decision-directed estimation,"Standards — Room, Building, Environmental & Measurement",Standards list
Decoded audio,"Standards — Coding, Systems, Metadata & Transport",Standards list
Decorrelation filter,"Standards — Coding, Systems, Metadata & Transport",Standards list
Dedicated metadata channel,"Standards — Coding, Systems, Metadata & Transport",Standards list
Deep clustering,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Delay-and-sum beamformer,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Delayed masking,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Denormalized number,"Standards — Coding, Systems, Metadata & Transport",Standards list
Depth of modulation,Standards — General Acoustics & Signal Terms,Standards list
Descriptor scheme,"Standards — Coding, Systems, Metadata & Transport",Standards list
Detection efficiency,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
