term,topic
Transverse vibration,Magnetic Media Degradation (Archival)
Capstan eccentricity,Magnetic Media Degradation (Archival)
Pinch-roller eccentricity,Magnetic Media Degradation (Archival)
Capstan imprint,Magnetic Media Degradation (Archival)
Reel eccentricity,Magnetic Media Degradation (Archival)
Torque ripple,Magnetic Media Degradation (Archival)
Tension modulation,Magnetic Media Degradation (Archival)
Servo hunting,Magnetic Media Degradation (Archival)
Speed-reference reconstruction,Magnetic Media Degradation (Archival)
Mains-hum speed correction,Magnetic Media Degradation (Archival)
Bias-tone tracking,Magnetic Media Degradation (Archival)
Pilot-tone recovery,Magnetic Media Degradation (Archival)
Capstanless correction,Magnetic Media Degradation (Archival)
Instantaneous disc,Grooved & Obsolete Carrier Preservation
Direct-cut disc,Grooved & Obsolete Carrier Preservation
Transcription disc,Grooved & Obsolete Carrier Preservation
Pre-grooved disc,Grooved & Obsolete Carrier Preservation
Embossed groove,Grooved & Obsolete Carrier Preservation
Cut groove,Grooved & Obsolete Carrier Preservation
Lateral-cut recording,Grooved & Obsolete Carrier Preservation
Vertical-cut recording,Grooved & Obsolete Carrier Preservation
Hill-and-dale recording,Grooved & Obsolete Carrier Preservation
Variable-pitch cutting,Grooved & Obsolete Carrier Preservation
Groove eccentricity,Grooved & Obsolete Carrier Preservation
Concentric runout,Grooved & Obsolete Carrier Preservation
Inside-start disc,Grooved & Obsolete Carrier Preservation
Outside-start disc,Grooved & Obsolete Carrier Preservation
Groove-wall selection,Grooved & Obsolete Carrier Preservation
Stylus truncation,Grooved & Obsolete Carrier Preservation
Stylus-radius optimization,Grooved & Obsolete Carrier Preservation
Truncated elliptical stylus,Grooved & Obsolete Carrier Preservation
Groove-bottom riding,Grooved & Obsolete Carrier Preservation
Pinch effect,Grooved & Obsolete Carrier Preservation
Tracing distortion,Grooved & Obsolete Carrier Preservation
Scanning loss,Grooved & Obsolete Carrier Preservation
Groove echo,Grooved & Obsolete Carrier Preservation
Turntable rumble,Grooved & Obsolete Carrier Preservation
Warp wow,Grooved & Obsolete Carrier Preservation
Lacquer delamination,Grooved & Obsolete Carrier Preservation
Lacquer lifting,Grooved & Obsolete Carrier Preservation
Lacquer flaking,Grooved & Obsolete Carrier Preservation
Palmitic-acid exudation,Grooved & Obsolete Carrier Preservation
Plasticizer loss,Grooved & Obsolete Carrier Preservation
Lacquer shrinkage,Grooved & Obsolete Carrier Preservation
Surface crazing,Grooved & Obsolete Carrier Preservation
Radial cracking,Grooved & Obsolete Carrier Preservation
Concentric cracking,Grooved & Obsolete Carrier Preservation
Groove-wall fracture,Grooved & Obsolete Carrier Preservation
Groove collapse,Grooved & Obsolete Carrier Preservation
Substrate corrosion,Grooved & Obsolete Carrier Preservation
Glass-base fracture,Grooved & Obsolete Carrier Preservation
Core swelling,Grooved & Obsolete Carrier Preservation
Exudate removal,Grooved & Obsolete Carrier Preservation
Surface bloom,Grooved & Obsolete Carrier Preservation
Mold hyphae intrusion,Grooved & Obsolete Carrier Preservation
Groove accretion,Grooved & Obsolete Carrier Preservation
Particulate occlusion,Grooved & Obsolete Carrier Preservation
Wet-play transfer,Grooved & Obsolete Carrier Preservation
Wax-cylinder shaving,Grooved & Obsolete Carrier Preservation
Cylinder eccentricity,Grooved & Obsolete Carrier Preservation
Mandrel mismatch,Grooved & Obsolete Carrier Preservation
Cylinder bore deformation,Grooved & Obsolete Carrier Preservation
End-shrinkage,Grooved & Obsolete Carrier Preservation
Cylinder ovalization,Grooved & Obsolete Carrier Preservation
Celluloid-cylinder delamination,Grooved & Obsolete Carrier Preservation
Plaster-core expansion,Grooved & Obsolete Carrier Preservation
Dictation belt,Grooved & Obsolete Carrier Preservation
Dictabelt,Grooved & Obsolete Carrier Preservation
SoundScriber disc,Grooved & Obsolete Carrier Preservation
Gray Audograph disc,Grooved & Obsolete Carrier Preservation
Memobelt,Grooved & Obsolete Carrier Preservation
Groove embossing recovery,Grooved & Obsolete Carrier Preservation
Belt flattening,Grooved & Obsolete Carrier Preservation
Mandrel casting,Grooved & Obsolete Carrier Preservation
Noncontact cylinder scanning,Grooved & Obsolete Carrier Preservation
Helical-groove reconstruction,Grooved & Obsolete Carrier Preservation
Optical sound recovery,"Archival Transfer, Recovery & Restoration Processing"
Noncontact playback,"Archival Transfer, Recovery & Restoration Processing"
IRENE scanning,"Archival Transfer, Recovery & Restoration Processing"
Two-dimensional groove imaging,"Archival Transfer, Recovery & Restoration Processing"
Three-dimensional groove imaging,"Archival Transfer, Recovery & Restoration Processing"
Surface metrology,"Archival Transfer, Recovery & Restoration Processing"
Groove-topography reconstruction,"Archival Transfer, Recovery & Restoration Processing"
Virtual stylus,"Archival Transfer, Recovery & Restoration Processing"
Optical transfer profile,"Archival Transfer, Recovery & Restoration Processing"
Groove-centerline extraction,"Archival Transfer, Recovery & Restoration Processing"
Wall-profile extraction,"Archival Transfer, Recovery & Restoration Processing"
Occlusion bridging,"Archival Transfer, Recovery & Restoration Processing"
Fracture registration,"Archival Transfer, Recovery & Restoration Processing"
Fragment stitching,"Archival Transfer, Recovery & Restoration Processing"
Image-domain dewarping,"Archival Transfer, Recovery & Restoration Processing"
Virtual reassembly,"Archival Transfer, Recovery & Restoration Processing"
Decrackling,"Archival Transfer, Recovery & Restoration Processing"
Declicking,"Archival Transfer, Recovery & Restoration Processing"
Impulse interpolation,"Archival Transfer, Recovery & Restoration Processing"
Bidirectional interpolation,"Archival Transfer, Recovery & Restoration Processing"
Autoregressive interpolation,"Archival Transfer, Recovery & Restoration Processing"
Spectral inpainting,"Archival Transfer, Recovery & Restoration Processing"
Sinusoidal interpolation,"Archival Transfer, Recovery & Restoration Processing"
Transient reconstruction,"Archival Transfer, Recovery & Restoration Processing"
Broadband impulse,"Archival Transfer, Recovery & Restoration Processing"
Click tail,"Archival Transfer, Recovery & Restoration Processing"
Thump removal,"Archival Transfer, Recovery & Restoration Processing"
Deplosive processing,"Archival Transfer, Recovery & Restoration Processing"
Declip reconstruction,"Archival Transfer, Recovery & Restoration Processing"
Asymmetric declipping,"Archival Transfer, Recovery & Restoration Processing"
Dropout interpolation,"Archival Transfer, Recovery & Restoration Processing"
Partial dropout,"Archival Transfer, Recovery & Restoration Processing"
High-frequency dropout,"Archival Transfer, Recovery & Restoration Processing"
Channel substitution,"Archival Transfer, Recovery & Restoration Processing"
Patch-source restoration,"Archival Transfer, Recovery & Restoration Processing"
Composite restoration,"Archival Transfer, Recovery & Restoration Processing"
Source intercutting,"Archival Transfer, Recovery & Restoration Processing"
Multi-source alignment,"Archival Transfer, Recovery & Restoration Processing"
Drift-compensated alignment,"Archival Transfer, Recovery & Restoration Processing"
Hum fundamental,"Archival Transfer, Recovery & Restoration Processing"
Hum-harmonic series,"Archival Transfer, Recovery & Restoration Processing"
Hum tracking,"Archival Transfer, Recovery & Restoration Processing"
Adaptive dehum,"Archival Transfer, Recovery & Restoration Processing"
Comb-notch dehum,"Archival Transfer, Recovery & Restoration Processing"
Harmonic hum reconstruction,"Archival Transfer, Recovery & Restoration Processing"
Buzz burst,"Archival Transfer, Recovery & Restoration Processing"
Rectifier buzz,"Archival Transfer, Recovery & Restoration Processing"
Line-frequency wander,"Archival Transfer, Recovery & Restoration Processing"
Heterodyne whistle,"Archival Transfer, Recovery & Restoration Processing"
Bias whistle,"Archival Transfer, Recovery & Restoration Processing"
Pilot-tone leakage,"Archival Transfer, Recovery & Restoration Processing"
Carrier leakage,"Archival Transfer, Recovery & Restoration Processing"
Beat-frequency interference,"Archival Transfer, Recovery & Restoration Processing"
Switching hash,"Archival Transfer, Recovery & Restoration Processing"
Arc noise,"Archival Transfer, Recovery & Restoration Processing"
Ignition interference,"Archival Transfer, Recovery & Restoration Processing"
Radio breakthrough,"Archival Transfer, Recovery & Restoration Processing"
Crosstalk print,"Archival Transfer, Recovery & Restoration Processing"
Bit-level preservation,Archival Preservation Principles & Digital Repository
Fixity,Archival Preservation Principles & Digital Repository
Fixity check,Archival Preservation Principles & Digital Repository
Checksum manifest,Archival Preservation Principles & Digital Repository
Cryptographic hash,Archival Preservation Principles & Digital Repository
Checksum collision,Archival Preservation Principles & Digital Repository
Silent corruption,Archival Preservation Principles & Digital Repository
Bit rot,Archival Preservation Principles & Digital Repository
Media refreshing,Archival Preservation Principles & Digital Repository
Format migration,Archival Preservation Principles & Digital Repository
Normalization,Archival Preservation Principles & Digital Repository
Preservation normalization,Archival Preservation Principles & Digital Repository
Replication,Archival Preservation Principles & Digital Repository
Geographic replication,Archival Preservation Principles & Digital Repository
Storage diversity,Archival Preservation Principles & Digital Repository
Technological diversity,Archival Preservation Principles & Digital Repository
Integrity audit,Archival Preservation Principles & Digital Repository
Audit trail,Archival Preservation Principles & Digital Repository
Event metadata,Archival Preservation Principles & Digital Repository
Preservation provenance,Archival Preservation Principles & Digital Repository
Significant properties,Archival Preservation Principles & Digital Repository
Representation information,Archival Preservation Principles & Digital Repository
Representation network,Archival Preservation Principles & Digital Repository
Preservation watch,Archival Preservation Principles & Digital Repository
Technology watch,Archival Preservation Principles & Digital Repository
Coding history field,Archival Preservation Principles & Digital Repository
Originator reference,Archival Preservation Principles & Digital Repository
Time reference,Archival Preservation Principles & Digital Repository
Embedded checksum,Archival Preservation Principles & Digital Repository
MD5 chunk,Archival Preservation Principles & Digital Repository
RF64,Archival Preservation Principles & Digital Repository
WAVE64,Archival Preservation Principles & Digital Repository
Process metadata,Archival Preservation Principles & Digital Repository
Carrier metadata,Archival Preservation Principles & Digital Repository
Replay metadata,Archival Preservation Principles & Digital Repository
Restoration metadata,Archival Preservation Principles & Digital Repository
AES57 object structure,Archival Preservation Principles & Digital Repository
Metadata crosswalk,Archival Preservation Principles & Digital Repository
Schema validation,Archival Preservation Principles & Digital Repository
Controlled vocabulary,Archival Preservation Principles & Digital Repository
Persistent identifier,Archival Preservation Principles & Digital Repository
Essence,Archival Preservation Principles & Digital Repository
Essence container,Archival Preservation Principles & Digital Repository
Ingest validation,Archival Preservation Principles & Digital Repository
Archival ingest,Archival Preservation Principles & Digital Repository
Content Information,Archival Preservation Principles & Digital Repository
Preservation Description Information,Archival Preservation Principles & Digital Repository
Reference information,Archival Preservation Principles & Digital Repository
Context information,Archival Preservation Principles & Digital Repository
Provenance information,Archival Preservation Principles & Digital Repository
Fixity information,Archival Preservation Principles & Digital Repository
Designated community,Archival Preservation Principles & Digital Repository
Independent understandability,Archival Preservation Principles & Digital Repository
Repository succession plan,Archival Preservation Principles & Digital Repository
Remanence,"Magnetic Recording Physics, Bias & Erasure"
Retentivity,"Magnetic Recording Physics, Bias & Erasure"
Coercivity,"Magnetic Recording Physics, Bias & Erasure"
Intrinsic coercivity,"Magnetic Recording Physics, Bias & Erasure"
Saturation magnetization,"Magnetic Recording Physics, Bias & Erasure"
Saturation remanence,"Magnetic Recording Physics, Bias & Erasure"
Magnetic hysteresis,"Magnetic Recording Physics, Bias & Erasure"
