id,term,primary_topic,difficulty,source_batch,authored_fields
af847e3b-e64c-40e4-9fc8-ff69893856cb,Field-effect transistor,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
95055b93-1251-40ae-a4d0-3bd5e6bd2c9a,Flash memory,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
15bf31b7-a70e-4284-a214-c74e420931cb,Flip-flop,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
638a3fb8-e880-49a2-956f-774194b26f03,Gain rank,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
c722a679-506f-4265-ad1f-73ac0b7260c1,Instrumentation amplifier,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
6b0f6df3-fa99-4c90-b32c-bbbfbd30f2ee,Integrated circuit,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
58c07e57-d14d-4a6c-83b5-214299d1ecbd,Inverting amplifier,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
0b91d03f-58ae-4acf-942d-c91ce1be0a59,Junction FET,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
760d1109-ecf8-40b1-a961-5b380175a45a,Latch,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
10f2d2e4-ff5d-4492-a970-dbcd28c7c462,Lateral MOSFET,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
370df13d-b39c-429a-9351-dc7f5b533ffb,Log amplifier,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
5c785137-580e-49b6-b260-107eddbf5c59,Logic IC,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
ef0661f4-f719-4fbf-85a0-e49a80534a3a,Long-tailed pair,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
7ff33c81-ace6-4e09-b3f6-b32425086789,Low-distortion op amp,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
68cbf7ba-4954-4e42-a566-3a79c10144a7,Low-noise op amp,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
27bae05a-b11a-4766-9ec0-bc8b7447fe49,Low-noise transistor,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
3e7b720f-dd4f-48e4-8ad9-41d7af8666b2,Matched transistor pair,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
97d5f9fa-7594-40a1-bc16-400d9a6542c0,Microcontroller,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
f69a034c-37b9-4172-bfcb-805261988cbf,MOSFET,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
921e413f-9d11-4f48-9b2a-537f54321528,Multiplexer,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
0d272ed5-aeb4-405d-b41d-3f0dafdd1d56,N-channel MOSFET,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
f23f7e19-d43b-44a0-a38b-5a3ca6a13bc8,Non-inverting amplifier,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
fc4e15ae-83dd-444c-9c0b-9fa0b76cab02,NPN transistor,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
8ea3f733-42ac-4ec9-8af6-b7da01ca812f,Operational amplifier,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
7bea54aa-a952-49b6-b4df-7f13ba78e341,Operational transconductance amplifier,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
ac3f06cb-fc0c-4198-80f5-8ccc00a1b65e,OTA,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
625ca561-26cc-4a7d-ac51-a3b61b4c92ed,Output transistor,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
86b2c3bb-12e0-4697-830e-def925bd8a5d,P-channel MOSFET,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
be5c3842-4cbc-4af3-8954-d6af9f271037,PNP transistor,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
45194d02-8067-44d3-b28f-0a050b8d691e,Power MOSFET,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
257ce66f-84e3-4eee-bc49-f822832e9ba4,Power transistor,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
d90b6959-4818-4b90-bd5d-9628e38635b8,Pre-driver transistor,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
47636f5a-e65d-424c-9585-7a69952b2f6c,Push-pull stage,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
90fc9df6-f7c3-43b7-83db-a6c34ceae5d7,PWM controller,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
98ae85b2-e806-44da-9949-db53157d602b,Quad op amp,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
e979fe76-9f8e-40c0-8605-409ed5a58846,Rail-to-rail op amp,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
57a4d568-1a2e-4852-b017-fa8f0a873b9f,Safe operating area,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
b678ba2c-4ed1-49ee-a371-8dac0e85848d,Sample rate converter,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
c0132350-801b-4eb6-9323-96f44425d477,Schmitt trigger,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
48e3309f-be41-4146-a79d-a89cf9126771,Secondary breakdown,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
534d0516-0208-4609-9f1a-66ecdb007d90,Shift register,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
d0849f83-926d-47cf-9a22-2dba27fa5fdb,Single op amp,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
e415a9f5-7723-46aa-bd89-17ea159b8492,Single-ended stage,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
7065742d-5636-419a-841e-bdd3698da1ec,Small-signal transistor,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
fe881f85-c7bf-4cc4-a6bd-103e2958144b,SOA,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
23b05211-7396-4b74-ac89-eaf9e4e89acb,Source,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
cd5c156f-683e-4cf8-9588-9b5adb789aeb,Summing amplifier,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
4394fe57-5d4f-4b1e-bfe6-eb66a9c59a08,Thermal tracking transistor,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
9e2d242a-1f76-4609-8100-e93ab70b9294,Transconductance amplifier,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
371f9b03-af0f-45cb-8adf-426fb7595988,Transistor,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
f4e768c1-d545-42b1-95d5-03930ae3689a,Transistor junction,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
827baec9-0287-4cfc-9335-adc4060edffe,Transistor substitution,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
5576a65b-e630-4fea-8bc8-b5e0f1e7fb49,Tube equalizer,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
0ea1fc01-fbf6-495f-98e9-ee9c456e39a5,Tube limiter,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
037e4164-5e1a-49d7-a59b-5f39670b244c,USB audio controller,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
a9ca936a-bfb1-45f0-a09a-f9f027137b02,VAS,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
5c75abc1-defe-4bb9-bd9f-c3509c830f9d,VBE multiplier,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
48d7ddee-1ede-4c2b-b39b-c0e507c0be65,Voltage follower,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
e3a32ea3-0cd8-4978-b603-600e4ed8b6dd,Voltage-amplifier stage,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
ad2bc716-2609-4940-afb6-d94f66e0afea,Adobe Enhance Speech,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
c1f55b78-f760-40f9-ad46-fe9cec31f176,Artifact suppression,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
66ca77c6-1ee1-453c-a7fc-28e2ed5f0b53,Audio super-resolution,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
d92a038c-a54b-415b-a04c-289bc1e1d72e,Audio upsampling (ML),AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
6ea5d9a8-a670-4d4a-89ce-6ee04bb06c70,Bandwidth extension,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
01aac910-dd0a-463e-a093-315e7214fbca,Bass extraction,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
ed351ec9-e09b-4e6e-b710-1d1debf8059d,Before-and-after analysis,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
c04f23a6-11e4-4720-8164-b3320ec9ee95,Broadband denoising,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
39c6450f-e57b-41b9-bbde-3b1fdd7a6bff,Clarity Vx DeReverb,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
f084295a-7e47-454f-bac9-1b68815fec36,Clip restoration,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
77dac7cd-6899-4d0e-b554-58aa9bb66aab,Clipped-waveform reconstruction,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
d0f6afa6-a5c7-48d1-bf3c-6c4c05b7a83a,De-click,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
8c41d595-79d1-4c07-88f1-9752697bf7a7,De-hum,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
bea17624-4a61-457f-b34b-ef890d8765b7,De-reverb,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
5ad597d4-e17a-40c1-8339-b5012802ee3a,Deep Noise Suppression,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
70bb3b38-75fa-452b-8ae1-2e68b880c6f3,Deep-learning speech denoising,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
592ed3d3-7d93-4ffb-880f-1d89caf4dd5a,Dereverberation,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
5e711da4-5a94-49e2-808c-306d692dc616,Dialogue isolation,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
d999370b-69c5-4df6-8c65-6ce4831f297d,Distortion repair,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
2e88d94f-30da-49db-a70c-c2260e2783d9,Drum extraction,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
0f6614ef-f569-43cd-bfdb-152a456cf4b3,Flutter correction,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
30c3c769-7740-4cbd-8de2-2835bd7696d5,Frequency repair,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
bceafe07-eab8-4643-b506-d2615d6ce94f,Instrument extraction,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
b8620719-bef9-4c5d-808f-f0ed4cbd2472,Manual spectral editing,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
ef450d44-08ac-41c8-a7fe-42e8fb8e5942,Multi-resolution processing,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
cc2f3ff0-1f14-4d33-8c92-01414e423b67,Music isolation,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
d078ac76-3265-4bd8-8827-1d9d4124210e,Musical-noise suppression,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
82c9834c-37d8-4561-ac01-c7d6f7244fbd,Noise cancellation (AI),AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
2964305a-fc20-4d20-92f3-3264da922e0d,Noise suppression,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
8f083dc8-5405-4f8f-8175-f7e83df9b124,Piano extraction,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
e4ff00e7-385a-4e41-8abe-d7a38fbdfd33,Pitch stabilization,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
a0a99e49-f57b-49c4-9c9e-6fde1acdd84b,Spectral de-noise (ML),AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
503d44c6-f9ea-43de-85c5-fb6310c4b200,Spectral healing,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
3f0fbca0-32c3-47ec-af85-92d1104c933c,Spectral repair,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
de26c3d5-382f-4339-ae41-382c6b031c42,Speech enhancement,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
b7dde34c-33d4-4c69-8eab-b06ac8437ea3,Speed correction,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
22dbd27e-c20a-4a47-81fa-5f5646d163c1,Time-domain repair,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
caedf131-d438-435e-a055-3dc1bc761f0f,Vocal extraction,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
2ec5c6c3-28c0-48cb-9d27-a66496ede06c,Vocal isolation,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
8460c7a9-c467-4210-a721-334a382ed81e,Wow correction,AI Source Separation & Restoration,,PENDINGDEF_2026_08_02,definition
fdacb737-0a2f-403c-bb8f-043566aec68c,AudioSR,AI/ML Foundations for Audio,,PENDINGDEF_2026_08_02,definition
9abd83a6-b660-4500-89df-e893ebcfa761,Auphonic,AI/ML Foundations for Audio,,PENDINGDEF_2026_08_02,definition
f83b4437-13b4-44d8-b64b-696811daf46b,Dialogue De-reverb,AI/ML Foundations for Audio,,PENDINGDEF_2026_08_02,definition
e998accb-07d3-44d1-842e-dbe7b22a23f6,Dialogue Isolate,AI/ML Foundations for Audio,,PENDINGDEF_2026_08_02,definition
98c2db8d-87e6-4902-b62c-7dc0fe20ef40,ERA (Accusonus),AI/ML Foundations for Audio,,PENDINGDEF_2026_08_02,definition
814c8a98-2370-426f-b38d-3447ade7a567,Kemper Profiler,AI/ML Foundations for Audio,,PENDINGDEF_2026_08_02,definition
3b10a6ba-ffa9-4976-81c0-f01d8e5c1515,Music Rebalance,AI/ML Foundations for Audio,,PENDINGDEF_2026_08_02,definition
7c39f90e-37cd-4e90-abf3-64d8c16615f9,Neural Capture,AI/ML Foundations for Audio,,PENDINGDEF_2026_08_02,definition
4b961009-0e7d-4dbd-9124-190047c4fb02,NVIDIA Broadcast,AI/ML Foundations for Audio,,PENDINGDEF_2026_08_02,definition
0b9c3c88-ae93-4a7b-8b30-49934e2ae52c,Quad Cortex,AI/ML Foundations for Audio,,PENDINGDEF_2026_08_02,definition
050c5b48-78b7-4891-adf2-0f1bd052cd7b,Repair Assistant,AI/ML Foundations for Audio,,PENDINGDEF_2026_08_02,definition
92d132e6-6372-405c-9045-b8d5cb7d6087,RNNoise,AI/ML Foundations for Audio,,PENDINGDEF_2026_08_02,definition
6391dae2-e2d9-4dea-bd1f-107ee428e1ea,RTX Voice,AI/ML Foundations for Audio,,PENDINGDEF_2026_08_02,definition
e67efe41-10bc-4a47-b94a-beeae5ad6b1e,Spectral Recovery,AI/ML Foundations for Audio,,PENDINGDEF_2026_08_02,definition
120948ef-345a-400c-8321-1254cc7b19db,Voice De-noise,AI/ML Foundations for Audio,,PENDINGDEF_2026_08_02,definition
9f05f6c0-afb5-4e07-8579-b9644d046bba,Acetate disc,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
bcdea3bf-4570-4d6f-9ca7-69863c25df0b,Acoustic recording,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
37f76cde-0561-4515-9615-c3f22e307d47,Cassette mastering,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
91f33fef-6dad-43f6-b9e8-b882c71a3481,Compact Disc mastering,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
c1972817-9cac-489d-8a1d-cfedead98289,Cutter amplifier,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
2808a061-d554-4c3c-ac5f-a5b35ab6417e,Cutting stylus,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
832e5cb6-a676-4b1b-9193-8553117f4b87,Diamond stylus,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
affe5a28-192b-434d-9d99-dd51efc0a4dc,Digital Audio Tape mastering,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
8858971b-1316-4fd3-a969-61559c34f8f2,Digital recording era,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
c86e06a7-8cbd-4b6a-91fe-2b2dc4b634a5,Direct Stream Digital recording,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
f747aa4e-949c-4754-8260-aea581491c62,Direct-to-disc recording,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
fcbe0ef8-5235-400e-baea-c4a83d3528eb,Disc cutter head,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
dde0792a-5fb0-4a55-9d27-88312724ee29,Electrical recording,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
7c94d0c1-6568-47d5-a7e5-df6a3ed4e622,Groove cutting,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
8ce3c60f-2724-4cf6-a907-98a5dd2f5c6b,Groove geometry,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
d55f3dcc-0f90-48c0-a32f-f8f4690913a7,Hard-disk recording,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
b90e48e3-e231-425c-83c9-9a069821877c,Lacquer disc,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
618d0b92-59e5-4c4c-ab6a-89dba9b7b1e1,Lacquer mastering,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
af7752e7-6600-4017-8111-ad50eb627d76,Magnetic recording era,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
8886d910-d379-4fbc-8acd-a638266f64fc,Magneto-optical recording,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
244283cc-494e-4b47-bd10-4171939c4b9d,Master lacquer,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
35fb127e-a375-4ce4-9e27-3190e2264f63,MiniDisc recording,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
837a6e23-f658-43aa-912a-cc549e283697,Optical soundtrack recording,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
198cb418-177d-4c56-a815-3f4f8018c356,Pulse-code modulation recording,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
ad411885-5a27-472c-acc9-e74f679b7351,Recording horn,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
6e710a6f-a679-46a6-974d-15bd2cc2a070,Sapphire stylus,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
9b0415a4-26ed-4064-8bfe-5a8f3c0db323,Tube recording era,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
bda55214-f27d-48e6-a69c-7411e407382a,Variable-area soundtrack,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
dcc7995b-e87f-49fc-bee9-3720924de1e8,Variable-depth groove,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
b96e1a65-d3e9-4c6d-93b0-69939f9f9198,Variable-pitch groove,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
e1172f1c-1f12-4ca3-9423-e9adaddc7ffa,Wire recording,Analog Tape / Tape Machines,,PENDINGDEF_2026_08_02,definition
65a05a37-a81c-46a4-9c84-0374ab9b7a3e,Accessible mixing position,Assisted Listening Systems,,PENDINGDEF_2026_08_02,definition
6ef1e05b-0edf-46a4-8b19-3f393526c9e4,Accessible route,Assisted Listening Systems,,PENDINGDEF_2026_08_02,definition
5b945cf4-7652-477d-ab30-1008926e2bb7,Hearing-loop system,Assisted Listening Systems,,PENDINGDEF_2026_08_02,definition
46afa7d7-5356-4731-b76a-7046a5078c02,Infrared assistive listening,Assisted Listening Systems,,PENDINGDEF_2026_08_02,definition
0d313cd5-f404-41dd-b9f5-14fc2521805e,RF assistive listening,Assisted Listening Systems,,PENDINGDEF_2026_08_02,definition
3bb567ec-d732-4bf7-90c0-19fb4ea420cc,Audio archival restoration,Audio Restoration & Archival,,PENDINGDEF_2026_08_02,definition
caaac413-b196-4ddb-88a4-a2d3e45532a5,Audio preservation,Audio Restoration & Archival,,PENDINGDEF_2026_08_02,definition
6c6a2750-6722-4e68-9d44-608e10058b97,Azimuth alignment,Audio Restoration & Archival,,PENDINGDEF_2026_08_02,definition
dedbe9dd-0217-46a7-bda7-97a80692d286,Broadcast archive restoration,Audio Restoration & Archival,,PENDINGDEF_2026_08_02,definition
b5682a8c-d90e-4e44-9624-01f98361a22d,Capture chain,Audio Restoration & Archival,,PENDINGDEF_2026_08_02,definition
184fcfba-54cc-40da-9a1e-fcc6c38fc6d7,Crackle removal,Audio Restoration & Archival,,PENDINGDEF_2026_08_02,definition
ccf9d532-c6ee-4614-bfde-11aebd14a2ad,De-rustle processing,Audio Restoration & Archival,,PENDINGDEF_2026_08_02,definition
a480e19a-20cb-4b22-9b34-301c7b8df99b,Harmonic reconstruction,Audio Restoration & Archival,,PENDINGDEF_2026_08_02,definition
453f76a1-2064-49d9-a810-6873ac5edbec,Master-tape restoration,Audio Restoration & Archival,,PENDINGDEF_2026_08_02,definition
772a5c49-620a-410e-9ac0-231210bcf245,Mouth-click removal,Audio Restoration & Archival,,PENDINGDEF_2026_08_02,definition
ae96a241-203c-41bd-8c19-1e4d21867025,Tape oxide loss,Audio Restoration & Archival,,PENDINGDEF_2026_08_02,definition
748b4a61-f7b3-427f-9648-1bd717c1b33d,Tape restoration,Audio Restoration & Archival,,PENDINGDEF_2026_08_02,definition
d862f8fd-53b5-4063-8231-66d8edef4959,Vinyl restoration,Audio Restoration & Archival,,PENDINGDEF_2026_08_02,definition
f574ade0-2ed5-4ede-b4cc-197d561acd98,Wax-cylinder restoration,Audio Restoration & Archival,,PENDINGDEF_2026_08_02,definition
6901b91f-884a-40a5-9d32-45b7463edfdb,Re-drum,"Beatmatching, Mixing & FX",,PENDINGDEF_2026_08_02,definition
3b37411b-27df-43ca-b565-ba042e1cb76c,Ride the groove,"Beatmatching, Mixing & FX",,PENDINGDEF_2026_08_02,definition
9659205d-2f0d-4adb-ac82-edbc228824a0,Riding the mix,"Beatmatching, Mixing & FX",,PENDINGDEF_2026_08_02,definition
7ee0464f-6ebe-4234-a244-5a72a5b5d00e,Rip,"Beatmatching, Mixing & FX",,PENDINGDEF_2026_08_02,definition
d845a6d7-b5ea-42bd-b19c-e7b159ea7dc8,Safety track (DJ),"Beatmatching, Mixing & FX",,PENDINGDEF_2026_08_02,definition
