id,term,primary_topic,difficulty,empty_fields,existing_definition
3eefc9e0-beea-4fa7-ae7b-c1ef524f2018,Contrast section,Creative & Advanced Mix Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
940c15ea-c4d8-4f37-b3bd-ad164c59f414,Density change,Creative & Advanced Mix Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
a77b3f3a-5ca1-46b6-b1b0-c701e721688c,Double chorus,Creative & Advanced Mix Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
23730017-b9d8-45cb-8d66-8730db9a6319,Drop section,Creative & Advanced Mix Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
8e172b1f-b344-4175-926f-a2b9f10f445a,Dynamic transition,Creative & Advanced Mix Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
bc217d7d-9b94-4fb1-8279-09133ba1b9fd,Energy development,Creative & Advanced Mix Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
0ac611aa-3db7-421b-926c-3dd3808d1d24,Extended intro,Creative & Advanced Mix Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
6a33c88f-7b34-457a-9488-4f3a96287cb4,Extended outro,Creative & Advanced Mix Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
b5ea79c4-74bc-45b0-887a-05d19874b789,Frequency-density control,Creative & Advanced Mix Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
8520e4c1-2149-4f78-8957-3b15ea6d3df8,Half chorus,Creative & Advanced Mix Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
452b2c64-f121-4d1f-b4f3-01af61159073,Harmonic transition,Creative & Advanced Mix Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
bbbccbb6-404d-4af9-9ac8-46a1dc57c533,Instrumental section,Creative & Advanced Mix Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
08aef49f-4f9c-4752-b673-21df9bc5e729,Instrumentation change,Creative & Advanced Mix Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
553c8584-904b-4e5b-a22e-4ad4ab433888,Production arrangement,Creative & Advanced Mix Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
39d96337-d4e3-4d3d-af9c-b121f95df20f,Rhythmic transition,Creative & Advanced Mix Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
fa8c526c-5fd7-4f0a-916a-d3242f77cba9,Section transition,Creative & Advanced Mix Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
90cfcd81-3c89-4129-b778-82ac3e354885,Shortened verse,Creative & Advanced Mix Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
e8ede57e-1ae9-48e5-a688-d7952e11037a,Tag ending,Creative & Advanced Mix Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
d8e1397d-a0ca-4568-a2be-da9efc64b708,Texture change,Creative & Advanced Mix Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
5ca52716-c048-488a-a4f5-148f6d306d0b,Cross-subscription,Dante Fundamentals & Routing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
e226eea0-55d7-4ee0-ae65-46648136de4f,Dante Button,Dante Fundamentals & Routing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
1a86dd6f-0b4b-496b-8cd0-f85f000d4a25,Basic Folder,DAW Fundamentals & Session Management,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
382aab38-4963-4c24-b353-061b4ef1dd40,Digital asset management,DAW Fundamentals & Session Management,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
0085beb2-17d2-4d4e-ad09-12baf25f4e8a,High-resolution media,DAW Fundamentals & Session Management,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
96c2c933-730e-4165-a2cb-8d9aa7fee957,Low-resolution proxy,DAW Fundamentals & Session Management,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
8ff3e7a5-2eb0-40ac-8572-158192a199a2,Media asset management,DAW Fundamentals & Session Management,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
3e982b80-09cf-4e90-9ac1-aa84d6e1dd18,Media server,DAW Fundamentals & Session Management,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
89d16e4d-45b2-4c8d-be3d-5186d5288274,Navigation Memory,DAW Fundamentals & Session Management,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
1bac3bfe-6338-4abe-a412-2e65d7a846c1,Session server,DAW Fundamentals & Session Management,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
44b8727d-c8f2-4ee5-b8a6-ae5878fe0911,Fixed-length recording,DAW: Ableton Live,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
81044de0-d357-475a-9fc4-f383ad0dc529,Loop brace,DAW: Ableton Live,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
46276a05-0e81-4da8-9c69-075e326dd76f,Reduced latency when monitoring,DAW: Ableton Live,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
bfad2fc4-94f3-4db9-b722-38dd334b609f,Segmentation resolution,DAW: Ableton Live,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
85da7fdc-6d3f-47e7-a268-1df5fe0f2f3c,Session recording,DAW: Ableton Live,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
0591c905-a184-409f-9d47-4eadbbaf4c9e,Transient loop mode,DAW: Ableton Live,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
f3a16158-ae83-4e1d-9fbd-163bd2699663,Constrain Delay Compensation,DAW: Cubase/Nuendo,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
4656d3a4-d2eb-41ca-81c2-f3c67d71d60a,Create Groove,DAW: Cubase/Nuendo,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
b692abd7-2f23-477f-bd3e-e889fdb6e425,Pre-record audio,DAW: Cubase/Nuendo,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
d6a829ea-ba7d-4c30-9b4d-e3f2c9e0ad44,Quantize Panel,DAW: Cubase/Nuendo,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
524b2056-c8a2-4cbe-8f14-81fd9314cb40,Slip Event Content,DAW: Cubase/Nuendo,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
2ee11954-c88f-49b1-9633-8e4cf228f9be,Polar window,DAW: Digital Performer/Reason,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
3efa9b3b-5c3e-4b92-92d7-7d73ce942f85,Comp section,DAW: Logic,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
46b65d7e-3b8a-4bdd-9d3d-879852c6a4c6,Input format selector,DAW: Logic,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
87fbaddc-fa03-4dc1-8840-03d9548980d2,Quick Swipe Comping,DAW: Logic,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
8cd4e511-6df2-4493-b4de-10628feadd1e,Recording delay,DAW: Logic,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
a77f9268-77f2-4f67-a24b-644efe924dfa,Right input channel (Logic),DAW: Logic,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
44b6c876-6993-4bb3-9686-4f94a9c04003,Take region,DAW: Logic,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
f4cd3a71-3ff8-4c5e-b82f-6e9b105f1834,Track recording path,DAW: Logic,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
3a327c93-5d12-4d3a-8a28-4abee49aeb98,All-track ripple editing,DAW: REAPER,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
15c49407-382e-47d6-800e-e2f190394eed,Apply track FX to items,DAW: REAPER,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
1d706bd3-501d-4088-af53-b947c1eec8e1,Dynamic split,DAW: REAPER,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
bb6e7440-d130-44e2-9fc5-976e80e5c135,Per-track ripple editing,DAW: REAPER,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
0926e672-d525-4112-85e0-933dc6a9a849,Preserve PDC delayed monitoring,DAW: REAPER,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
2a8bffe7-098c-42b5-89fc-a10a573f8a88,Punch selected items,DAW: REAPER,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
aeb05c8b-bc77-4c46-8cad-97748c4719d7,Punch time selection,DAW: REAPER,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
a32c3c5e-6187-4170-a993-f4002de1036a,Record mono output,DAW: REAPER,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
3379a8a4-72d9-4ded-87b0-5651fbf2c70e,Record stereo output,DAW: REAPER,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
159125d7-cda0-417e-ac4b-69dfbe15a335,Render region matrix,DAW: REAPER,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
1ad9aeeb-8ff5-495c-b03a-ee7fab409904,Stretch-marker slope,DAW: REAPER,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
282d96aa-c913-47a6-9344-939dcacacce4,Takes explode in place,DAW: REAPER,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
c3bdaa88-2287-48fa-83ee-77eaa286f0fd,Arranger section,DAW: Studio One,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
a497173e-d6e8-4072-be54-d01ec5410889,Bounce to New Track,DAW: Studio One,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
a30cbe7a-9dd4-480e-8eb4-53244d053165,Clip version,DAW: Studio One,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
