term,subject,landing_topic,status,source_batch
Erase depth,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Erase-field penetration,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Erased-tape noise,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Erasure ratio,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Flange rub,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Flutter idler,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Full-track mono,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Gap erosion,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Gap-azimuth interaction,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Gap-length loss,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Guard track,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Guide chatter,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Half-track mono,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Half-track stereo,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Head bump,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Head clogging,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Head contour resonance,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Head penetration,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Head-face grooving,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Head-field asymmetry,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
House equalization,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Hub-slot deformation,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Hysteresis loop,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
IEC1 equalization,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
IEC2 equalization,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Impedance roller,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Incomplete erasure,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Infinite low-frequency time constant,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Inline-head stereo,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Intertrack timing error,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Intrinsic coercivity,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Isolated tape loop,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Lifter scrape,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Long-wavelength level,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Longitudinal tape resonance,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Magnetic fluxivity,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Magnetic hysteresis,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Magnetization transition,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Maximum output level,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Maximum output level at 3% distortion,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Modulation noise,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Multifrequency alignment tape,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
NAB equalization,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
NARTB equalization,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
NagraMaster equalization,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Open-loop transport,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Optimum bias,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Orientation ratio,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Overbias,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Overbias curve,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Particle orientation,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Pole-piece magnetization,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Pole-tip recession,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Print-through ratio,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Quarter-track stereo,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Recorded wavelength,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Reel-table height,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Reel-table runout,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Reference fluxivity,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Reference tape,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Relative tape sensitivity,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Remanence,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Remanent head field,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Replay time constant,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Reproducer test tape,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Retentivity,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Saturation magnetization,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Saturation output,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Saturation output level,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Saturation remanence,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Sel-sync track,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Self-demagnetization,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Short-wavelength level,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Span resonance,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Stagger correction,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Stagger offset,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Staggered-head stereo,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Standard reference level,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Switching-field distribution,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Sync-head offset,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Sync-repro response,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Take-up tension,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Tape headroom,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Tape lifter,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Tape sensitivity,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Tape tenting,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Tape-path coplanarity,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Tape-path resonance,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Tape-path skew,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Tension arm,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Thickness loss,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Track assignment,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Track configuration,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Track pitch,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Track sense,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Track-edge effect,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Track-format mismatch,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Transition crowding,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Twin-track,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Underbias,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Vacuum buffer,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Vacuum column,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Vertex adjustment,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Wavelength response,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Weighted tape noise,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
AES57 object structure,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Access derivative,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Archival ingest,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Archival neutrality,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Archival transfer chain,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Audit trail,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Authentic signal representation,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Belt flattening,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Bit rot,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Bit-level preservation,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Carrier metadata,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Carrier preservation,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Carrier-based obsolescence,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Celluloid-cylinder delamination,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Checksum collision,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Checksum manifest,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Coding history field,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Concentric cracking,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Concentric runout,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Content Information,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Content migration,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Content preservation,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Context information,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Controlled vocabulary,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Core swelling,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Cryptographic hash,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Cut groove,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Cylinder bore deformation,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Cylinder eccentricity,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Cylinder ovalization,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Designated community,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Dictabelt,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Dictation belt,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Direct-cut disc,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Documented intervention,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Embedded checksum,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Embossed groove,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
End-shrinkage,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Essence,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Essence container,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Event metadata,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Exudate removal,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Fixity,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Fixity check,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Fixity information,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Format migration,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Format obsolescence risk,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Geographic replication,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Glass-base fracture,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Gray Audograph disc,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Groove accretion,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Groove collapse,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Groove eccentricity,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Groove echo,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Groove embossing recovery,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Groove-bottom riding,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Groove-wall fracture,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Groove-wall selection,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Helical-groove reconstruction,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Hill-and-dale recording,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Independent understandability,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Ingest validation,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Inside-start disc,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Instantaneous disc,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Integrity audit,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Lacquer delamination,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Lacquer flaking,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Lacquer lifting,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Lacquer shrinkage,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Lateral-cut recording,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
MD5 chunk,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Mandrel casting,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Mandrel mismatch,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Media refreshing,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Memobelt,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Metadata crosswalk,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Mezzanine file,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Minimal intervention,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Mold hyphae intrusion,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Noncontact cylinder scanning,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Normalization,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Originator reference,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Outside-start disc,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Palmitic-acid exudation,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Particulate occlusion,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Persistent identifier,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Pinch effect,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Plaster-core expansion,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Plasticizer loss,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Pre-grooved disc,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Preservation Description Information,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Preservation normalization,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Preservation pathway,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Preservation provenance,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Preservation transfer,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Preservation triage,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Preservation watch,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Process metadata,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Provenance information,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
RF64,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Radial cracking,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Reference information,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Replay metadata,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Replication,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Repository succession plan,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Representation information,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Representation network,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Restoration metadata,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Reversible intervention,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Scanning loss,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Schema validation,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Signal extraction,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Significant properties,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Silent corruption,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
SoundScriber disc,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Storage diversity,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Stylus truncation,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Stylus-radius optimization,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Substrate corrosion,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Surface bloom,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Surface crazing,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
System dependency,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Technological diversity,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Technology watch,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Time reference,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Tracing distortion,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Transcription disc,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Truncated elliptical stylus,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Turntable rumble,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Variable-pitch cutting,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Vertical-cut recording,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
WAVE64,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Warp wow,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Wax-cylinder shaving,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Wet-play transfer,Archival & Analog Tape,Archival Preservation & Obsolete Media,NEW,Batch 1
Absolute speed error,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Actual tape speed,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Adaptive dehum,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Arc noise,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Asymmetric declipping,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Auto-stop foil,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Autoregressive interpolation,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Beat-frequency interference,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Bias splice,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Bias whistle,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Bidirectional interpolation,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Block splice,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Brake drag,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Broadband impulse,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Butt splice,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Buzz burst,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Capstan-rate component,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Capstanless recording,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Carrier leakage,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Cassette skew,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Channel substitution,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Channel-selective transfer,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Characteristic uncertainty,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Click tail,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Comb-notch dehum,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Common-mode groove rejection,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Compander breathing,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Compander pumping,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Composite restoration,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Conductive leader,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Contemporaneous transfer note,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Crosstalk print,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
Cue foil,Archival & Analog Tape,Audio Restoration & Archival,EXISTING,Batch 1
