term,subject,landing_topic,status,source_batch
Broadband shock-associated noise,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Bubble resonance,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Cavitation threshold,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Cavity tone,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Closed-cell foam,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Coiled-space resonator,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Combustion noise,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Complex bulk modulus,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Complex density,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Constrained-layer damping material,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Convective Mach number,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Coupled-field simulation,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Courant condition,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Critical damping,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Curle analogy,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Damping ratio,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Damping-controlled region,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Difference-frequency generation,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Dipole source,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Discontinuous Galerkin method,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Driving-point mobility,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Dynamic stiffness,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Edge tone,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Effective modal mass,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Eigenfrequency,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Energy finite-element analysis,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Equivalent-fluid model,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Ffowcs Williams–Hawkings equation,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Finite-difference method,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Finite-element analysis,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Flow resistivity,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Flow separation noise,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Flow-induced noise,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Fluid–structure interaction,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Geometrical-acoustics simulation,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Gradient-index acoustic material,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Harmonic generation,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Helmholtz instability,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Hybrid acoustic simulation,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Hydrodynamic pressure fluctuation,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Image-source method,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Inertance,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Inertial cavitation,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Jet noise,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Johnson–Champoux–Allard model,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Labyrinthine metamaterial,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Leading-edge noise,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Lighthill analogy,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Lighthill stress tensor,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Locally resonant metamaterial,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Loss factor,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Mach number,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Mechanical admittance,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Mechanical impedance,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Mechanical mobility,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Mesh convergence,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Minnaert resonance,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Mixing noise,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Modal damping,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Modal mass,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Modal overlap,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Modal participation factor,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Modal stiffness,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Model-order reduction,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Monopole source,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Multiphysics simulation,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Negative bulk modulus,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Negative effective mass density,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Nonlinear absorption,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Nonlinear acoustics,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Nonlinear propagation,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Nonlinear resonance,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Normal mode,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Numerical dispersion,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Numerical dissipation,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Open-cell foam,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Operational deflection shape,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Overdamping,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Parameter of nonlinearity,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Parametric acoustic array,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Parametric interaction,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Parametric loudspeaker,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Perfectly matched layer,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Phonon tracing,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Phononic bandgap,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Phononic crystal,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Point impedance,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Poroelastic model,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Porosity,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Quadrupole source,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Radiation efficiency,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Radiation ratio,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Ray tracing,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Receptance,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Reduced-order model,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Reynolds number,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Rigid-body mode,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Rotor–stator interaction,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
SEA,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Sawtooth wave formation,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Screech tone,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Shock formation,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Shock-associated noise,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Sonic crystal,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Sonoluminescence,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Space-coiling metamaterial,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Spatial discretization,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Spectral-element method,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Stable cavitation,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Statistical energy analysis,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Strouhal number,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Structural acoustics,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Structural loss factor,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Structural wave impedance,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Subharmonic generation,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Subwavelength resonator,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Sum-frequency generation,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Temporal discretization,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Thermal characteristic length,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Thermoacoustic instability,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Topological acoustics,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Torsional mode,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Torsional wave,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Tortuosity,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Trailing-edge noise,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Transfer mobility,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Transfer-matrix method,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Transmission-line matrix,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Turbulent boundary-layer noise,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Turbulent pressure spectrum,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Underdamping,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Vibroacoustic coupling,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Vibroacoustics,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Viscous characteristic length,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Vortex shedding,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Wave steepening,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Wave-based method,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Weakly nonlinear acoustics,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Wind-induced microphone noise,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Wind-noise susceptibility,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Absorber thickness versus frequency,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Acoustic resonance,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Air-gap effects behind absorbers,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Angle of incidence,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Angle of reflection,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Aperture diffraction,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Articulation loss of consonants,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Atmospheric sound bending,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Axial modes,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Bandwidth versus Q,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Boundary impedance,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
C50,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 4
C80,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 4
Ceiling-bounce cancellation,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Center time,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 4
Clarity metrics,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Closed-pipe modes,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Conservation of acoustic energy,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Coupled resonances,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Definition,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 4
Definition metrics,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Desk reflection,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Diaphragmatic absorption,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Diffuse-field assumptions,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Diffuser design,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Diffusion coefficient,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Early reflections,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Echo criterion,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 4
Electrical resonance,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Energy decay curve,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 4
Eyring absorption,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 4
Eyring equation,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Fibrous absorber,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 4
Floor-bounce cancellation,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Forced resonance,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Front-wall cancellation,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Initial time-delay gap,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Intelligibility versus directivity,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Intelligibility versus noise,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Intelligibility versus reverberation,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Listener-boundary interference response,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Live-end/dead-end design,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Locally reacting absorber,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 4
Membrane absorption,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Modal degeneracy,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Modal frequency calculation,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Modal region,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 4
Modal ringing,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Mode clustering,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Mode spacing,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Musical clarity,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 4
Non-diffuse sound field,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 4
Nonlocally reacting absorber,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 4
Oblique modes,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Open-pipe modes,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Panel absorbers,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Particle-velocity antinodes,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Particle-velocity nodes,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Porous absorption,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Pressure antinodes,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Pressure nodes,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Pressure-based absorbers,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Primitive-root diffusion,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Quadratic-residue diffusion,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Quality factor,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Quarter-wave absorber,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 4
Quarter-wavelength absorber placement,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Rear-wall interference,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Reflection density,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Reflection density growth,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Reflection order,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Resonance buildup,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Resonance decay,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Resonant frequency versus center frequency,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
Resonant modes,Acoustics & Physics Science,Room Acoustics,EXISTING,Batch 5
