topic,candidate_term,verdict,existing_or_related_term
1430 Hearing Disorders,Auditory agnosia,AUTHOR_NEW,
1430 Hearing Disorders,Pure word deafness,AUTHOR_NEW,
1430 Hearing Disorders,Phonagnosia,AUTHOR_NEW,
1430 Hearing Disorders,Amusia with auditory agnosia,AUTHOR_NEW,
1450 Spatial Hearing,Minimum audible angle,AUTHOR_NEW,
1450 Spatial Hearing,Minimum audible movement angle,AUTHOR_NEW,
1450 Spatial Hearing,Localization blur,AUTHOR_NEW,
1450 Spatial Hearing,Localization bias,AUTHOR_NEW,
1450 Spatial Hearing,Localization compression,AUTHOR_NEW,
1450 Spatial Hearing,Localization gain,AUTHOR_NEW,
1450 Spatial Hearing,Front-back confusion,AUTHOR_NEW,
1450 Spatial Hearing,Up-down confusion,AUTHOR_NEW,
1450 Spatial Hearing,Cone of confusion,AUTHOR_NEW,
1450 Spatial Hearing,Monaural spectral-shape cue,AUTHOR_NEW,
1450 Spatial Hearing,Pinna-cue remapping,AUTHOR_NEW,
1450 Spatial Hearing,Spectral-cue reweighting,AUTHOR_NEW,
1450 Spatial Hearing,Dynamic localization cue,AUTHOR_NEW,
1450 Spatial Hearing,Head-motion disambiguation,AUTHOR_NEW,
1450 Spatial Hearing,Auditory parallax,AUTHOR_NEW,
1450 Spatial Hearing,Acoustic looming,AUTHOR_NEW,
1450 Spatial Hearing,Auditory motion aftereffect,AUTHOR_NEW,
1450 Spatial Hearing,Auditory saltation,AUTHOR_NEW,
1450 Spatial Hearing,Ventriloquism aftereffect,AUTHOR_NEW,
1450 Spatial Hearing,Spatial ventriloquism,AUTHOR_NEW,
1450 Spatial Hearing,Proximity-image effect,AUTHOR_NEW,
1450 Spatial Hearing,Trading ratio,AUTHOR_NEW,
1450 Spatial Hearing,Time-intensity trading,AUTHOR_NEW,
1450 Spatial Hearing,Binaural sluggishness,AUTHOR_NEW,
1450 Spatial Hearing,Binaural adaptation,AUTHOR_NEW,
1450 Spatial Hearing,Binaural temporal window,AUTHOR_NEW,
1450 Spatial Hearing,Interaural coherence,DROP_EXISTING,Interaural coherence
1450 Spatial Hearing,Interaural decorrelation,AUTHOR_NEW,
1450 Spatial Hearing,Binaural diffuseness,AUTHOR_NEW,
1450 Spatial Hearing,Auditory spaciousness,AUTHOR_NEW,
1450 Spatial Hearing,Apparent source width,DROP_EXISTING,Apparent Source Width
1450 Spatial Hearing,Listener envelopment,DROP_EXISTING,Listener Envelopment
1450 Spatial Hearing,Interaural cross-correlation coefficient,AUTHOR_NEW,
1450 Spatial Hearing,Early interaural cross-correlation coefficient,AUTHOR_NEW,
1450 Spatial Hearing,Binaural quality index,AUTHOR_NEW,
1450 Spatial Hearing,Spatial release from masking,AUTHOR_NEW,
1450 Spatial Hearing,Binaural masking-level difference,DROP_EXISTING,Binaural masking level difference
1450 Spatial Hearing,Equalization-cancellation model,AUTHOR_NEW,
1450 Spatial Hearing,Better-ear listening,AUTHOR_NEW,
1450 Spatial Hearing,Better-ear glimpsing,AUTHOR_NEW,
1450 Spatial Hearing,Binaural unmasking,AUTHOR_NEW,
1450 Spatial Hearing,Spatially induced release from informational masking,AUTHOR_NEW,
1450 Spatial Hearing,Precedence buildup,AUTHOR_NEW,
1450 Spatial Hearing,Precedence breakdown,AUTHOR_NEW,
1450 Spatial Hearing,Clifton effect,AUTHOR_NEW,
1450 Spatial Hearing,Echo threshold,AUTHOR_NEW,
1450 Spatial Hearing,Localization dominance,AUTHOR_NEW,
1450 Spatial Hearing,Lag discrimination suppression,AUTHOR_NEW,
1450 Spatial Hearing,Binaural room scanning,AUTHOR_NEW,
1450 Spatial Hearing,Auditory distance externalization,AUTHOR_NEW,
1450 Spatial Hearing,Internalization,AUTHOR_NEW,
1450 Spatial Hearing,Proximal-source effect,AUTHOR_NEW,
1450 Spatial Hearing,Near-field interaural level difference,AUTHOR_NEW_XREF,Interaural Level Difference
1450 Spatial Hearing,Acoustic bright spot,AUTHOR_NEW,
1450 Spatial Hearing,Acoustic contrast control,AUTHOR_NEW,
1460 Speech Intelligibility,Speech transmission index for telecommunication systems,AUTHOR_NEW,
1460 Speech Intelligibility,Modulation transfer index,AUTHOR_NEW,
1460 Speech Intelligibility,Modulation transfer function,AUTHOR_NEW_XREF,Transfer function
1460 Speech Intelligibility,Apparent signal-to-noise ratio,AUTHOR_NEW_XREF,Signal-to-noise ratio
1460 Speech Intelligibility,Auditory masking correction,AUTHOR_NEW_XREF,Auditory Masking
1460 Speech Intelligibility,Level-dependent masking correction,AUTHOR_NEW,
1460 Speech Intelligibility,Modulation-frequency weighting,AUTHOR_NEW,
1460 Speech Intelligibility,Octave-band contribution,AUTHOR_NEW,
1460 Speech Intelligibility,Redundancy correction,AUTHOR_NEW,
1460 Speech Intelligibility,STI qualification band,AUTHOR_NEW,
1460 Speech Intelligibility,Indirect STI method,AUTHOR_NEW,
1460 Speech Intelligibility,Direct STI method,AUTHOR_NEW,
1460 Speech Intelligibility,Full STI,AUTHOR_NEW,
1460 Speech Intelligibility,Speech privacy index,AUTHOR_NEW_XREF,Speech Privacy
1460 Speech Intelligibility,Distraction distance,AUTHOR_NEW,
1460 Speech Intelligibility,Privacy distance,AUTHOR_NEW,
1460 Speech Intelligibility,Speech level at 1 metre,AUTHOR_NEW,
1460 Speech Intelligibility,Vocal effort correction,AUTHOR_NEW,
1460 Speech Intelligibility,Lombard speech,AUTHOR_NEW,
1460 Speech Intelligibility,Lombard gain,AUTHOR_NEW,
1460 Speech Intelligibility,Lombard slope,AUTHOR_NEW,
1460 Speech Intelligibility,Speech-shaped noise,AUTHOR_NEW,
1460 Speech Intelligibility,Speech-modulated noise,AUTHOR_NEW,
1460 Speech Intelligibility,International speech test signal,AUTHOR_NEW,
1460 Speech Intelligibility,Long-term average speech spectrum,AUTHOR_NEW,
1460 Speech Intelligibility,Speech intelligibility index band-importance function,AUTHOR_NEW,
1460 Speech Intelligibility,Audibility function,AUTHOR_NEW,
1460 Speech Intelligibility,Equivalent speech spectrum level,AUTHOR_NEW,
1460 Speech Intelligibility,Disturbance spectrum level,AUTHOR_NEW,
1460 Speech Intelligibility,Equivalent masking spectrum level,AUTHOR_NEW,
1460 Speech Intelligibility,Speech dynamic range factor,AUTHOR_NEW,
1460 Speech Intelligibility,Articulation index density,AUTHOR_NEW,
1460 Speech Intelligibility,Phoneme confusion matrix,AUTHOR_NEW,
1460 Speech Intelligibility,Feature transmission analysis,AUTHOR_NEW,
1460 Speech Intelligibility,Consonant confusion,AUTHOR_NEW,
1460 Speech Intelligibility,Vowel-consonant-vowel corpus,AUTHOR_NEW,
1460 Speech Intelligibility,Diagnostic rhyme test,AUTHOR_NEW,
1460 Speech Intelligibility,Modified rhyme test,AUTHOR_NEW,
1460 Speech Intelligibility,Phonetically balanced word list,AUTHOR_NEW,
1460 Speech Intelligibility,Semantically unpredictable sentence,AUTHOR_NEW,
1460 Speech Intelligibility,Matrix sentence test,AUTHOR_NEW,
1460 Speech Intelligibility,Coordinate response measure corpus,AUTHOR_NEW,
1460 Speech Intelligibility,Speech reception threshold in noise,AUTHOR_NEW,
1460 Speech Intelligibility,Psychometric-function slope,AUTHOR_NEW,
1460 Speech Intelligibility,Ceiling effect in intelligibility testing,AUTHOR_NEW,
1460 Speech Intelligibility,Floor effect in intelligibility testing,AUTHOR_NEW,
1460 Speech Intelligibility,Glimpsed speech,AUTHOR_NEW,
1460 Speech Intelligibility,Spectrotemporal glimpse,AUTHOR_NEW,
1460 Speech Intelligibility,Glimpse proportion,AUTHOR_NEW,
1460 Speech Intelligibility,Glimpsed threshold,AUTHOR_NEW,
1460 Speech Intelligibility,Dip listening,AUTHOR_NEW,
1460 Speech Intelligibility,Masking release,AUTHOR_NEW,
1460 Speech Intelligibility,Modulation masking release,AUTHOR_NEW,
1460 Speech Intelligibility,Spatial masking release,AUTHOR_NEW,
1460 Speech Intelligibility,Informational masking,AUTHOR_NEW,
1460 Speech Intelligibility,Energetic masking,AUTHOR_NEW,
1460 Speech Intelligibility,Perceptual masking,AUTHOR_NEW,
1460 Speech Intelligibility,Target-masker linguistic similarity,AUTHOR_NEW,
1460 Speech Intelligibility,Talker uncertainty,AUTHOR_NEW,
1460 Speech Intelligibility,Masker uncertainty,AUTHOR_NEW,
1460 Speech Intelligibility,Voice-cue segregation,AUTHOR_NEW,
1460 Speech Intelligibility,Intelligibility-weighted signal-to-noise ratio,AUTHOR_NEW,
1460 Speech Intelligibility,Envelope-regression intelligibility metric,AUTHOR_NEW,
1460 Speech Intelligibility,Short-time objective intelligibility,AUTHOR_NEW,
1460 Speech Intelligibility,Extended short-time objective intelligibility,AUTHOR_NEW,
1460 Speech Intelligibility,Speech-to-reverberation modulation energy ratio,AUTHOR_NEW,
1460 Speech Intelligibility,Normalized covariance measure,AUTHOR_NEW,
1470 Loudness & Listening Environments,Specific loudness,AUTHOR_NEW,
1470 Loudness & Listening Environments,Excitation pattern,AUTHOR_NEW,
1470 Loudness & Listening Environments,Excitation level,AUTHOR_NEW,
1470 Loudness & Listening Environments,Partial loudness,AUTHOR_NEW,
1470 Loudness & Listening Environments,Total loudness,AUTHOR_NEW,
1470 Loudness & Listening Environments,Monaural loudness,AUTHOR_NEW,
1470 Loudness & Listening Environments,Binaural loudness,AUTHOR_NEW,
1470 Loudness & Listening Environments,Binaural loudness summation,AUTHOR_NEW,
1470 Loudness & Listening Environments,Binaural inhibition,AUTHOR_NEW,
1470 Loudness & Listening Environments,Spectral loudness summation,AUTHOR_NEW,
1470 Loudness & Listening Environments,Critical-band loudness summation,AUTHOR_NEW,
1470 Loudness & Listening Environments,Temporal loudness summation,AUTHOR_NEW,
1470 Loudness & Listening Environments,Short-term loudness,REVIEW_LIKELY_DUP,Short-term loudness measurement
1470 Loudness & Listening Environments,Long-term loudness,AUTHOR_NEW,
1470 Loudness & Listening Environments,Instantaneous loudness,AUTHOR_NEW,
1470 Loudness & Listening Environments,Peak short-term loudness,AUTHOR_NEW,
1470 Loudness & Listening Environments,Maximum long-term loudness,AUTHOR_NEW,
1470 Loudness & Listening Environments,Time-varying loudness,AUTHOR_NEW,
1470 Loudness & Listening Environments,Loudness attack,AUTHOR_NEW,
1470 Loudness & Listening Environments,Loudness decay,AUTHOR_NEW,
1470 Loudness & Listening Environments,Loudness overshoot,AUTHOR_NEW,
1470 Loudness & Listening Environments,Loudness adaptation,AUTHOR_NEW,
1470 Loudness & Listening Environments,Induced loudness reduction,AUTHOR_NEW,
1470 Loudness & Listening Environments,Loudness enhancement,AUTHOR_NEW,
1470 Loudness & Listening Environments,Loudness recalibration,AUTHOR_NEW,
1470 Loudness & Listening Environments,Contextual loudness,AUTHOR_NEW,
1470 Loudness & Listening Environments,Categorical loudness scaling,AUTHOR_NEW,
1470 Loudness & Listening Environments,Adaptive categorical loudness scaling,AUTHOR_NEW,
1470 Loudness & Listening Environments,Loudness-growth function,AUTHOR_NEW,
1470 Loudness & Listening Environments,Loudness recruitment,AUTHOR_NEW,
1470 Loudness & Listening Environments,Softness imperception,AUTHOR_NEW,
1470 Loudness & Listening Environments,Loudness discomfort level,AUTHOR_NEW,
1470 Loudness & Listening Environments,Uncomfortable loudness level,AUTHOR_NEW,
1470 Loudness & Listening Environments,Most comfortable loudness level,AUTHOR_NEW,
1470 Loudness & Listening Environments,Equal-loudness level difference,AUTHOR_NEW,
1470 Loudness & Listening Environments,Binaural level difference for equal loudness,AUTHOR_NEW,
1470 Loudness & Listening Environments,Loudness balance,AUTHOR_NEW,
1470 Loudness & Listening Environments,Interaural loudness balance,AUTHOR_NEW,
1470 Loudness & Listening Environments,Alternate binaural loudness balance,AUTHOR_NEW,
1470 Loudness & Listening Environments,Loudness constancy,AUTHOR_NEW,
1470 Loudness & Listening Environments,Loudness assimilation,AUTHOR_NEW,
1470 Loudness & Listening Environments,Loudness contrast,AUTHOR_NEW,
1470 Loudness & Listening Environments,Zwicker loudness,AUTHOR_NEW,
1470 Loudness & Listening Environments,Moore-Glasberg loudness model,AUTHOR_NEW,
1470 Loudness & Listening Environments,Dynamic loudness model,AUTHOR_NEW,
1470 Loudness & Listening Environments,Auditory-filter asymmetry,AUTHOR_NEW,
1470 Loudness & Listening Environments,Compressive cochlear gain,AUTHOR_NEW,
1470 Loudness & Listening Environments,Internal excitation threshold,AUTHOR_NEW,
1470 Loudness & Listening Environments,Acoustic environment,DROP_EXISTING,Acoustic environment
1470 Loudness & Listening Environments,Soundscape appraisal,AUTHOR_NEW,
1470 Loudness & Listening Environments,Soundscape descriptor,AUTHOR_NEW,
1470 Loudness & Listening Environments,Perceived affective quality,AUTHOR_NEW,
1470 Loudness & Listening Environments,Soundscape pleasantness,AUTHOR_NEW,
1470 Loudness & Listening Environments,Soundscape eventfulness,AUTHOR_NEW,
1470 Loudness & Listening Environments,Appropriateness appraisal,AUTHOR_NEW,
1470 Loudness & Listening Environments,Soundscape circumplex,AUTHOR_NEW,
1470 Loudness & Listening Environments,Soundmark,AUTHOR_NEW,
1470 Loudness & Listening Environments,Keynote sound,AUTHOR_NEW,
1470 Loudness & Listening Environments,Sound signal,AUTHOR_NEW,
1470 Loudness & Listening Environments,Acoustic horizon,AUTHOR_NEW,
1470 Loudness & Listening Environments,Acoustic arena,AUTHOR_NEW,
1470 Loudness & Listening Environments,Acoustic niche,AUTHOR_NEW,
1470 Loudness & Listening Environments,Biophony,AUTHOR_NEW,
1470 Loudness & Listening Environments,Geophony,AUTHOR_NEW,
1470 Loudness & Listening Environments,Anthropophony,AUTHOR_NEW,
1470 Loudness & Listening Environments,Technophony,AUTHOR_NEW,
1470 Loudness & Listening Environments,Sonotope,AUTHOR_NEW,
1470 Loudness & Listening Environments,Acoustic diversity index,AUTHOR_NEW,
1470 Loudness & Listening Environments,Acoustic complexity index,AUTHOR_NEW,
1470 Loudness & Listening Environments,Normalized difference soundscape index,AUTHOR_NEW,
1470 Loudness & Listening Environments,Psychoacoustic annoyance,AUTHOR_NEW,
1470 Loudness & Listening Environments,Noise sensitivity,AUTHOR_NEW,
1470 Loudness & Listening Environments,Noise susceptibility,AUTHOR_NEW,
1470 Loudness & Listening Environments,Auditory comfort,AUTHOR_NEW,
1470 Loudness & Listening Environments,Acoustic comfort,AUTHOR_NEW,
1470 Loudness & Listening Environments,Acoustic quality,AUTHOR_NEW,
1470 Loudness & Listening Environments,Acoustic liveliness,AUTHOR_NEW,
1470 Loudness & Listening Environments,Acoustic intimacy,AUTHOR_NEW,
1470 Loudness & Listening Environments,Aural diversity,AUTHOR_NEW,
1470 Loudness & Listening Environments,Listening effort,AUTHOR_NEW,
1470 Loudness & Listening Environments,Listening-related fatigue,AUTHOR_NEW,
1470 Loudness & Listening Environments,Auditory distraction,AUTHOR_NEW,
1470 Loudness & Listening Environments,Irrelevant sound effect,AUTHOR_NEW,
1470 Loudness & Listening Environments,Changing-state effect,AUTHOR_NEW,
1470 Loudness & Listening Environments,Auditory attentional capture,AUTHOR_NEW,
1470 Loudness & Listening Environments,Semantic auditory distraction,AUTHOR_NEW,
1470 Loudness & Listening Environments,Office speech distraction,AUTHOR_NEW,
1470 Loudness & Listening Environments,Fluctuation strength,AUTHOR_NEW,
1470 Loudness & Listening Environments,Roughness,AUTHOR_NEW,
1470 Loudness & Listening Environments,Sharpness,DROP_EXISTING,Sharpness
1470 Loudness & Listening Environments,Tonality prominence,AUTHOR_NEW,
1470 Loudness & Listening Environments,Prominence ratio,AUTHOR_NEW,
1470 Loudness & Listening Environments,Tone-to-noise ratio,AUTHOR_NEW,
1470 Loudness & Listening Environments,Low-frequency noise annoyance,AUTHOR_NEW,
1470 Loudness & Listening Environments,Amplitude-modulated noise annoyance,AUTHOR_NEW,
1470 Loudness & Listening Environments,Intermittency ratio,AUTHOR_NEW,
1470 Loudness & Listening Environments,Eventfulness without pleasantness,AUTHOR_NEW,
1470 Loudness & Listening Environments,Quietness as a positive soundscape resource,AUTHOR_NEW,
1470 Loudness & Listening Environments,Restorative soundscape,AUTHOR_NEW,
1470 Loudness & Listening Environments,Supportive soundscape,AUTHOR_NEW,
1470 Loudness & Listening Environments,Soundscape intervention,AUTHOR_NEW,
1470 Loudness & Listening Environments,Soundscape co-creation,AUTHOR_NEW,
